CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
35671D857,FCX,FREEPORT-MCMORAN INC,3671219,3671219,159.15M,159.15M,NEW,11.4%
30231G102,XOM,EXXON MOBIL CORP,1337174,1337174,144.15M,144.15M,NEW,10.3%
458140100,INTC,INTEL CORP,6188931,6110879,138.63M,136.88M,+7829.2%,9.9%
031162100,AMGN,AMGEN INC,485647,485647,135.6M,135.6M,NEW,9.7%
032654105,ADI,ANALOG DEVICES INC,473726,473726,112.76M,112.76M,NEW,8.1%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,1528839,1528839,107.58M,107.58M,NEW,7.7%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,5168695,5168695,105.7M,105.7M,NEW,7.6%
833445109,SNOW,SNOWFLAKE INC,215018,215018,48.11M,48.11M,NEW,3.4%
83406F102,SOFI,SOFI TECHNOLOGIES INC,2500000,2500000,45.52M,45.52M,NEW,3.3%
902973304,USB,US BANCORP DEL,787030,787030,35.61M,35.61M,NEW,2.6%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,400000,400000,29.63M,29.63M,NEW,2.1%
65339F101,NEE,NEXTERA ENERGY INC,361545,361545,25.1M,25.1M,NEW,1.8%
437076102,HD,HOME DEPOT INC,67406,67406,24.71M,24.71M,NEW,1.8%
387328107,GVA,GRANITE CONSTR INC,200000,200000,18.7M,18.7M,NEW,1.3%
G5960L103,MDT,MEDTRONIC PLC,207547,207547,18.09M,18.09M,NEW,1.3%
70450Y103,PYPL,PAYPAL HLDGS INC,244720,239540,18.19M,17.8M,+4624.3%,1.3%
06849F108,B,BARRICK MNG CORP,796068,796068,16.57M,16.57M,NEW,1.2%
92343V104,VZ,VERIZON COMMUNICATIONS INC,375698,375698,16.26M,16.26M,NEW,1.2%
808513105,SCHW,SCHWAB CHARLES CORP,141894,141894,12.95M,12.95M,NEW,0.93%
69331C108,PCG,PG&E CORP,877700,877700,12.24M,12.24M,NEW,0.88%
126650100,CVS,CVS HEALTH CORP,137750,137750,9.5M,9.5M,NEW,0.68%
007903107,AMD,ADVANCED MICRO DEVICES INC,100550,63848,14.27M,9.06M,+174%,1%
11135F101,AVGO,BROADCOM INC,34404,32828,9.48M,9.05M,+2083%,0.68%
747525103,QCOM,QUALCOMM INC,56502,56502,9M,9M,NEW,0.65%
81211K100,SEE,SEALED AIR CORP NEW,281093,281093,8.72M,8.72M,NEW,0.63%
682189105,ON,ON SEMICONDUCTOR CORP,150807,144639,7.9M,7.58M,+2345%,0.57%
260557103,DOW,DOW INC,252000,252000,6.67M,6.67M,NEW,0.48%
49271V100,KDP,KEURIG DR PEPPER INC,201500,201500,6.66M,6.66M,NEW,0.48%
