CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
92840M102,VST,VISTRA CORP,51937,51937,10.07M,10.07M,NEW,3.5%
36828A101,GEV,GE VERNOVA INC,13545,13545,7.17M,7.17M,NEW,2.5%
032095101,APH,AMPHENOL CORP NEW,69124,69124,6.83M,6.83M,NEW,2.4%
82509L107,SHOP,SHOPIFY INC,54267,54267,6.26M,6.26M,NEW,2.2%
18915M107,NET,CLOUDFLARE INC,31663,31663,6.2M,6.2M,NEW,2.2%
833445109,SNOW,SNOWFLAKE INC,26656,26656,5.96M,5.96M,NEW,2.1%
375558103,GILD,GILEAD SCIENCES INC,66080,51108,7.33M,5.67M,+341.4%,2.6%
594918104,MSFT,MICROSOFT CORP,29893,11002,14.87M,5.47M,+58.2%,5.2%
02079K305,GOOGL,ALPHABET INC,71360,22891,12.58M,4.03M,+47.2%,4.4%
291011104,EMR,EMERSON ELEC CO,1650,1650,220K,220K,NEW,0.08%
369604301,GE,GE AEROSPACE,32009,449,8.24M,115.57K,+1.4%,2.9%
808524805,SCHF,SCHWAB STRATEGIC TR,3219,2312,71.14K,51.1K,+254.9%,0.02%
464287655,IWM,ISHARES TR,3558,158,767.78K,34.09K,+4.6%,0.27%
464287226,AGG,ISHARES TR,5415,232,537.17K,23.01K,+4.5%,0.19%
78462F103,SPY,SPDR S&P 500 ETF TR,8358,26,5.16M,16.06K,+0.3%,1.8%
30303M102,META,META PLATFORMS INC,11961,13,8.83M,9.6K,+0.1%,3.1%
25809K105,DASH,DOORDASH INC,32007,34,7.89M,8.38K,+0.1%,2.8%
464287507,IJH,ISHARES TR,12723,126,789.08K,7.81K,+1%,0.28%
808524870,SCHP,SCHWAB STRATEGIC TR,38,1,1K,26.45,+2.7%,<.01%
922908769,VTI,VANGUARD INDEX FDS,6711,0,2.04M,0,NO CHANGE,0.72%
084670108,BRK.A,BERKSHIRE HATHAWAY INC DEL,2,0,1.46M,0,NO CHANGE,0.51%
92345Y106,VRSK,VERISK ANALYTICS INC,2167,0,675.02K,0,NO CHANGE,0.24%
464287200,IVV,ISHARES TR,685,0,425.32K,0,NO CHANGE,0.15%
166764100,CVX,CHEVRON CORP NEW,2585,0,370.15K,0,NO CHANGE,0.13%
25434V609,DFAT,DIMENSIONAL ETF TRUST,6664,0,359.59K,0,NO CHANGE,0.13%
46137V613,PRF,INVESCO EXCHANGE TRADED FD T,8500,0,359.3K,0,NO CHANGE,0.13%
931142103,WMT,WALMART INC,3000,0,293.34K,0,NO CHANGE,0.1%
58155Q103,MCK,MCKESSON CORP,330,0,241.82K,0,NO CHANGE,0.08%
464287622,IWB,ISHARES TR,640,0,217.32K,0,NO CHANGE,0.08%
808524201,SCHX,SCHWAB STRATEGIC TR,6241,0,152.53K,0,NO CHANGE,0.05%
808524508,SCHM,SCHWAB STRATEGIC TR,4952,0,138.9K,0,NO CHANGE,0.05%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,268,0,130.19K,0,NO CHANGE,0.05%
464287689,IWV,ISHARES TR,293,0,102.84K,0,NO CHANGE,0.04%
46137V266,RPG,INVESCO EXCHANGE TRADED FD T,900,0,41.19K,0,NO CHANGE,0.01%
808524409,SCHV,SCHWAB STRATEGIC TR,1416,0,39.18K,0,NO CHANGE,0.01%
808524102,SCHB,SCHWAB STRATEGIC TR,1542,0,36.75K,0,NO CHANGE,0.01%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,123,0,22.35K,0,NO CHANGE,<.01%
464287499,IWR,ISHARES TR,128,0,11.77K,0,NO CHANGE,<.01%
464287630,IWN,ISHARES TR,57,0,8.99K,0,NO CHANGE,<.01%
922908736,VUG,VANGUARD INDEX FDS,17,0,7.45K,0,NO CHANGE,<.01%
808524607,SCHA,SCHWAB STRATEGIC TR,278,0,7.03K,0,NO CHANGE,<.01%
808524706,SCHE,SCHWAB STRATEGIC TR,14,-1,422,-30.14,-6.7%,<.01%
464287242,LQD,ISHARES TR,582,-15,63.79K,-1.64K,-2.5%,0.02%
