CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88160R101,TSLA,Tesla Inc,202270,145708,64.25M,46.29M,+257.6%,14.8%
67066G104,NVDA,Nvidia Corp,256099,256099,40.46M,40.46M,NEW,9.3%
315948109,FBTC,FidelityWiseOrgnBtcnBnIt,312400,299900,29.36M,28.19M,+2399.2%,6.8%
46438F101,IBIT,iShares Bitcoin Trust,600311,451426,36.74M,27.63M,+303.2%,8.5%
G0260P102,AS,Amer Sports Inc,662424,662424,25.68M,25.68M,NEW,5.9%
023135106,AMZN,Amazon.com Inc,94085,94085,20.64M,20.64M,NEW,4.7%
833445109,SNOW,Snowflake Inc Cl A,91431,91431,20.46M,20.46M,NEW,4.7%
30303M102,META,Meta Platforms Inc Cl A,35020,23013,25.85M,16.99M,+191.7%,5.9%
22788C105,CRWD,Crowdstrike Holdings A,40121,28943,20.43M,14.74M,+258.9%,4.7%
81762P102,NOW,Servicenow Inc,14195,14195,14.59M,14.59M,NEW,3.4%
36828A101,GEV,GE Vernova Inc,21916,21916,11.6M,11.6M,NEW,2.7%
11135F101,AVGO,Broadcom Inc,37108,37108,10.23M,10.23M,NEW,2.4%
87151X101,SYM,Symbotic Inc Cl A,219168,219168,8.52M,8.52M,NEW,2%
428050108,HSAI,Hesai Group Ads Class B,386445,386445,8.48M,8.48M,NEW,2%
252131107,DXCM,Dexcom Inc,96103,96103,8.39M,8.39M,NEW,1.9%
N3167Y103,RACE,Ferrari N V,17018,17018,8.35M,8.35M,NEW,1.9%
69608A108,PLTR,Palantir TechnologiesClA,87774,58418,11.96M,7.96M,+199%,2.8%
17275R102,CSCO,Cisco Systems Inc,101301,101301,7.03M,7.03M,NEW,1.6%
82509L107,SHOP,Shopify Inc Cl A,53519,53519,6.17M,6.17M,NEW,1.4%
02079K305,GOOGL,Alphabet Inc Cl A,34978,34978,6.16M,6.16M,NEW,1.4%
19260Q107,COIN,Coinbase Global Inc Cl A,9709,9709,3.4M,3.4M,NEW,0.78%
13321L108,CCJ,Cameco Corp,38055,38055,2.83M,2.83M,NEW,0.65%
808513105,SCHW,Charles Schwab Corp,30664,30664,2.8M,2.8M,NEW,0.64%
G7997R103,STX,Seagate Technology Hldgs,18968,18968,2.74M,2.74M,NEW,0.63%
