CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
19247G107,COHR,COHERENT CORP,690000,690000,61.55M,61.55M,NEW,15.6%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,525000,525000,48.61M,48.61M,NEW,12.3%
90138A103,VNET,VNET GROUP INC,5750000,2250000,39.67M,15.53M,+64.3%,10%
573874104,MRVL,MARVELL TECHNOLOGY INC,127000,127000,9.83M,9.83M,NEW,2.5%
74767N107,HERE,QUANTASING GROUP LTD,500000,500000,4.72M,4.72M,NEW,1.2%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,359690,-5510,35.26M,-540.09K,-1.5%,8.9%
428050108,HSAI,HESAI GROUP,1570662,-29338,34.48M,-643.97K,-1.8%,8.7%
G0260P102,AS,AMER SPORTS INC,1456902,-27067,56.47M,-1.05M,-1.8%,14.3%
11135F101,AVGO,BROADCOM INC,220000,-7000,60.64M,-1.93M,-3.1%,15.4%
G8068L108,SN,SHARKNINJA INC,431602,-43398,42.72M,-4.3M,-9.1%,10.8%
482497104,BEKE,KE HLDGS INC,0,-500000,0,-10.04M,CLOSE,0%
243537107,DECK,DECKERS OUTDOOR CORP,0,-100000,0,-11.18M,CLOSE,0%
89677Q107,TCOM,TRIP COM GROUP LTD,0,-595755,0,-37.88M,CLOSE,0%
45104G104,IBN,ICICI BANK LIMITED,29900,-1679964,1.01M,-56.51M,-98.3%,0.25%
Total,,,,,394.97M,16.17M,+5.1%,100%
