CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81369Y886,XLU,SELECT SECTOR SPDR TR,1000000,1000000,81.66M,81.66M,NEW,2.6%
336433107,FSLR,FIRST SOLAR INC,300000,300000,49.66M,49.66M,NEW,1.6%
75281A109,RRC,RANGE RES CORP,800000,800000,32.54M,32.54M,NEW,1%
02079K305,GOOGL,ALPHABET INC,180000,180000,31.72M,31.72M,NEW,1%
023135106,AMZN,AMAZON COM INC,133980,130000,29.39M,28.52M,+3266.3%,0.94%
26884L109,EQT,EQT CORP,480000,480000,27.99M,27.99M,NEW,0.9%
267475101,DY,DYCOM INDS INC,3817825,105586,933.04M,25.8M,+2.8%,29.9%
82489W107,SHLS,SHOALS TECHNOLOGIES GROUP IN,6975186,3095186,29.64M,13.15M,+79.8%,0.95%
65290E101,NXT,NEXTRACKER INC,10000,10000,543.7K,543.7K,NEW,0.02%
04271T100,ARRY,ARRAY TECHNOLOGIES INC,2420783,20783,14.28M,122.62K,+0.9%,0.46%
65339F101,NEE,NEXTERA ENERGY INC,0,-6485,0,-459.72K,CLOSE,0%
12769G100,CZR,CAESARS ENTERTAINMENT INC NE,0,-804844,0,-20.12M,CLOSE,0%
74762E102,PWR,QUANTA SCVS INC,4996649,-300916,1.89B,-113.77M,-5.7%,60.6%
Total,,,,,3.12B,157.37M,+8%,100%
