CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
984245100,YPF,YPFSOCIEDADANONIMA,1482200,697600,46.62M,21.94M,+88.9%,26.4%
037833100,AAPL,APPLEINC,17100,17100,3.51M,3.51M,NEW,2%
464286822,EWW,ISHARESINC,71800,48300,4.35M,2.93M,+205.5%,2.5%
46090E103,QQQ,INVESCOQQQTR,22600,5300,12.47M,2.92M,+30.6%,7.1%
464286400,EWZ,ISHARESINC,265800,79800,7.67M,2.3M,+42.9%,4.3%
697660207,PAM,PAMPAENERGIASA,76200,32633,5.29M,2.26M,+74.9%,3%
25460G195,YINN,DIREXIONSHSETFTR,57000,52000,2.34M,2.13M,+1040%,1.3%
71654V408,PBR,PETROLEOBRASILEIROSAPETRO,235000,151000,2.94M,1.89M,+179.8%,1.7%
25490K869,CHAU,DIREXIONSHSETFTR,187000,102000,2.77M,1.51M,+120%,1.6%
78468R556,XOP,SPDRSERIESTRUST,22000,12000,2.77M,1.51M,+120%,1.6%
81369Y506,XLE,SELECTSECTORSPDRTR,15000,15000,1.27M,1.27M,NEW,0.72%
46654Q203,JEPQ,JPMORGANEXCHANGETRADEDF,21700,21700,1.18M,1.18M,NEW,0.67%
058934100,BBAR,BANCOBBVAARGENTINASA,745900,45600,12.28M,750.58K,+6.5%,6.9%
40054A108,SUPV,GRUPOSUPERVIELLES.A.,184300,63300,1.95M,670.35K,+52.3%,1.1%
012653101,ALB,ALBEMARLECORP,16400,9100,1.03M,570.3K,+124.7%,0.58%
81369Y209,XLV,SELECTSECTORSPDRTR,4000,4000,539.16K,539.16K,NEW,0.31%
91912E105,VALE,VALESA,119800,51800,1.16M,502.98K,+76.2%,0.66%
055622104,BP,BPPLC,15000,15000,448.95K,448.95K,NEW,0.25%
155038201,CEPU,CENTRALPUERTOSA,119000,27000,1.39M,315.36K,+29.3%,0.79%
861012102,STM,STMICROELECTRONICSNV,10000,10000,304.1K,304.1K,NEW,0.17%
247361702,DAL,DELTAAIRLINESINCDEL,5000,5000,245.9K,245.9K,NEW,0.14%
02376R102,AAL,AMERICANAIRLSGROUPINC,20000,20000,224.4K,224.4K,NEW,0.13%
78467X109,DIA,SPDRDOWJONESINDLAVERAGE,500,500,220.32K,220.32K,NEW,0.12%
023135106,AMZN,AMAZONCOMINC,1000,1000,219.39K,219.39K,NEW,0.12%
92837L109,VIST,VISTAENERGYS.A.B.DEC.V.,33800,3700,1.62M,176.9K,+12.3%,0.91%
02079K305,GOOGL,ALPHABETINC,5000,900,881.15K,158.61K,+22%,0.5%
H5012F103,LAR,LITHIUMARGENTINAAG,120920,70920,251.51K,147.51K,+141.8%,0.14%
580135101,MCD,MCDONALDSCORP,2600,500,759.64K,146.09K,+23.8%,0.43%
464287556,IBB,ISHARESTR,8000,1000,1.01M,126.51K,+14.3%,0.57%
893870204,TGS,TRANSPORTADORADEGASSUR,58500,4300,1.52M,111.37K,+7.9%,0.86%
54150E104,LOMA,LOMANEGRACIASAMTN14,139000,5000,1.52M,54.85K,+3.7%,0.86%
29244A102,EDN,EMPRESADISTYCOMERCIALNOR,27400,2000,725.83K,52.98K,+7.9%,0.41%
279158109,EC,ECOPETROLSA,39000,3000,345.15K,26.55K,+8.3%,0.2%
78464A870,XBI,SPDRSERIESTRUST,6000,300,497.58K,24.88K,+5.3%,0.28%
226406106,CRESY,CRESUDSACIFYA,160800,300,1.73M,3.23K,+0.2%,0.98%
L1995B107,CAAP,CORPORACIONAMERARPTSSA,34000,0,688.84K,0,NO CHANGE,0.39%
717081103,PFE,PFIZERINC,15000,0,363.6K,0,NO CHANGE,0.21%
G1117K114,BIOX,BIOCERESCROPSOLUTIONSCORP,57000,0,254.79K,0,NO CHANGE,0.14%
53681J103,LAC,LITHIUMAMERSCORPNEW,10000,0,26.8K,0,NO CHANGE,0.02%
G6683N103,NU,NUHLDGSLTD,32100,-200,440.41K,-2.74K,-0.6%,0.25%
399909100,GGAL,GRUPOFINANCIEROGALICIAS.A,380859,-300,19.19M,-15.12K,-0.1%,10.9%
00214Q302,ARKG,ARKETFTR,16000,-1000,389.6K,-24.35K,-5.9%,0.22%
450047303,IRS,IRSAINVERSIONESYREPSA,86200,-4000,1.2M,-55.72K,-4.4%,0.68%
L00849106,AGRO,ADECOAGROSA,97000,-6500,886.58K,-59.41K,-6.3%,0.5%
46267X108,IQ,IQIYI INC,0,-40000,0,-90.4K,CLOSE,0%
254687106,DIS,DISNEYWALTCO,7000,-1000,868.07K,-124.01K,-12.5%,0.49%
007903107,AMD,ADVANCEDMICRODEVICESINC,2000,-1000,283.8K,-141.9K,-33.3%,0.16%
89677Q107,TCOM,TRIP COM GROUP LTD,0,-3600,0,-228.89K,CLOSE,0%
464286103,EWA,ISHARES INC,0,-10000,0,-234.4K,CLOSE,0%
464287655,IWM,ISHARESTR,7500,-1100,1.62M,-237.37K,-12.8%,0.92%
67066G104,NVDA,NVIDIA CORPORATION,0,-2200,0,-238.44K,CLOSE,0%
088606108,BHP,BHP GROUP LTD,0,-5000,0,-242.7K,CLOSE,0%
05278C107,ATHM,AUTOHOME INC,0,-10000,0,-277.2K,CLOSE,0%
62914V106,NIO,NIO INC,0,-80000,0,-304.8K,CLOSE,0%
64110W102,NTES,NETEASE INC,0,-3000,0,-308.76K,CLOSE,0%
98980A105,ZTO,ZTO EXPRESS CAYMAN INC,0,-16000,0,-317.44K,CLOSE,0%
149123101,CAT,CATERPILLAR INC,0,-1000,0,-329.8K,CLOSE,0%
594918104,MSFT,MICROSOFTCORP,500,-700,248.71K,-348.19K,-58.3%,0.14%
88160R101,TSLA,TESLA INC,0,-1400,0,-362.82K,CLOSE,0%
25460G138,TMF,DIREXION SHS ETF TR,0,-8500,0,-374K,CLOSE,0%
47215P106,JD,JD.COM INC,0,-12000,0,-493.44K,CLOSE,0%
01609W102,BABA,ALIBABA GROUP HLDG LTD,0,-4000,0,-528.92K,CLOSE,0%
92763W103,VIPS,VIPSHOP HLDGS LTD,0,-40000,0,-627.2K,CLOSE,0%
05961W105,BMA,BANCOMACROSA,121004,-9300,8.5M,-652.95K,-7.1%,4.8%
482497104,BEKE,KE HLDGS INC,0,-37000,0,-743.33K,CLOSE,0%
500767306,KWEB,KRANESHARESTRUST,440000,-21800,15.11M,-748.39K,-4.7%,8.6%
090040106,BILI,BILIBILI INC,0,-40000,0,-764.4K,CLOSE,0%
03743Q108,APA,APA CORPORATION,0,-38000,0,-798.76K,CLOSE,0%
097023105,BA,BOEING CO,0,-5000,0,-852.75K,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,0,-9000,0,-1.07M,CLOSE,0%
674599105,OXY,OCCIDENTAL PETE CORP,0,-25000,0,-1.23M,CLOSE,0%
50202M102,LI,LI AUTO INC,0,-51400,0,-1.3M,CLOSE,0%
056752108,BIDU,BAIDU INC,0,-14200,0,-1.31M,CLOSE,0%
78462F103,SPY,SPDR S&P 500 ETF TR,0,-3100,0,-1.73M,CLOSE,0%
464287184,FXI,ISHARESTR,70000,-83000,2.57M,-3.05M,-54.2%,1.5%
Total,,,,,176.67M,31.18M,+20.8%,100%
