CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
19260Q107,COIN,COINBASE GLOBAL INC,70000,70000,24.19M,24.19M,NEW,5.2%
88160R101,TSLA,TESLA INC,242000,22000,74.67M,6.79M,+10%,16.1%
09062X103,BIIB,BIOGEN INC,20500,20500,2.67M,2.67M,NEW,0.58%
023135106,AMZN,AMAZON COM INC,149000,8000,32.77M,1.76M,+5.7%,7.1%
82509L107,SHOP,SHOPIFY INC,430000,15000,48.97M,1.71M,+3.6%,10.6%
146869102,CVNA,CARVANA CO,5000,5000,1.68M,1.68M,NEW,0.36%
58933Y105,MRK,MERCK & CO INC,59093,18000,4.83M,1.47M,+43.8%,1%
67066G104,NVDA,NVIDIA CORPORATION,81000,8000,12.53M,1.24M,+11%,2.7%
09075V102,BNTX,BIONTECH SE,10987,10987,1.18M,1.18M,NEW,0.25%
433000106,HIMS,HIMS & HERS HEALTH INC,22000,22000,1.1M,1.1M,NEW,0.24%
60770K107,MRNA,MODERNA INC,103433,27857,2.97M,799.22K,+36.9%,0.64%
803607100,SRPT,SAREPTA THERAPEUTICS INC,39400,39400,697.77K,697.77K,NEW,0.15%
05370A108,RNA,AVIDITY BIOSCIENCES INC,46000,11500,1.31M,327.29K,+33.3%,0.28%
G59665102,MGTX,MEIRAGTX HLDGS PLC,163000,46000,1.06M,298.08K,+39.3%,0.23%
35104E100,FDMT,4D MOLECULAR THERAPEUTICS IN,197458,66458,819.45K,275.8K,+50.7%,0.18%
03969K108,ARQT,ARCUTIS BIOTHERAPEUTICS INC,344472,18763,4.74M,257.99K,+5.8%,1%
88642R109,TDW,TIDEWATER INC NEW,5350,5350,255.19K,255.2K,NEW,0.06%
501147102,KRYS,KRYSTAL BIOTECH INC,9320,1810,1.3M,251.61K,+24.1%,0.28%
697900108,PAAS,PAN AMERN SILVER CORP,29747,8463,844.82K,240.35K,+39.8%,0.18%
85208P303,URNM,SPROTT FDS TR,16278,4164,761.16K,194.71K,+34.4%,0.16%
62955J103,NOV,NOV INC,63876,14131,825.28K,182.57K,+28.4%,0.18%
92859G608,VZLA,VIZSLA SILVER CORP,250790,58303,732.31K,170.24K,+30.3%,0.16%
80007P869,SD,SANDRIDGE ENERGY INC,37022,13722,400.95K,148.61K,+58.9%,0.09%
Y95308105,WVE,WAVE LIFE SCIENCES LTD,135550,22000,883.79K,143.44K,+19.4%,0.19%
90400D108,RARE,ULTRAGENYX PHARMACEUTICAL IN,253304,3500,9.18M,126.91K,+1.4%,2%
717081103,PFE,PFIZER INC,37029,4702,927.21K,117.74K,+14.5%,0.2%
05280R100,AUTL,AUTOLUS THERAPEUTICS PLC,294142,42468,673.59K,97.25K,+16.9%,0.15%
52886X107,LXEO,LEXEO THERAPEUTICS INC,178356,18158,752.66K,76.63K,+11.3%,0.16%
N71542109,PRQR,PROQR THRAPEUTICS N V,4997562,11929,10.05M,23.98K,+0.2%,2.2%
92915B106,VYGR,VOYAGER THERAPEUTICS INC,25241,3596,78.75K,11.22K,+16.6%,0.02%
31189P102,FATE,FATE THERAPEUTICS INC,111090,2064,126.64K,2.35K,+1.9%,0.03%
81141R100,SE,SEA LTD,210000,0,32.5M,0,NO CHANGE,7%
462222100,IONS,IONIS PHARMACEUTICALS INC,267594,0,10.69M,0,NO CHANGE,2.3%
05464T104,AXSM,AXSOME THERAPEUTICS INC,52732,0,5.43M,0,NO CHANGE,1.2%
98887Q104,ZLAB,ZAI LAB LTD,132189,0,4.65M,0,NO CHANGE,1%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,8300,0,3.75M,0,NO CHANGE,0.81%
004225108,ACAD,ACADIA PHARMACEUTICALS INC,148400,0,3.17M,0,NO CHANGE,0.68%
M96088105,URGN,UROGEN PHARMA LTD,107622,0,1.4M,0,NO CHANGE,0.3%
G76279101,ROIV,ROIVANT SCIENCES LTD,126923,0,1.39M,0,NO CHANGE,0.3%
77313F106,RCKT,ROCKET PHARMACEUTICALS INC,432760,0,1.12M,0,NO CHANGE,0.24%
811916105,SA,SEABRIDGE GOLD INC,44074,0,648.33K,0,NO CHANGE,0.14%
75629V104,RXRX,RECURSION PHARMACEUTICALS IN,119000,0,610.47K,0,NO CHANGE,0.13%
26873J107,EMX,EMX RTY CORP,216968,0,544.59K,0,NO CHANGE,0.12%
G65431127,NE,NOBLE CORP PLC,14287,0,392.04K,0,NO CHANGE,0.08%
877619106,TSHA,TAYSHA GENE THERAPIES INC,134900,0,315.67K,0,NO CHANGE,0.07%
82575P107,SBSW,SIBANYE STILLWATER LTD,34040,0,247.81K,0,NO CHANGE,0.05%
26818M108,DYN,DYNE THERAPEUTICS INC,27566,0,239.27K,0,NO CHANGE,0.05%
00166B105,ALXO,ALX ONCOLOGY HLDGS INC,509059,0,220.57K,0,NO CHANGE,0.05%
02319V103,ABEV,AMBEV SA,795786,-8420,1.93M,-20.38K,-1%,0.42%
04280A100,ARWR,ARROWHEAD PHARMACEUTICALS IN,612214,-17000,9.85M,-273.53K,-2.7%,2.1%
G9460G101,VAL,VALARIS LTD,13803,-6419,605.95K,-281.79K,-31.7%,0.13%
45826J105,NTLA,INTELLIA THERAPEUTICS INC,0,-58709,0,-417.42K,CLOSE,0%
026874784,AIG,AMERICAN INTL GROUP INC,0,-6483,0,-563.63K,CLOSE,0%
H17182108,CRSP,CRISPR THERAPEUTICS AG,44700,-15397,2.17M,-746.91K,-25.6%,0.47%
45258J102,IMVT,IMMUNOVANT INC,0,-72000,0,-1.23M,CLOSE,0%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,350000,-10000,46.58M,-1.33M,-2.8%,10.1%
02043Q107,ALNY,ALNYLAM PHARMACEUTICALS INC,0,-5716,0,-1.54M,CLOSE,0%
22266T109,CPNG,COUPANG INC,0,-81900,0,-1.83M,CLOSE,0%
N90064101,QURE,UNIQURE NV,447486,-131653,6.26M,-1.84M,-22.7%,1.4%
85205L107,SWTX,SPRINGWORKS THERAPEUTICS INC,0,-123980,0,-5.47M,CLOSE,0%
18915M107,NET,CLOUDFLARE INC,0,-60000,0,-6.76M,CLOSE,0%
833445109,SNOW,SNOWFLAKE INC,0,-48000,0,-7.13M,CLOSE,0%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,114000,-31000,84.82M,-23.07M,-21.4%,18.3%
Total,,,,,463.5M,-4.03M,-1%,100%
