CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
30303M102,META,META PLATFORMS INC,44173,911,32.6M,672.39K,+2.1%,10.6%
24703L202,DELL,DELL TECHNOLOGIES INC,15180,5178,1.86M,634.82K,+51.8%,0.6%
21037T109,CEG,CONSTELLATION ENERGY CORP,4166,1899,1.34M,612.92K,+83.8%,0.44%
33737A108,GRID,FIRST TR EXCHANGE TRADED FD,3748,3748,521.05K,521.05K,NEW,0.17%
438516106,HON,HONEYWELL INTL INC,7311,1980,1.7M,461.09K,+37.1%,0.55%
11135F101,AVGO,BROADCOM INC,43384,1282,11.96M,353.39K,+3%,3.9%
739128106,POWL,POWELL INDS INC,10569,1548,2.22M,325.78K,+17.2%,0.72%
92537N108,VRT,VERTIV HOLDINGS CO,9058,2320,1.16M,297.91K,+34.4%,0.38%
92189F676,SMH,VANECK ETF TRUST,984,984,274.42K,274.42K,NEW,0.09%
148929102,CAVA,CAVA GROUP INC,3087,3087,260.06K,260.06K,NEW,0.08%
859241101,STRL,STERLING INFRASTRUCTURE INC,1099,1099,253.57K,253.57K,NEW,0.08%
833445109,SNOW,SNOWFLAKE INC,18562,1118,4.15M,250.17K,+6.4%,1.3%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,5700,5700,238.26K,238.26K,NEW,0.08%
33734X176,FXL,FIRST TR EXCHANGE TRADED FD,1500,1500,236.04K,236.04K,NEW,0.08%
38141G104,GS,GOLDMAN SACHS GROUP INC,330,330,233.56K,233.56K,NEW,0.08%
949746101,WFC,WELLS FARGO CO NEW,2750,2750,220.33K,220.33K,NEW,0.07%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,689,689,215.75K,215.75K,NEW,0.07%
58933Y105,MRK,MERCK & CO INC,2700,2700,213.73K,213.73K,NEW,0.07%
82982T106,SITM,SITIME CORP,973,973,207.33K,207.33K,NEW,0.07%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,14468,824,3.28M,186.63K,+6%,1.1%
04965B100,ATOM,ATOMERA INC,488308,32211,2.46M,162.34K,+7.1%,0.8%
042068205,ARM,ARM HOLDINGS PLC,12313,874,1.99M,141.36K,+7.6%,0.64%
28036F105,EWTX,EDGEWISE THERAPEUTICS INC,100774,10050,1.32M,131.76K,+11.1%,0.43%
68389X105,ORCL,ORACLE CORP,4664,532,1.02M,116.32K,+12.9%,0.33%
00039J103,YEAR,AB ACTIVE ETFS INC,15276,2002,773.9K,101.42K,+15.1%,0.25%
83422E204,SLDB,SOLID BIOSCIENCES INC,90731,19898,441.86K,96.9K,+28.1%,0.14%
877619106,TSHA,TAYSHA GENE THERAPIES INC,815976,24500,1.88M,56.6K,+3.1%,0.61%
573874104,MRVL,MARVELL TECHNOLOGY INC,34950,667,2.71M,51.63K,+1.9%,0.88%
74762E102,PWR,QUANTA SVCS INC,3850,132,1.46M,49.91K,+3.6%,0.47%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,23776,319,3.24M,43.49K,+1.4%,1%
00287Y109,ABBV,ABBVIE INC,2166,226,402.05K,41.95K,+11.6%,0.13%
00724F101,ADBE,ADOBE INC,2360,93,912.92K,35.98K,+4.1%,0.3%
81762P102,NOW,SERVICENOW INC,3556,33,3.66M,33.93K,+0.9%,1.2%
891092108,TTC,TORO CO,8218,376,580.85K,26.58K,+4.8%,0.19%
749607107,RLI,RLI CORP,5102,308,368.47K,22.24K,+6.4%,0.12%
32051X108,FHB,FIRST HAWAIIAN INC,20953,823,522.99K,20.54K,+4.1%,0.17%
009066101,ABNB,AIRBNB INC,2850,150,377.17K,19.85K,+5.6%,0.12%
00039J509,FWD,AB ACTIVE ETFS INC,79012,209,7.09M,18.75K,+0.3%,2.3%
78462F103,SPY,SPDR S&P 500 ETF TR,1615,25,997.55K,15.44K,+1.6%,0.32%
166764100,CVX,CHEVRON CORP NEW,3696,97,529.23K,13.89K,+2.7%,0.17%
29273V100,ET,ENERGY TRANSFER L P,116515,627,2.11M,11.37K,+0.5%,0.68%
443573100,HUBS,HUBSPOT INC,4230,20,2.35M,11.13K,+0.5%,0.76%
745867101,PHM,PULTE GROUP INC,3513,105,370.48K,11.07K,+3.1%,0.12%
293792107,EPD,ENTERPRISE PRODS PARTNERS L,48282,220,1.5M,6.82K,+0.5%,0.48%
747525103,QCOM,QUALCOMM INC,21185,42,3.37M,6.69K,+0.2%,1.1%
92686J106,VKTX,VIKING THERAPEUTICS INC,86716,200,2.3M,5.3K,+0.2%,0.74%
65339F101,NEE,NEXTERA ENERGY INC,12608,70,875.25K,4.86K,+0.6%,0.28%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,8833,5,4.5M,2.55K,+0.1%,1.5%
679580100,ODFL,OLD DOMINION FREIGHT LINE IN,2484,14,403.15K,2.27K,+0.6%,0.13%
23804L103,DDOG,DATADOG INC,13832,10,1.86M,1.34K,+0.1%,0.6%
72201Y101,PDI,PIMCO DYNAMIC INCOME FD,16171,16,306.76K,303.51,+0.1%,0.1%
88322Q108,TGTX,TG THERAPEUTICS INC,100008,0,3.6M,0,NO CHANGE,1.2%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,4064,0,1.97M,0,NO CHANGE,0.64%
860630102,SF,STIFEL FINL CORP,14901,0,1.55M,0,NO CHANGE,0.5%
92826C839,V,VISA INC,3574,0,1.27M,0,NO CHANGE,0.41%
74164M108,PRI,PRIMERICA INC,4470,0,1.22M,0,NO CHANGE,0.4%
00039J707,LRGC,AB ACTIVE ETFS INC,16558,0,1.18M,0,NO CHANGE,0.38%
030111207,AMSC,AMERICAN SUPERCONDUCTOR CORP,27423,0,1.01M,0,NO CHANGE,0.33%
501147102,KRYS,KRYSTAL BIOTECH INC,7205,0,990.4K,0,NO CHANGE,0.32%
46625H100,JPM,JPMORGAN CHASE & CO.,3411,0,988.88K,0,NO CHANGE,0.32%
879360105,TDY,TELEDYNE TECHNOLOGIES INC,1730,0,886.3K,0,NO CHANGE,0.29%
005098108,GOLF,ACUSHNET HLDGS CORP,11683,0,850.76K,0,NO CHANGE,0.28%
629377508,NRG,NRG ENERGY INC,4867,0,781.54K,0,NO CHANGE,0.25%
829073105,SSD,SIMPSON MFG INC,5012,0,778.41K,0,NO CHANGE,0.25%
464288752,ITB,ISHARES TR,8059,0,750.87K,0,NO CHANGE,0.24%
562750109,MANH,MANHATTAN ASSOCIATES INC,3795,0,749.4K,0,NO CHANGE,0.24%
60786M105,MC,MOELIS & CO,11752,0,732.38K,0,NO CHANGE,0.24%
34959E109,FTNT,FORTINET INC,6805,0,719.42K,0,NO CHANGE,0.23%
025816109,AXP,AMERICAN EXPRESS CO,2190,0,698.57K,0,NO CHANGE,0.23%
384109104,GGG,GRACO INC,8029,0,690.25K,0,NO CHANGE,0.22%
92204A702,VGT,VANGUARD WORLD FD,1030,0,683.18K,0,NO CHANGE,0.22%
00039J806,BUFC,AB ACTIVE ETFS INC,17200,0,678.88K,0,NO CHANGE,0.22%
882508104,TXN,TEXAS INSTRS INC,3261,0,677.01K,0,NO CHANGE,0.22%
00039J830,SYFI,AB ACTIVE ETFS INC,18366,0,660.31K,0,NO CHANGE,0.21%
33738R118,TDIV,FIRST TR EXCHANGE TRADED FD,7132,0,643.11K,0,NO CHANGE,0.21%
482480100,KLAC,KLA CORP,688,0,615.83K,0,NO CHANGE,0.2%
78467X109,DIA,SPDR DOW JONES INDL AVERAGE,1352,0,595.76K,0,NO CHANGE,0.19%
78464A599,XSW,SPDR SERIES TRUST,3053,0,579.55K,0,NO CHANGE,0.19%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,2406,0,566.49K,0,NO CHANGE,0.18%
02128L106,ALTG,ALTA EQUIPMENT GROUP INC,89240,0,564K,0,NO CHANGE,0.18%
942749102,WTS,WATTS WATER TECHNOLOGIES INC,2269,0,557.92K,0,NO CHANGE,0.18%
303075105,FDS,FACTSET RESH SYS INC,1202,0,537.63K,0,NO CHANGE,0.17%
221006109,CRVL,CORVEL CORP,5085,0,522.64K,0,NO CHANGE,0.17%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,2085,0,506.34K,0,NO CHANGE,0.16%
05945F103,BANF,BANCFIRST CORP,3969,0,490.65K,0,NO CHANGE,0.16%
942622200,WSO,WATSCO INC,1038,0,458.19K,0,NO CHANGE,0.15%
030420103,AWK,AMERICAN WTR WKS CO INC NEW,3229,0,449.24K,0,NO CHANGE,0.15%
219350105,GLW,CORNING INC,8394,0,441.44K,0,NO CHANGE,0.14%
302941109,FCN,FTI CONSULTING INC,2661,0,429.75K,0,NO CHANGE,0.14%
22160K105,COST,COSTCO WHSL CORP NEW,401,0,396.89K,0,NO CHANGE,0.13%
G8994E103,TT,TRANE TECHNOLOGIES PLC,900,0,393.67K,0,NO CHANGE,0.13%
48282T104,KAI,KADANT INC,1229,0,390.15K,0,NO CHANGE,0.13%
33735B108,FNX,FIRST TR EXCHANGE-TRADED ALP,3355,0,385.32K,0,NO CHANGE,0.12%
8676EP108,STKL,SUNOPTA INC,65623,0,380.61K,0,NO CHANGE,0.12%
863667101,SYK,STRYKER CORPORATION,951,0,376.24K,0,NO CHANGE,0.12%
04316A108,APAM,ARTISAN PARTNERS ASSET MGMT,8029,0,355.91K,0,NO CHANGE,0.12%
98978V103,ZTS,ZOETIS INC,2169,0,338.26K,0,NO CHANGE,0.11%
185123106,CWAN,CLEARWATER ANALYTICS HLDGS I,14842,0,325.49K,0,NO CHANGE,0.11%
50189K103,LCII,LCI INDS,3555,0,324.18K,0,NO CHANGE,0.1%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,2046,0,309.52K,0,NO CHANGE,0.1%
655844108,NSC,NORFOLK SOUTHN CORP,1206,0,308.65K,0,NO CHANGE,0.1%
426281101,JKHY,HENRY JACK & ASSOC INC,1712,0,308.45K,0,NO CHANGE,0.1%
204166102,CVLT,COMMVAULT SYS INC,1745,0,304.21K,0,NO CHANGE,0.1%
90278Q108,UFPI,UFP INDUSTRIES INC,3000,0,298.08K,0,NO CHANGE,0.1%
038222105,AMAT,APPLIED MATLS INC,1586,0,290.35K,0,NO CHANGE,0.09%
14040H105,COF,CAPITAL ONE FINL CORP,1259,0,267.88K,0,NO CHANGE,0.09%
257651109,DCI,DONALDSON INC,3821,0,264.99K,0,NO CHANGE,0.09%
291011104,EMR,EMERSON ELEC CO,1972,0,262.93K,0,NO CHANGE,0.09%
452308109,ITW,ILLINOIS TOOL WKS INC,1022,0,252.72K,0,NO CHANGE,0.08%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,999,0,250.59K,0,NO CHANGE,0.08%
760759100,RSG,REPUBLIC SVCS INC,1000,0,246.61K,0,NO CHANGE,0.08%
375558103,GILD,GILEAD SCIENCES INC,2034,0,225.51K,0,NO CHANGE,0.07%
78464A581,XHE,SPDR SERIES TRUST,2500,0,203.03K,0,NO CHANGE,0.07%
29772L108,ETON,ETON PHARMACEUTICALS INC,11500,0,163.88K,0,NO CHANGE,0.05%
529900102,ASG,LIBERTY ALL-STAR GROWTH FD I,28000,0,153.16K,0,NO CHANGE,0.05%
550241103,LUMN,LUMEN TECHNOLOGIES INC,20000,0,87.6K,0,NO CHANGE,0.03%
M70700105,NNOX,NANO X IMAGING LTD,14000,0,72.38K,0,NO CHANGE,0.02%
640491106,NEOG,NEOGEN CORP,10000,0,47.8K,0,NO CHANGE,0.02%
17248W303,CING,CINGULATE INC,10000,0,40.7K,0,NO CHANGE,0.01%
126408103,CSX,CSX CORP,24708,-39,806.22K,-1.27K,-0.2%,0.26%
437076102,HD,HOME DEPOT INC,11612,-10,4.26M,-3.67K,-0.1%,1.4%
478160104,JNJ,JOHNSON & JOHNSON,1613,-45,246.39K,-6.87K,-2.7%,0.08%
33734X846,CIBR,FIRST TR EXCHANGE TRADED FD,7021,-100,530.62K,-7.56K,-1.4%,0.17%
377322102,GKOS,GLAUKOS CORP,3272,-83,337.96K,-8.57K,-2.5%,0.11%
88339P101,REAL,THE REALREAL INC,154439,-2000,739.76K,-9.58K,-1.3%,0.24%
697435105,PANW,PALO ALTO NETWORKS INC,12080,-51,2.47M,-10.44K,-0.4%,0.8%
666807102,NOC,NORTHROP GRUMMAN CORP,2738,-25,1.37M,-12.5K,-0.9%,0.44%
57636Q104,MA,MASTERCARD INCORPORATED,4981,-26,2.8M,-14.61K,-0.5%,0.91%
009158106,APD,AIR PRODS & CHEMS INC,1759,-64,496.14K,-18.05K,-3.5%,0.16%
64049M209,NEO,NEOGENOMICS INC,10252,-2624,74.94K,-19.18K,-20.4%,0.02%
636274409,NGG,NATIONAL GRID PLC,7841,-300,583.42K,-22.32K,-3.7%,0.19%
75524B104,RBC,RBC BEARINGS INC,1750,-59,673.4K,-22.7K,-3.3%,0.22%
007903107,AMD,ADVANCED MICRO DEVICES INC,31802,-167,4.51M,-23.7K,-0.5%,1.5%
33733E302,FDN,FIRST TR EXCHANGE-TRADED FD,7709,-114,2.08M,-30.7K,-1.5%,0.67%
031162100,AMGN,AMGEN INC,3268,-110,912.59K,-30.72K,-3.3%,0.3%
29084Q100,EME,EMCOR GROUP INC,4860,-62,2.6M,-33.16K,-1.3%,0.84%
N6596X109,NXPI,NXP SEMICONDUCTORS N V,4982,-158,1.09M,-34.52K,-3.1%,0.35%
33741X102,SDVY,FIRST TR EXCHANGE-TRADED FD,8806,-987,310.66K,-34.82K,-10.1%,0.1%
G9471C206,EVTL,VERTICAL AEROSPACE LTD,0,-11500,0,-38.64K,CLOSE,0%
94106L109,WM,WASTE MGMT INC DEL,1061,-173,242.78K,-39.59K,-14%,0.08%
G5960L103,MDT,MEDTRONIC PLC,2560,-500,223.16K,-43.58K,-16.3%,0.07%
90384S303,ULTA,ULTA BEAUTY INC,2540,-100,1.19M,-46.78K,-3.8%,0.38%
33734X192,SKYY,FIRST TR EXCHANGE TRADED FD,10737,-386,1.31M,-46.95K,-3.5%,0.42%
742718109,PG,PROCTER AND GAMBLE CO,4357,-300,694.17K,-47.8K,-6.4%,0.22%
79466L302,CRM,SALESFORCE INC,4373,-192,1.19M,-52.36K,-4.2%,0.39%
G1151C101,ACN,ACCENTURE PLC IRELAND,1134,-185,338.94K,-55.29K,-14%,0.11%
33738R704,AIRR,FIRST TR EXCHANGE TRADED FD,3070,-740,249.9K,-60.24K,-19.4%,0.08%
530158104,USA,LIBERTY ALL STAR EQUITY FD,26715,-10000,181.93K,-68.1K,-27.2%,0.06%
64110L106,NFLX,NETFLIX INC,8166,-55,10.94M,-73.65K,-0.7%,3.5%
27828N102,ETY,EATON VANCE TAX-MANAGED DIVE,15000,-5000,232.05K,-77.35K,-25%,0.08%
35671D857,FCX,FREEPORT-MCMORAN INC,14093,-1829,610.93K,-79.29K,-11.5%,0.2%
002824100,ABT,ABBOTT LABS,4738,-689,644.38K,-93.71K,-12.7%,0.21%
