CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,849920,637440,47.09M,35.32M,+300%,8.7%
02079K305,GOOGL,ALPHABET INC,32520,32520,5.73M,5.73M,NEW,1.1%
30303M102,META,META PLATFORMS INC,142988,0,105.54M,0,NO CHANGE,19.5%
225310101,CACC,CREDIT ACCEP CORP MICH,128929,0,65.68M,0,NO CHANGE,12.2%
M98068105,WIX,WIX COM LTD,338000,0,53.56M,0,NO CHANGE,9.9%
722304102,PDD,PDD HOLDINGS INC,335569,0,35.12M,0,NO CHANGE,6.5%
44332N106,HTHT,H WORLD GROUP LTD,659652,0,22.38M,0,NO CHANGE,4.1%
98850P109,YUMC,YUM CHINA HLDGS INC,492265,0,22.01M,0,NO CHANGE,4.1%
594918104,MSFT,MICROSOFT CORP,11500,0,5.72M,0,NO CHANGE,1.1%
70432V102,PAYC,PAYCOM SOFTWARE INC,12395,0,2.87M,0,NO CHANGE,0.53%
244199105,DE,DEERE & CO,5001,0,2.54M,0,NO CHANGE,0.47%
146869102,CVNA,CARVANA CO,510352,-37162,171.97M,-12.52M,-6.8%,31.8%
Total,,,,,540.21M,28.53M,+6.3%,100%
