CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
036752103,ELV,ELEVANCE HEALTH INC,50000,50000,19.45M,19.45M,NEW,7.8%
30212P303,EXPE,EXPEDIA GROUP INC,114000,114000,19.23M,19.23M,NEW,7.7%
91324P102,UNH,UNITEDHEALTH GROUP INC,44000,44000,13.73M,13.73M,NEW,5.5%
60871R209,TAP,MOLSON COORS BEVERAGE CO,415341,205000,19.97M,9.86M,+97.5%,8%
00402L107,ASO,ACADEMY SPORTS & OUTDOORS IN,220000,220000,9.86M,9.86M,NEW,3.9%
894164102,TNL,TRAVEL PLUS LEISURE CO,433000,178000,22.35M,9.19M,+69.8%,8.9%
79546E104,SBH,SALLY BEAUTY HLDGS INC,2196020,776020,20.34M,7.19M,+54.6%,8.1%
71654V101,PBRA,PETROLEO BRASILEIRO SA PETRO,2024000,550000,23.36M,6.35M,+37.3%,9.3%
577081102,MAT,MATTEL INC,1165514,275514,22.98M,5.43M,+31%,9.2%
02079K305,GOOGL,ALPHABET INC,126000,27000,22.2M,4.76M,+27.3%,8.9%
824596100,SHG,SHINHAN FINANCIAL GROUP CO L,529000,40000,23.9M,1.81M,+8.2%,9.5%
48241A105,KB,KB FINL GROUP INC,255549,20000,21.11M,1.65M,+8.5%,8.4%
704551100,BTU,PEABODY ENERGY CORP,496089,102216,6.66M,1.37M,+26%,2.7%
38911N206,GRVY,GRAVITY CO LTD,89744,0,5.72M,0,NO CHANGE,2.3%
902494103,TSN,TYSON FOODS INC,0,-50000,0,-3.19M,CLOSE,0%
02319V103,ABEV,AMBEV SA,0,-3314000,0,-7.72M,CLOSE,0%
913903100,UHS,UNIVERSAL HLTH SVCS INC,0,-46000,0,-8.64M,CLOSE,0%
61945C103,MOS,MOSAIC CO NEW,0,-340000,0,-9.18M,CLOSE,0%
830566105,SKX,SKECHERS U S A INC,0,-178000,0,-10.11M,CLOSE,0%
Total,,,,,250.84M,71.02M,+42.4%,100%
