CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,7422744,6337784,1.17B,1B,+584.1%,1.6%
64110L106,NFLX,NETFLIX INC,538528,538120,721.16M,720.61M,+131892.2%,0.96%
037833100,AAPL,APPLE INC,2286262,2281886,469.08M,468.18M,+52145.5%,0.62%
91324P102,UNH,UNITEDHEALTH GROUP INC,1352129,1352129,421.82M,421.82M,NEW,0.56%
36828A101,GEV,GE VERNOVA INC,1176402,710600,622.49M,376.01M,+152.6%,0.83%
345370860,F,FORD MTR CO,43483251,24143142,471.79M,261.95M,+124.8%,0.63%
146869102,CVNA,CARVANA CO,1013112,774400,341.38M,260.94M,+324.4%,0.45%
00724F101,ADBE,ADOBE INC,546693,489249,211.51M,189.28M,+851.7%,0.28%
00206R102,T,AT&T INC,8669317,6107431,250.89M,176.75M,+238.4%,0.33%
03831W108,APP,APPLOVIN CORP,1380832,501632,483.4M,175.61M,+57.1%,0.64%
G6683N103,NU,NU HLDGS LTD,16712113,12214813,229.32M,167.61M,+271.6%,0.31%
458140100,INTC,INTEL CORP,7592590,7221596,170.07M,161.76M,+1946.6%,0.23%
833445109,SNOW,SNOWFLAKE INC,717000,717000,160.44M,160.44M,NEW,0.21%
58155Q103,MCK,MCKESSON CORP,198126,197326,145.18M,144.6M,+24665.8%,0.19%
00287Y109,ABBV,ABBVIE INC,1961998,739900,364.19M,137.34M,+60.5%,0.48%
922475108,VEEV,VEEVA SYS INC,512600,455000,147.62M,131.03M,+789.9%,0.2%
26603R106,DUOL,DUOLINGO INC,833800,318100,341.87M,130.43M,+61.7%,0.45%
81141R100,SE,SEA LTD,811100,811100,129.73M,129.73M,NEW,0.17%
337738108,FISV,FISERV INC,733927,733927,126.54M,126.54M,NEW,0.17%
58733R102,MELI,MERCADOLIBRE INC,47711,47456,124.7M,124.04M,+18610.2%,0.17%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,458950,303706,186.09M,123.14M,+195.6%,0.25%
16679L109,CHWY,CHEWY INC,4591982,2828600,195.71M,120.55M,+160.4%,0.26%
25809K105,DASH,DOORDASH INC,2464188,485500,607.45M,119.68M,+24.5%,0.81%
29786A106,ETSY,ETSY INC,7647241,2353000,383.59M,118.03M,+44.4%,0.51%
097023105,BA,BOEING CO,555400,555400,116.37M,116.37M,NEW,0.15%
90353T100,UBER,UBER TECHNOLOGIES INC,2004600,1246900,187.03M,116.34M,+164.6%,0.25%
29355A107,ENPH,ENPHASE ENERGY INC,3241728,2741584,128.53M,108.7M,+548.2%,0.17%
478160104,JNJ,JOHNSON & JOHNSON,883190,680627,134.91M,103.97M,+336%,0.18%
61174X109,MNST,MONSTER BEVERAGE CORP NEW,2122500,1621600,132.95M,101.58M,+323.7%,0.18%
872540109,TJX,TJX COS INC NEW,1143100,804100,141.16M,99.3M,+237.2%,0.19%
G0250X107,AMCR,AMCOR PLC,15218014,10289914,139.85M,94.56M,+208.8%,0.19%
31428X106,FDX,FEDEX CORP,406000,406000,92.29M,92.29M,NEW,0.12%
101137107,BSX,BOSTON SCIENTIFIC CORP,1496541,844988,160.74M,90.76M,+129.7%,0.21%
09627Y109,BPMC,BLUEPRINT MEDICINES CORP,674500,674500,86.46M,86.46M,NEW,0.12%
98980G102,ZS,ZSCALER INC,278900,267018,87.56M,83.83M,+2247.2%,0.12%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,334239,334239,81.17M,81.17M,NEW,0.11%
256677105,DG,DOLLAR GEN CORP NEW,699700,682800,80.03M,78.1M,+4040.2%,0.11%
571748102,MRSH,MARSH & MCLENNAN COS INC,973931,354931,212.94M,77.6M,+57.3%,0.28%
444859102,HUM,HUMANA INC,458200,305300,112.02M,74.64M,+199.7%,0.15%
988498101,YUM,YUM BRANDS INC,503600,501500,74.62M,74.31M,+23881%,0.1%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,585293,513300,84.48M,74.08M,+713%,0.11%
369604301,GE,GE AEROSPACE,914159,287358,235.3M,73.96M,+45.8%,0.31%
125523100,CI,THE CIGNA GROUP,230259,223159,76.12M,73.77M,+3143.1%,0.1%
92343E102,VRSN,VERISIGN INC,3267369,253398,943.62M,73.18M,+8.4%,1.3%
629377508,NRG,NRG ENERGY INC,570316,449500,91.58M,72.18M,+372.1%,0.12%
294821608,ERIC,TELEFONAKTIEBOLAGET LM ERICS,21575900,8397936,182.96M,71.21M,+63.7%,0.24%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,1978940,1269630,109.65M,70.35M,+179%,0.15%
046353108,AZN,ASTRAZENECA PLC,1303773,1004573,91.11M,70.2M,+335.8%,0.12%
115236101,BRO,BROWN & BROWN INC,803112,630112,89.04M,69.86M,+364.2%,0.12%
02209S103,MO,ALTRIA GROUP INC,2146815,1172600,125.87M,68.75M,+120.4%,0.17%
405552100,HLN,HALEON PLC,7786699,6547000,80.75M,67.89M,+528.1%,0.11%
