CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G6683N103,NU,NU HLDGS LTD,29320800,2259175,402.28M,31M,+8.3%,27.4%
18467V109,YOU,CLEAR SECURE INC,747978,200000,20.76M,5.55M,+36.5%,1.4%
77664L207,ROOT,ROOT INC,1232607,10824,157.74M,1.39M,+0.9%,10.7%
770700102,HOOD,ROBINHOOD MKTS INC,3245797,5880,303.9M,550.54K,+0.2%,20.7%
19260Q107,COIN,COINBASE GLOBAL INC,737600,0,258.52M,0,NO CHANGE,17.6%
81141R100,SE,SEA LTD,1100179,0,175.96M,0,NO CHANGE,12%
852234103,XYZ,BLOCK INC,1106500,0,75.16M,0,NO CHANGE,5.1%
G29018101,DLO,DLOCAL LTD,3891900,0,44.13M,0,NO CHANGE,3%
58733R102,MELI,MERCADOLIBRE INC,10673,0,27.9M,0,NO CHANGE,1.9%
389637109,GBTC,GRAYSCALE BITCOIN TRUST ETF,29309,0,2.49M,0,NO CHANGE,0.17%
389930207,BTC,GRAYSCALE BITCOIN MINI TR BT,5861,0,279.86K,0,NO CHANGE,0.02%
Total,,,,,1.47B,38.48M,+3.9%,100%
