CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03831W108,APP,APPLOVIN CORP,8100,8100,2.84M,2.84M,NEW,0.84%
146869102,CVNA,CARVANA CO,365220,0,123.06M,0,NO CHANGE,36.4%
023135106,AMZN,AMAZON COM INC,253000,0,55.51M,0,NO CHANGE,16.4%
30303M102,META,META PLATFORMS INC,44750,0,33.03M,0,NO CHANGE,9.8%
98954M101,ZG,ZILLOW GROUP INC,365800,0,25.05M,0,NO CHANGE,7.4%
G3643J108,FLUT,FLUTTER ENTMT PLC,85776,0,24.51M,0,NO CHANGE,7.2%
02079K305,GOOGL,ALPHABET INC,85275,0,15.03M,0,NO CHANGE,4.4%
64110L106,NFLX,NETFLIX INC,9230,0,12.36M,0,NO CHANGE,3.7%
92826C839,V,VISA INC,28400,0,10.08M,0,NO CHANGE,3%
00091G104,ACVA,ACV AUCTIONS INC,570000,0,9.25M,0,NO CHANGE,2.7%
36165L108,GDS,GDS HLDGS LTD,287000,0,8.77M,0,NO CHANGE,2.6%
67066G104,NVDA,NVIDIA CORPORATION,52000,0,8.22M,0,NO CHANGE,2.4%
79466L302,CRM,SALESFORCE INC,27000,0,7.36M,0,NO CHANGE,2.2%
565394103,CART,MAPLEBEAR INC,68267,0,3.09M,0,NO CHANGE,0.91%
47215P106,JD,JD.COM INC,0,-100881,0,-4.15M,CLOSE,0%
Total,,,,,338.16M,-1.31M,-0.5%,100%
