CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
21874C102,CNM,CORE & MAIN INC,133000,133000,8.03M,8.03M,NEW,3.5%
N00985106,AER,AERCAP HOLDINGS NV,60200,60200,7.04M,7.04M,NEW,3.1%
12572Q105,CME,CME GROUP INC,15740,15740,4.34M,4.34M,NEW,1.9%
N3167Y103,RACE,FERRARI N V,12170,4470,5.97M,2.19M,+58.1%,2.6%
98978V103,ZTS,ZOETIS INC,30200,13500,4.71M,2.11M,+80.8%,2.1%
30303M102,META,META PLATFORMS INC,2850,2850,2.1M,2.1M,NEW,0.92%
02079K107,GOOG,ALPHABET INC,7430,7430,1.32M,1.32M,NEW,0.57%
235851102,DHR,DANAHER CORPORATION,32370,6670,6.39M,1.32M,+26%,2.8%
369604301,GE,GE AEROSPACE,22770,640,5.86M,164.73K,+2.9%,2.6%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,25860,550,6.89M,146.49K,+2.2%,3%
57636Q104,MA,MASTERCARD INCORPORATED,17310,0,9.73M,0,NO CHANGE,4.2%
025932104,AFG,AMERICAN FINL GROUP INC OHIO,51200,0,6.46M,0,NO CHANGE,2.8%
92826C839,V,VISA INC,11900,0,4.23M,0,NO CHANGE,1.8%
46428Q109,SLV,ISHARES SILVER TR,30000,0,984.3K,0,NO CHANGE,0.43%
85208R101,CEF,SPROTT PHYSICAL GOLD & SILVE,25000,0,752.5K,0,NO CHANGE,0.33%
46137V142,PHO,INVESCO EXCHANGE TRADED FD T,7400,0,517.33K,0,NO CHANGE,0.23%
78463V107,GLD,SPDR GOLD TR,348162,-417,106.13M,-127.11K,-0.1%,46.3%
907818108,UNP,UNION PAC CORP,18950,-3700,4.36M,-851.3K,-16.3%,1.9%
19260Q107,COIN,COINBASE GLOBAL INC,0,-10810,0,-1.86M,CLOSE,0%
87256C101,TKO,TKO GROUP HOLDINGS INC,39500,-11500,7.19M,-2.09M,-22.5%,3.1%
594918104,MSFT,MICROSOFT CORP,20030,-4270,9.96M,-2.12M,-17.6%,4.3%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-29665,0,-3.05M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,0,-29057,0,-3.15M,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,43085,-15835,9.76M,-3.59M,-26.9%,4.3%
56400P706,MNKD,MANNKIND CORP,0,-748700,0,-3.77M,CLOSE,0%
038222105,AMAT,APPLIED MATLS INC,0,-26500,0,-3.85M,CLOSE,0%
87422Q109,TLN,TALEN ENERGY CORP,0,-20790,0,-4.15M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,0,-25055,0,-4.19M,CLOSE,0%
G25508105,CRH,CRH PLC,8400,-52170,771.12K,-4.79M,-86.1%,0.34%
200340107,CMA,COMERICA INC,0,-97500,0,-5.76M,CLOSE,0%
13646K108,CP,CANADIAN PACIFIC KANSAS CITY,114400,-76200,9.07M,-6.04M,-40%,4%
023135106,AMZN,AMAZON COM INC,31230,-35500,6.85M,-7.79M,-53.2%,3%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,0,-16080,0,-8M,CLOSE,0%
Total,,,,,229.41M,-36.42M,-14.8%,100%
