CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
040413205,ANET,ARISTA NETWORKS INC,415600,415600,42.52M,42.52M,NEW,10.2%
958102105,WDC,WESTERN DIGITAL CORP,451000,451000,28.86M,28.86M,NEW,6.9%
19247G107,COHR,COHERENT CORP,319761,319761,28.53M,28.53M,NEW,6.8%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,369100,369100,25.97M,25.97M,NEW,6.2%
466313103,JBL,JABIL INC,107800,107800,23.51M,23.51M,NEW,5.6%
037833100,AAPL,APPLE INC,99400,99400,20.39M,20.39M,NEW,4.9%
007903107,AMD,ADVANCED MICRO DEVICES INC,128400,128400,18.22M,18.22M,NEW,4.4%
871607107,SNPS,SYNOPSYS INC,33300,33300,17.07M,17.07M,NEW,4.1%
80004C200,SNDK,SANDISK CORP,314600,314600,14.27M,14.27M,NEW,3.4%
15101Q207,CLS,CELESTICA INC,74800,74800,11.68M,11.68M,NEW,2.8%
032095101,APH,AMPHENOL CORP NEW,166300,92300,16.42M,9.11M,+124.7%,3.9%
512807306,LRCX,LAM RESEARCH CORP,279834,68834,27.24M,6.7M,+32.6%,6.5%
219350105,GLW,CORNING INC,526349,108400,27.68M,5.7M,+25.9%,6.6%
882508104,TXN,TEXAS INSTRS INC,147500,25200,30.62M,5.23M,+20.6%,7.3%
74736K101,QRVO,QORVO INC,197900,58000,16.8M,4.92M,+41.5%,4%
67066G104,NVDA,NVIDIA CORPORATION,284400,2700,44.93M,426.57K,+1%,10.8%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,157100,-24300,22.67M,-3.51M,-13.4%,5.4%
49338L103,KEYS,KEYSIGHT TECHNOLOGIES INC,0,-32100,0,-4.81M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,0,-39587,0,-6.63M,CLOSE,0%
654902204,NOK,NOKIA CORP,0,-1788700,0,-9.43M,CLOSE,0%
01749D105,ALGM,ALLEGRO MICROSYSTEMS INC,0,-449600,0,-11.3M,CLOSE,0%
032654105,ADI,ANALOG DEVICES INC,0,-60200,0,-12.14M,CLOSE,0%
595112103,MU,MICRON TECHNOLOGY INC,0,-166200,0,-14.44M,CLOSE,0%
N07059210,ASML,ASML HOLDING N V,0,-23400,0,-15.51M,CLOSE,0%
171779309,CIEN,CIENA CORP,0,-297162,0,-17.96M,CLOSE,0%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,0,-103300,0,-26.27M,CLOSE,0%
Total,,,,,417.4M,141.13M,+59.8%,100%
