CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
253393102,DKS,DICKS SPORTING GOODS INC,170731,170731,33.77M,33.77M,NEW,5.6%
88160R101,TSLA,TESLA INC,55941,55941,17.77M,17.77M,NEW,3%
751212101,RL,RALPH LAUREN CORP,117470,58764,32.22M,16.12M,+100.1%,5.4%
31488V107,FERG,FERGUSON ENTERPRISES INC,148481,73814,32.33M,16.07M,+98.9%,5.4%
22160N109,CSGP,COSTAR GROUP INC,512507,119309,41.21M,9.59M,+30.3%,6.9%
143130102,KMX,CARMAX INC,606928,136860,40.79M,9.2M,+29.1%,6.8%
531229755,FWONK,LIBERTY MEDIA CORP DEL,360379,54993,37.66M,5.75M,+18%,6.3%
20717M103,CFLT,CONFLUENT INC,1207633,148293,30.11M,3.7M,+14%,5%
G6683N103,NU,NU HLDGS LTD,2812435,192187,38.59M,2.64M,+7.3%,6.4%
30303M102,META,META PLATFORMS INC,76272,0,56.3M,0,NO CHANGE,9.4%
64110L106,NFLX,NETFLIX INC,30081,0,40.28M,0,NO CHANGE,6.7%
58733R102,MELI,MERCADOLIBRE INC,10642,0,27.81M,0,NO CHANGE,4.6%
531229722,LLYVK,LIBERTY MEDIA CORP DEL,0,-16891,0,-1.15M,CLOSE,0%
H5919C104,ONON,ON HLDG AG,376178,-74104,19.58M,-3.86M,-16.5%,3.3%
171779309,CIEN,CIENA CORP,378962,-54527,30.82M,-4.43M,-12.6%,5.1%
00827B106,AFRM,AFFIRM HLDGS INC,591076,-71765,40.87M,-4.96M,-10.8%,6.8%
099406100,BOOT,BOOT BARN HLDGS INC,0,-50000,0,-5.37M,CLOSE,0%
461202103,INTU,INTUIT,49089,-7454,38.66M,-5.87M,-13.2%,6.4%
G93A5A101,VIK,VIKING HOLDINGS LTD,785860,-173197,41.88M,-9.23M,-18.1%,7%
911684108,AD,UNITED STATES CELLULAR CORP,0,-200366,0,-13.86M,CLOSE,0%
934423104,WBD,WARNER BROS DISCOVERY INC,0,-1792720,0,-19.24M,CLOSE,0%
Total,,,,,600.65M,46.64M,+10.3%,100%
