CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,659678,531388,37.46M,30.17M,+414.2%,2.7%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,241619,173169,13M,9.32M,+253%,0.92%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,47912,15400,23.58M,7.58M,+47.4%,1.7%
25459W458,SOXL,DIREXION SHS ETF TR,1092236,224899,26.99M,5.56M,+25.9%,1.9%
46120E602,ISRG,INTUITIVE SURGICAL INC,55150,7077,29.67M,3.81M,+14.7%,2.1%
25459W102,TECL,DIREXION SHS ETF TR,107356,36499,9.78M,3.33M,+51.5%,0.69%
670100205,NVO,NOVO-NORDISK A S,399299,44223,27.88M,3.09M,+12.5%,2%
037833100,AAPL,APPLE INC,537181,7933,111.64M,1.65M,+1.5%,7.9%
46641Q837,JPST,J P MORGAN EXCHANGE TRADED F,24401,24401,1.23M,1.23M,NEW,0.09%
92189F676,SMH,VANECK ETF TRUST,3993,3993,1.1M,1.1M,NEW,0.08%
92204A702,VGT,VANGUARD WORLD FD,3262,1661,2.14M,1.09M,+103.7%,0.15%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,33530,7478,4.38M,977.24K,+28.7%,0.31%
922908751,VB,VANGUARD INDEX FDS,7686,3909,1.84M,936.03K,+103.5%,0.13%
023135106,AMZN,AMAZON COM INC,587514,4189,129.52M,923.51K,+0.7%,9.2%
921943858,VEA,VANGUARD TAX-MANAGED FDS,15848,15848,902.84K,902.84K,NEW,0.06%
25461A858,AMZU,DIREXION SHS ETF TR,68074,24152,2.52M,894.35K,+55%,0.18%
75886F107,REGN,REGENERON PHARMACEUTICALS,29479,1623,15.77M,868.16K,+5.8%,1.1%
78462F103,SPY,SPDR S&P 500 ETF TR,6454,1240,3.99M,765.84K,+23.8%,0.28%
90353T100,UBER,UBER TECHNOLOGIES INC,195310,8212,17.99M,756.57K,+4.4%,1.3%
824348106,SHW,SHERWIN WILLIAMS CO,1824,1824,648.06K,648.06K,NEW,0.05%
922908611,VBR,VANGUARD INDEX FDS,2817,2817,559.45K,559.45K,NEW,0.04%
09857L108,BKNG,BOOKING HOLDINGS INC,91,91,522.87K,522.87K,NEW,0.04%
532457108,LLY,ELI LILLY & CO,55594,656,43.14M,508.99K,+1.2%,3.1%
032095101,APH,AMPHENOL CORP NEW,5140,5140,500.6K,500.6K,NEW,0.04%
464287887,IJT,ISHARES TR,3713,3713,497.07K,497.07K,NEW,0.04%
35671D857,FCX,FREEPORT-MCMORAN INC,291135,11229,12.82M,494.64K,+4%,0.91%
69344A107,PULS,PGIM ETF TR,8936,8936,443.04K,443.04K,NEW,0.03%
17275R102,CSCO,CISCO SYS INC,5614,5614,387.91K,387.91K,NEW,0.03%
26614N102,DD,DUPONT DE NEMOURS INC,15184,5321,1.08M,380.18K,+53.9%,0.08%
91324P102,UNH,UNITEDHEALTH GROUP INC,1164,1164,379.66K,379.66K,NEW,0.03%
25461A833,NVDU,DIREXION SHS ETF TR,4047,4047,377.34K,377.34K,NEW,0.03%
25461A882,NFXL,DIREXION SHS ETF TR,5432,5432,372.19K,372.19K,NEW,0.03%
15101Q207,CLS,CELESTICA INC,2461,2461,366.49K,366.49K,NEW,0.03%
68389X105,ORCL,ORACLE CORP,4599,1659,1.01M,363.24K,+56.4%,0.07%
78464A854,SPLG,SPDR SERIES TRUST,62455,4950,4.54M,359.62K,+8.6%,0.32%
74933W452,TBIL,RBB FD INC,7074,7074,352.41K,352.41K,NEW,0.02%
57636Q104,MA,MASTERCARD INCORPORATED,1186,621,669.78K,350.71K,+109.9%,0.05%
19260Q107,COIN,COINBASE GLOBAL INC,999,999,334.86K,334.86K,NEW,0.02%
433000106,HIMS,HIMS & HERS HEALTH INC,6951,6951,333.37K,333.37K,NEW,0.02%
701094104,PH,PARKER-HANNIFIN CORP,451,451,317.18K,317.18K,NEW,0.02%
002824100,ABT,ABBOTT LABS,2322,2322,316.4K,316.4K,NEW,0.02%
46432F339,QUAL,ISHARES TR,1724,1724,316.27K,316.27K,NEW,0.02%
316092352,FBCG,FIDELITY COVINGTON TRUST,24291,6351,1.16M,303.26K,+35.4%,0.08%
025816109,AXP,AMERICAN EXPRESS CO,928,928,299.42K,299.42K,NEW,0.02%
46138G649,QQQM,INVESCO EXCH TRADED FD TR II,2452,1313,551.96K,295.56K,+115.3%,0.04%
75513E101,RTX,RTX CORPORATION,3818,1992,550.54K,287.24K,+109.1%,0.04%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,11675,631,5.28M,285.31K,+5.7%,0.37%
26922A420,QTUM,ETF SER SOLUTIONS,3106,3106,283.91K,283.91K,NEW,0.02%
81369Y506,XLE,SELECT SECTOR SPDR TR,3313,3313,283.14K,283.14K,NEW,0.02%
