CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
037833100,AAPL,APPLE INC,120280483,106910669,24.68B,21.93B,+799.6%,5%
023135106,AMZN,AMAZON COM INC,77918257,69080235,17.09B,15.16B,+781.6%,3.5%
67066G104,NVDA,NVIDIA CORPORATION,237522286,30727360,37.53B,4.85B,+14.9%,7.6%
02079K305,GOOGL,ALPHABET INC,55388441,11522921,9.76B,2.03B,+26.3%,2%
30303M102,META,META PLATFORMS INC,14804835,2261367,10.93B,1.67B,+18%,2.2%
11135F101,AVGO,BROADCOM INC,39872098,4628631,10.99B,1.28B,+13.1%,2.2%
74340W103,PLD,PROLOGIS INC.,13284978,11823470,1.4B,1.24B,+809%,0.28%
02079K107,GOOG,ALPHABET INC,38667704,6627000,6.86B,1.18B,+20.7%,1.4%
03027X100,AMT,AMERICAN TOWER CORP NEW,5568961,4775260,1.23B,1.06B,+601.6%,0.25%
532457108,LLY,ELI LILLY & CO,7871481,1093890,6.14B,852.72M,+16.1%,1.2%
G54950103,LIN,LINDE PLC,4956127,1789832,2.33B,839.75M,+56.5%,0.47%
742718109,PG,PROCTER AND GAMBLE CO,22534779,5241351,3.59B,835.05M,+30.3%,0.73%
92826C839,V,VISA INC,16526067,2248921,5.87B,798.48M,+15.8%,1.2%
437076102,HD,HOME DEPOT INC,10941722,1992318,4.01B,730.46M,+22.3%,0.81%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,8309786,7804371,748.96M,703.41M,+1544.2%,0.15%
14040H105,COF,CAPITAL ONE FINL CORP,7768393,3091265,1.65B,657.7M,+66.1%,0.33%
89417E109,TRV,TRAVELERS COMPANIES INC,2942317,2341706,787.19M,626.5M,+389.9%,0.16%
H2927K103,AMRZ,AMRIZE LTD,12343881,12343881,611.64M,611.64M,NEW,0.12%
57636Q104,MA,MASTERCARD INCORPORATED,8229144,1051838,4.62B,591.07M,+14.7%,0.94%
369604301,GE,GE AEROSPACE,9829239,2153059,2.53B,554.18M,+28%,0.51%
032654105,ADI,ANALOG DEVICES INC,5716144,2318963,1.36B,551.96M,+68.3%,0.28%
573874104,MRVL,MARVELL TECHNOLOGY INC,14604793,6902182,1.13B,534.23M,+89.6%,0.23%
580135101,MCD,MCDONALDS CORP,6919656,1777183,2.02B,519.24M,+34.6%,0.41%
478160104,JNJ,JOHNSON & JOHNSON,19674169,3319402,3.01B,507.04M,+20.3%,0.61%
09857L108,BKNG,BOOKING HOLDINGS INC,358503,85021,2.08B,492.21M,+31.1%,0.42%
882508104,TXN,TEXAS INSTRS INC,10722579,2351157,2.23B,488.15M,+28.1%,0.45%
