CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
01609W102,BABA,ALIBABA GROUP HLDG LTD,1764091,972852,200.07M,110.33M,+123%,38.2%
01609WBG6,BABA,ALIBABA GROUP HLDG LTD,26500000,26500000,33.93M,33.93M,NEW,6.5%
47215PAJ5,JD,JD.COM INC,21000000,21000000,21.99M,21.99M,NEW,4.2%
595112103,MU,MICRON TECHNOLOGY INC,825664,43249,101.76M,5.33M,+5.5%,19.4%
67066G104,NVDA,NVIDIA CORPORATION,52790,30320,8.34M,4.79M,+134.9%,1.6%
92206C409,VCSH,VANGUARD SCOTTSDALE FDS,158647,14131,12.61M,1.12M,+9.8%,2.4%
482497104,BEKE,KE HLDGS INC,1288991,0,22.87M,0,NO CHANGE,4.4%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,164163,0,3.36M,0,NO CHANGE,0.64%
86800UAB0,SMCI,SUPER MICRO COMPUTER INC,1000000,0,1.03M,0,NO CHANGE,0.2%
11135F101,AVGO,BROADCOM INC,8453,-3791,2.33M,-1.04M,-31%,0.44%
031652100,AMKR,AMKOR TECHNOLOGY INC,1109481,-56442,23.29M,-1.18M,-4.8%,4.4%
747525103,QCOM,QUALCOMM INC,579387,-42099,92.27M,-6.7M,-6.8%,17.6%
48553T106,BZ,KANZHUN LIMITED,0,-469560,0,-9M,CLOSE,0%
037833100,AAPL,APPLE INC,0,-97414,0,-21.64M,CLOSE,0%
Total,,,,,523.85M,137.92M,+37.8%,100%
