CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88160R101,TSLA,TESLA INC,414661,68766,131.72M,21.84M,+19.9%,18.2%
91324P102,UNH,UNITEDHEALTH GROUP INC,41434,41434,12.93M,12.93M,NEW,1.8%
67066G104,NVDA,NVIDIA CORPORATION,757098,0,119.61M,0,NO CHANGE,16.6%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,748500,0,102.04M,0,NO CHANGE,14.1%
11135F101,AVGO,BROADCOM INC,300300,0,82.78M,0,NO CHANGE,11.5%
76655K103,RGTI,RIGETTI COMPUTING INC,3806935,0,45.15M,0,NO CHANGE,6.3%
46222L10A,IONQ,IONQ INC,768900,0,33.04M,0,NO CHANGE,4.6%
N07059210,ASML,ASML HOLDING N V,34000,0,27.25M,0,NO CHANGE,3.8%
74624M102,PSTG,PURE STORAGE INC,412467,0,23.75M,0,NO CHANGE,3.3%
64110D104,NTAP,NETAPP INC,153500,0,16.36M,0,NO CHANGE,2.3%
042068205,ARM,ARM HOLDINGS PLC,89000,0,14.39M,0,NO CHANGE,2%
03831W108,APP,APPLOVIN CORP,31900,0,11.17M,0,NO CHANGE,1.5%
60937P106,MDB,MONGODB INC,45500,0,9.55M,0,NO CHANGE,1.3%
773122106,RKLB,ROCKET LAB USA INC,259000,0,9.26M,0,NO CHANGE,1.3%
68389X105,ORCL,ORACLE CORP,40000,0,8.75M,0,NO CHANGE,1.2%
836100107,SOUN,SOUNDHOUND AI INC,785000,0,8.42M,0,NO CHANGE,1.2%
697435105,PANW,PALO ALTO NETWORKS INC,29500,0,6.04M,0,NO CHANGE,0.84%
573874104,MRVL,MARVELL TECHNOLOGY INC,67500,0,5.22M,0,NO CHANGE,0.72%
88076W103,TDC,TERADATA CORP DEL,101504,0,2.26M,0,NO CHANGE,0.31%
83089J108,SKYT,SKYWATER TECHNOLOGY INC,125183,0,1.23M,0,NO CHANGE,0.17%
747906600,QMCO,QUANTUM CORP,0,-75237,0,-1.08M,CLOSE,0%
833445109,SNOW,SNOWFLAKE INC,0,-13545,0,-1.98M,CLOSE,0%
74766W108,QUBT,QUANTUM COMPUTING INC,552518,-103761,10.59M,-1.99M,-15.8%,1.5%
466313103,JBL,JBIL INC,0,-15099,0,-2.05M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,0,-11800,0,-4.43M,CLOSE,0%
26740W109,QBTS,D-WAVE QUANTUM INC,2783508,-1844196,40.75M,-27M,-39.9%,5.6%
Total,,,,,722.27M,-3.76M,-0.8%,100%
