CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
15101Q207,CLS,CELESTICA INC,1191321,694868,185.98M,108.48M,+140%,8.3%
Q4982L109,IREN,IREN LIMITED,3266148,3266148,47.59M,47.59M,NEW,2.1%
595112103,MU,MICRON TECHNOLOGY INC,1887678,382618,232.66M,47.16M,+25.4%,10.4%
512807306,LRCX,LAM RESEARCH CORP,482330,460816,46.95M,44.86M,+2141.9%,2.1%
26884L109,EQT,EQT CORP,452481,449631,26.39M,26.22M,+15776.5%,1.2%
21037T109,CEG,CONSTELLATION ENERGY CORP,714763,80276,230.7M,25.91M,+12.7%,10.3%
04010E109,AGX,ARGAN INC,110562,110562,24.38M,24.38M,NEW,1.1%
G3323L100,FN,FABRINET,193581,79138,57.04M,23.32M,+69.2%,2.5%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,1349657,1349657,23.04M,23.04M,NEW,1%
000360206,AAON,AAON INC,334498,296036,24.67M,21.83M,+769.7%,1.1%
482480100,KLAC,KLA CORP,23511,22504,21.06M,20.16M,+2234.8%,0.94%
N97284108,NBIS,NEBIUS GROUP N.V.,2228124,348309,123.28M,19.27M,+18.5%,5.5%
44812J104,HUT,HUT 8 CORP,927040,927040,17.24M,17.24M,NEW,0.77%
67066G104,NVDA,NVIDIA CORPORATION,131430,106864,20.76M,16.88M,+435%,0.93%
02079K305,GOOGL,ALPHABET INC,71693,67846,12.63M,11.96M,+1763.6%,0.56%
093712107,BE,BLOOM ENERGY CORP,2044417,435230,48.9M,10.41M,+27%,2.2%
038222105,AMAT,APPLIED MATLS INC,110764,53576,20.28M,9.81M,+93.7%,0.91%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,832509,832509,9.56M,9.56M,NEW,0.43%
87422Q109,TLN,TALEN ENERGY CORP,376428,25635,109.45M,7.45M,+7.3%,4.9%
89346D107,TAC,TRANSALTA CORP,633587,633587,6.84M,6.84M,NEW,0.31%
92537N108,VRT,VERTIV HOLDINGS CO,1753721,31484,225.2M,4.04M,+1.8%,10.1%
87288V101,TSSI,TSS INC DEL,353149,101021,10.18M,2.91M,+40.1%,0.45%
767292105,RIOT,RIOT PLATFORMS INC,5141221,128238,58.1M,1.45M,+2.6%,2.6%
40609P105,HNRG,HALLADOR ENERGY COMPANY,28182,28182,446.12K,446.12K,NEW,0.02%
02079K107,GOOG,ALPHABET INC,4785,1625,848.81K,288.26K,+51.4%,0.04%
594918104,MSFT,MICROSOFT CORP,466,346,231.79K,172.1K,+288.3%,0.01%
007903107,AMD,ADVANCED MICRO DEVICES INC,623,623,88.4K,88.4K,NEW,<.01%
N07059210,ASML,ASML HOLDING N V,0,-100,0,-66.26K,CLOSE,0%
68389X105,ORCL,ORACLE CORP,0,-1555,0,-217.41K,CLOSE,0%
023135106,AMZN,AMAZON COM INC,89,-4474,19.53K,-981.57K,-98%,<.01%
11135F101,AVGO,BROADCOM INC,19,-5930,5.24K,-1.63M,-99.7%,<.01%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,504,-7445,114.15K,-1.69M,-93.7%,<.01%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-137617,0,-8.47M,CLOSE,0%
04626A103,ALAB,ASTERA LABS INC,1181031,-152167,106.79M,-13.76M,-11.4%,4.8%
M20791105,CAMT,CAMTEK LTD,0,-235238,0,-13.79M,CLOSE,0%
92840M102,VST,VISTRA CORP,1368338,-113753,265.2M,-22.05M,-7.7%,11.8%
19247G107,COHR,COHERENT CORP,232518,-292466,20.74M,-26.09M,-55.7%,0.93%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,0,-668067,0,-26.83M,CLOSE,0%
683344105,ONTO,ONTO INNOVATION INC,0,-223840,0,-27.16M,CLOSE,0%
36828A101,GEV,GE VERNOVA INC,384669,-109955,203.55M,-58.18M,-22.2%,9.1%
629377508,NRG,NRG ENERGY INC,356956,-388738,57.32M,-62.42M,-52.1%,2.6%
Total,,,,,2.24B,268.42M,+21.8%,100%
