CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
038222105,AMAT,Applied Materials Inc,8870221,1169236,1.62B,214.05M,+15.2%,1.8%
512807306,LRCX,Lam Research Corp,6140267,2024347,597.69M,197.05M,+49.2%,0.68%
007903107,AMD,Advanced Micro Devices Inc,12418030,1255125,1.76B,178.1M,+11.2%,2%
149123101,CAT,Caterpillar Inc,571724,458063,221.95M,177.82M,+403%,0.25%
427866108,HSY,Hershey Co/The,1063081,1029598,176.42M,170.86M,+3075%,0.2%
713448108,PEP,PepsiCo Inc,2961682,1257615,391.06M,166.06M,+73.8%,0.44%
189054109,CLX,Clorox Co/The,1397501,1362163,167.8M,163.55M,+3854.7%,0.19%
655663102,NDSN,Nordson Corp,762014,762014,163.35M,163.35M,NEW,0.18%
98138H101,WDAY,Workday Inc,707579,657898,169.82M,157.9M,+1324.2%,0.19%
458140100,INTC,Intel Corp,46951929,6738512,1.05B,150.94M,+16.8%,1.2%
79466L302,CRM,Salesforce.com Inc,1193406,534702,325.43M,145.81M,+81.2%,0.37%
45167R104,IEX,IDEX Corp,1766539,793849,310.15M,139.38M,+81.6%,0.35%
N07059210,ASML,ASML Holding NV,1843071,162956,1.48B,130.59M,+9.7%,1.7%
75513E101,RTX,RTX Corp,5700518,846800,832.39M,123.65M,+17.4%,0.94%
032654105,ADI,Analog Devices Inc,5344534,407841,1.27B,97.07M,+8.3%,1.4%
110122018,BMY,Bristol-Myers Squibb Co,1951366,1951366,90.33M,90.33M,NEW,0.1%
29446Y502,EQX,Equinox Gold Corp,50203187,15575211,289.34M,89.77M,+45%,0.33%
68634K106,ORLA,Orla Mining Ltd,14823299,8600816,148.55M,86.19M,+138.2%,0.17%
882508104,TXN,Texas Instruments Inc,7498333,409899,1.56B,85.1M,+5.8%,1.8%
931142103,WMT,Walmart Inc,982860,713411,96.1M,69.76M,+264.8%,0.11%
485924104,KRMN,Karman Holdings Inc,1309508,1309508,65.96M,65.96M,NEW,0.07%
747525103,QCOM,QUALCOMM Inc,7653251,412862,1.22B,65.75M,+5.7%,1.4%
008073108,AVAV,AeroVironment Inc,584560,224656,166.57M,64.02M,+62.4%,0.19%
01921D204,AAUC,Allied Gold Corp,4524986,4524986,60.79M,60.79M,NEW,0.07%
369604301,GE,General Electric Co,222275,222198,57.21M,57.19M,+288568.8%,0.06%
172573107,CRCL,Circle Internet Group Inc,308417,308417,55.91M,55.91M,NEW,0.06%
N4732M103,JBS,JBS NV,3471405,3471405,50.72M,50.72M,NEW,0.06%
13321L108,CCJ,Cameco Corp,3799746,633712,282.1M,47.05M,+20%,0.32%
92343V104,VZ,Verizon Communications Inc,3569188,1080255,154.44M,46.74M,+43.4%,0.17%
002824100,ABT,Abbott Laboratories,353472,321848,48.08M,43.77M,+1017.7%,0.05%
573874104,MRVL,Marvell Technology Inc,7898657,484619,611.36M,37.51M,+6.5%,0.69%
248356107,DNN,Denison Mines Corp,53454626,19620113,97.29M,35.71M,+58%,0.11%
36317J209,GLXY,Galaxy Digital Inc,1542293,1542293,33.8M,33.8M,NEW,0.04%
90353T100,UBER,Uber Technologies Inc,406348,342712,37.91M,31.97M,+538.6%,0.04%
482480100,KLAC,KLA Corp,1409440,35323,1.26B,31.64M,+2.6%,1.4%
05605H100,BWXT,BWX Technologies Inc,780791,218214,112.48M,31.44M,+38.8%,0.13%
63010H108,NNE,NANO Nuclear Energy Inc,1568018,814392,54.08M,28.09M,+108.1%,0.06%
532457108,LLY,Eli Lilly & Co,305789,35910,238.37M,27.99M,+13.3%,0.27%
743315103,PGR,Progressive Corp/The,112159,97655,29.93M,26.06M,+673.3%,0.03%
525327102,LDOS,Leidos Holdings Inc,2265486,155048,357.4M,24.46M,+7.3%,0.4%
244916102,DEFT,Defi Technologies Inc,7478630,7478630,21.6M,21.6M,NEW,0.02%
231561101,CW,Curtiss-Wright Corp,702964,41603,343.43M,20.33M,+6.3%,0.39%
82846H504,QXOB,QXO Inc,341898,341898,20.31M,20.31M,NEW,0.02%
916896103,UEC,Uranium Energy Corp,16225083,2938131,110.33M,19.98M,+22.1%,0.12%
037833100,AAPL,Apple Inc,1141321,94135,234.16M,19.31M,+9%,0.27%
717081103,PFE,Pfizer Inc,22901039,795423,555.12M,19.28M,+3.6%,0.63%
126650100,CVS,CVS Health Corp,1098815,262118,75.8M,18.08M,+31.3%,0.09%
34959E109,FTNT,Fortinet Inc,3432449,165130,362.88M,17.46M,+5.1%,0.41%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,433766,43051,175.88M,17.46M,+11%,0.2%
46982L108,J,Jacobs Solutions Inc,300094,132147,39.45M,17.37M,+78.7%,0.04%
852234103,XYZ,Block Inc,772867,247174,52.5M,16.79M,+47%,0.06%
773121108,RKLB,Rocket Lab Corp,461735,461735,16.52M,16.52M,NEW,0.02%
064149107,BNS,Bank of Nova Scotia/The,822787,296224,45.53M,16.39M,+56.3%,0.05%
127190304,CACI,CACI International Inc,369246,34076,176.02M,16.24M,+10.2%,0.2%
58933Y105,MRK,Merck & Co Inc,3295691,203845,260.89M,16.14M,+6.6%,0.3%
808625107,SAIC,Science Applications International Corp,854981,141958,96.28M,15.99M,+19.9%,0.11%
21037T109,CEG,Constellation Energy Corp,422046,49381,136.22M,15.94M,+13.3%,0.15%
03938L203,MT,ArcelorMittal SA,876636,485500,27.68M,15.33M,+124.1%,0.03%
670100205,NVO,Novo Nordisk A/S,668595,221038,46.15M,15.26M,+49.4%,0.05%
