CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,101122,7590,15.98M,1.2M,+8.1%,9.9%
040919102,ARKB,ARK 21SHARES BITCOIN ETF,31749,21666,1.14M,775.43K,+214.9%,0.7%
30303M102,META,META PLATFORMS INCORPORATED CLASS A,2715,849,2M,626.74K,+45.5%,1.2%
22788C105,CRWD,CROWDSTRIKE HLDGS INC CLASS A,941,918,479.26K,467.55K,+3991.3%,0.3%
67097R202,ZNGRIX,NUVEEN GLOBAL CITIES REIT INC CLASS I,37132,37132,427.01K,427.01K,NEW,0.26%
443573100,HUBS,HUBSPOT INC,750,750,417.47K,417.47K,NEW,0.26%
922908363,VOO,VANGUARD S&P 500 ETF,422,416,239.71K,236.3K,+6933.3%,0.15%
26923N462,MSTU,T REX 2X LONG MSTR DAILYTARGET ETF,22000,22000,190.3K,190.3K,NEW,0.12%
88160R101,TSLA,TESLA INCORPORATED,2579,573,819.25K,182.02K,+28.6%,0.51%
803054204,SAP,SAP SE SPON ADR,448,448,136.24K,136.24K,NEW,0.08%
046353108,AZN,ASTRAZENECA PLC SPONSORED ADR,1746,1746,122.01K,122.01K,NEW,0.08%
835699307,SONY,SONY GROUP CORPORATION SPONSORED ADR,4500,4500,117.14K,117.14K,NEW,0.07%
14040H105,COF,CAPITAL ONE FINL CORPORATION,617,522,131.27K,111.06K,+549.5%,0.08%
69608A108,PLTR,PALANTIR TECHNOLOGIES INCORPORATED CLASS A,1065,750,145.18K,102.24K,+238.1%,0.09%
03769M106,APO,APOLLO GLOBAL MGMT INCORPORATED,1734,715,246K,101.44K,+70.2%,0.15%
03831W108,APP,APPLOVIN CORP CLASS A,279,279,97.67K,97.67K,NEW,0.06%
922908744,VTV,VANGUARD VALUE ETF,25666,383,4.54M,67.69K,+1.5%,2.8%
458140100,INTC,INTEL CORPORATION,6450,3000,144.48K,67.2K,+87%,0.09%
007903107,AMD,ADVANCED MICRO DEVICES INCORPORATED,1119,470,158.79K,66.69K,+72.4%,0.1%
90353T100,UBER,UBER TECHNOLOGIES INCORPORATED,123996,603,11.57M,56.26K,+0.5%,7.1%
767204100,RIO,RIO TINTO PLC SPONSORED ADR,905,905,52.79K,52.79K,NEW,0.03%
025537101,AEP,AMERICAN ELEC PWR COMPANY INCORPORATED,551,500,57.17K,51.88K,+980.4%,0.04%
922908512,VOE,VANGUARD MID-CAP VALUE ETF,13627,292,2.24M,48.02K,+2.2%,1.4%
00123Q104,AGNC,AGNC INVT CORP REIT,5000,5000,45.95K,45.95K,NEW,0.03%
00287Y109,ABBV,ABBVIE INCORPORATED,731,230,135.69K,42.69K,+45.9%,0.08%
783513203,RYAAY,RYANAIR HOLDINGS PLC SPONSORED ADR,680,680,39.23K,39.23K,NEW,0.02%
69121K104,OBDC,BLUE OWL CAPITAL CORPORATION,199661,2626,2.86M,37.66K,+1.3%,1.8%
06849F108,B,BARRICK MNG CORP F,1578,1578,32.85K,32.85K,NEW,0.02%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF SHS BEN INT,7522,455,460.42K,27.85K,+6.4%,0.28%
Y38472125,HYMLF,HYUNDAI MOTOR CO L ORDF,475,475,25.63K,25.63K,NEW,0.02%
922908595,VBK,VANGUARD SMALL-CAP GROWTH ETF,1277,79,353.52K,21.87K,+6.6%,0.22%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LIMITED SPONSORED ADS,70,70,15.85K,15.85K,NEW,<.01%
80105N105,SNY,SANOFI SPONSORED ADR,263,263,12.71K,12.71K,NEW,<.01%
