CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
64110L106,NFLX,NETFLIX INC,253209,253209,339.08M,339.08M,NEW,4.7%
67066G104,NVDA,NVIDIA CORPORATION,3591319,1732458,567.39M,273.71M,+93.2%,7.9%
81141R100,SE,SEA LTD,1409496,1409496,225.43M,225.43M,NEW,3.1%
22266T109,CPNG,COUPANG INC,3557564,3557564,106.58M,106.58M,NEW,1.5%
87305R109,TTMI,TTM TECHNOLOGIES INC,2423595,2423595,98.93M,98.93M,NEW,1.4%
219350105,GLW,CORNING INC,1875306,1875306,98.62M,98.62M,NEW,1.4%
00827B106,AFRM,AFFIRM HLDGS INC,1275022,1275022,88.16M,88.16M,NEW,1.2%
82982T106,SITM,SITIME CORP,402805,402805,85.83M,85.83M,NEW,1.2%
M6191J100,FROG,JFROG LTD,1713706,1713706,75.2M,75.2M,NEW,1%
461202103,INTU,INTUIT,87168,87168,68.66M,68.66M,NEW,0.95%
171779309,CIEN,CIENA CORP,835848,835848,67.98M,67.98M,NEW,0.94%
11135F101,AVGO,BROADCOM INC,1637124,201199,451.27M,55.46M,+14%,6.3%
19247G107,COHR,COHERENT CORP,1008185,563752,89.94M,50.29M,+126.8%,1.2%
16935C109,CHYM,CHIME FINL INC,1398466,1398466,48.26M,48.26M,NEW,0.67%
M7S64H106,MNDY,MONDAY COM LTD,329280,137076,103.55M,43.11M,+71.3%,1.4%
58733R102,MELI,MERCADOLIBRE INC,62562,15925,163.51M,41.62M,+34.1%,2.3%
826919102,SLAB,SILICON LABORATORIES INC,248282,248282,36.59M,36.59M,NEW,0.51%
29362U104,ENTG,ENTEGRIS INC,420128,420128,33.88M,33.88M,NEW,0.47%
86800U302,SMCI,SUPER MICRO COMPUTER INC,556519,556519,27.27M,27.27M,NEW,0.38%
01644J108,ALKT,ALKAMI TECHNOLOGY INC,665945,665945,20.07M,20.07M,NEW,0.28%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,605847,81394,137.22M,18.43M,+15.5%,1.9%
433313103,HNGE,HINGE HEALTH INC,173544,173544,8.98M,8.98M,NEW,0.12%
816850101,SMTC,SEMTECH CORP,3991848,37736,180.19M,1.7M,+1%,2.5%
60937P106,MDB,MONGODB INC,419563,6589,88.1M,1.38M,+1.6%,1.2%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,1908017,0,39.02M,0,NO CHANGE,0.54%
443573100,HUBS,HUBSPOT INC,149246,-32082,83.07M,-17.86M,-17.7%,1.2%
49845K101,KVYO,KLAVIYO INC,3684445,-645304,123.72M,-21.67M,-14.9%,1.7%
722304102,PDD,PDD HOLDINGS INC,0,-199016,0,-23.55M,CLOSE,0%
609839105,MPWR,MONOLITHIC PWR SYS INC,0,-50150,0,-29.09M,CLOSE,0%
26142V105,DKNG,DRAFTKINGS INC NEW,5339131,-762830,229M,-32.72M,-12.5%,3.2%
20464U100,COMP,COMPASS INC,0,-3757979,0,-32.81M,CLOSE,0%
453204109,PI,IMPINJ INC,886098,-345818,98.42M,-38.41M,-28.1%,1.4%
30303M102,META,META PLATFORMS INC,621984,-56074,459.08M,-41.39M,-8.3%,6.4%
093712107,BE,BLOOM ENERGY CORP,2030449,-1924085,48.57M,-46.02M,-48.7%,0.67%
888787108,TOST,TOAST INC,0,-1398509,0,-46.39M,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,656977,-506629,84.36M,-65.06M,-43.5%,1.2%
771049103,RBLX,ROBLOX CORP,3432031,-753361,361.05M,-79.25M,-18%,5%
M98068105,WIX,WIX COM LTD,0,-487032,0,-79.57M,CLOSE,0%
G6683N103,NU,NU HLDGS LTD,17840345,-6620825,244.77M,-90.84M,-27.1%,3.4%
594918104,MSFT,MICROSOFT CORP,195680,-341751,97.33M,-169.99M,-63.6%,1.4%
26603R106,DUOL,DUOLINGO INC,488779,-418270,200.41M,-171.5M,-46.1%,2.8%
146869102,CVNA,CARVANA CO,582811,-567839,196.38M,-191.34M,-49.3%,2.7%
G3323L100,FN,FABRINET,634182,-653963,186.88M,-192.71M,-50.8%,2.6%
023135106,AMZN,AMAZON COM INC,1592989,-930307,349.49M,-204.1M,-36.9%,4.8%
679295105,OKTA,OKTA INC,434854,-2108250,43.47M,-210.76M,-82.9%,0.6%
03831W108,APP,APPLOVIN CORP,1224524,-614604,428.68M,-215.16M,-33.4%,5.9%
02079K305,GOOGL,ALPHABET INC,0,-1733266,0,-268.03M,CLOSE,0%
15101Q207,CLS,CELESTICA INC,4639115,-2227099,724.21M,-347.67M,-32.4%,10%
Total,,,,,7.21B,-700.64M,-12.2%,100%
