CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G7945M107,STX,Seagate Technology Holdings PLC,289774,0,68.4M,0,NO CHANGE,13.7%
859241101,STRL,"Sterling Infrastructure, Inc.",191300,0,64.98M,0,NO CHANGE,13%
05605H100,BWXT,"BWX Technologies, Inc.",281000,0,51.81M,0,NO CHANGE,10.3%
032095101,APH,Amphenol Corporation,382716,0,47.36M,0,NO CHANGE,9.5%
770700102,HOOD,"Robinhood Markets, Inc.",327697,0,46.92M,0,NO CHANGE,9.4%
00827B106,AFRM,"Affirm Holdings, Inc.",519230,0,37.95M,0,NO CHANGE,7.6%
13321L108,CCJ,Cameco Corporation,441120,0,36.99M,0,NO CHANGE,7.4%
146869102,CVNA,Carvana Co.,91462,0,34.5M,0,NO CHANGE,6.9%
87151X101,SYM,Symbotic Inc.,510000,0,27.49M,0,NO CHANGE,5.5%
901109108,TPC,Tutor Perini Corporation,410000,0,26.89M,0,NO CHANGE,5.4%
45866F104,ICE,Intercontinental Exchange Inc.,148385,0,25M,0,NO CHANGE,5%
12662P108,CVI,CVR Energy Inc.,670000,0,24.44M,0,NO CHANGE,4.9%
637215104,NPK,"National Presto Industries, Inc.",45000,0,5.05M,0,NO CHANGE,1%
693320103,PARK,"Park Ha Biological Technology Co., Ltd.",0,-96400,0,-3.37M,CLOSE,0%
68134L109,OLO,Olo Inc.,0,-380000,0,-6.38M,CLOSE,0%
N82405106,STLA,Stellantis N.V.,321200,-791800,3M,-7.4M,-71.1%,0.6%
Total,,,,,500.78M,-17.14M,-4.2%,100%
