CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
M5425M103,INMD,INMODE LTD,956630,956630,14.25M,14.25M,NEW,3.4%
886029206,THRY,THRYV HLDGS INC,1309459,1079016,15.79M,13.01M,+468.2%,3.8%
91688F104,UPWK,UPWORK INC,4268667,494759,79.27M,9.19M,+13.1%,19.1%
G0896C103,TBBB,BBB FOODS INC,138317,138317,3.73M,3.73M,NEW,0.9%
45841N107,IBKR,INTERACTIVE BROKERS GROUP IN,1643636,0,113.1M,0,NO CHANGE,27.2%
02005N100,ALLY,ALLY FINL INC,1308399,0,51.29M,0,NO CHANGE,12.3%
278768106,SATS,ECHOSTAR CORP,666389,0,50.89M,0,NO CHANGE,12.2%
N82405106,STLA,STELLANTIS N.V,3449412,0,32.22M,0,NO CHANGE,7.7%
21240E105,VLRS,CONTROLADORA VUELA COMP DE A,1960574,0,14.08M,0,NO CHANGE,3.4%
87507T101,TBN,TAMBORAN RES CORP,437142,0,11.97M,0,NO CHANGE,2.9%
54150E104,LOMA,LOMA NEGRA C I A S A MTN 14,1435809,0,10.58M,0,NO CHANGE,2.5%
84863V101,FLYYQ,SPIRIT AVIATION HLDGS INC,0,-19351,0,-96.56K,CLOSE,0%
62482R107,COOP,MR COOPER GROUP INC,0,-6366,0,-949.87K,CLOSE,0%
29788T103,ETWO,E2OPEN PARENT HOLDINGS INC,0,-414064,0,-1.34M,CLOSE,0%
77311W101,RKT,ROCKET COS INC,0,-119703,0,-1.7M,CLOSE,0%
35909R108,ULCC,FRONTIER GROUP HLDGS INC,4283803,-447030,18.91M,-1.97M,-9.4%,4.5%
516806205,VTLE,VITAL ENERGY INC,0,-335000,0,-5.39M,CLOSE,0%
Total,,,,,416.08M,28.74M,+9.3%,100%
