CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,200000,200000,55.86M,55.86M,NEW,3.6%
64110L106,NFLX,NETFLIX INC,41000,41000,49.16M,49.16M,NEW,3.2%
21873S108,CRWV,COREWEAVE INC,350000,350000,47.9M,47.9M,NEW,3.1%
01609W102,BABA,ALIBABA GROUP HLDG LTD,250000,250000,44.68M,44.68M,NEW,2.9%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,60000,60000,41.88M,41.88M,NEW,2.7%
88339J105,TTD,THE TRADE DESK INC,750000,750000,36.76M,36.76M,NEW,2.4%
81141R100,SE,SEA LTD,201000,201000,35.92M,35.92M,NEW,2.3%
35137L204,FOX,FOX CORP,625000,625000,35.81M,35.81M,NEW,2.3%
461202103,INTU,INTUIT,50000,50000,34.15M,34.15M,NEW,2.2%
146869102,CVNA,CARVANA CO,90000,90000,33.95M,33.95M,NEW,2.2%
29444U700,EQIX,EQUINIX INC,50000,41353,39.16M,32.39M,+478.2%,2.5%
67066G104,NVDA,NVIDIA CORPORATION,500000,169042,93.29M,31.54M,+51.1%,6%
55024U109,LITE,LUMENTUM HLDGS INC,180000,180000,29.29M,29.29M,NEW,1.9%
722304102,PDD,PDD HOLDINGS INC,200000,200000,26.43M,26.43M,NEW,1.7%
90138F102,TWLO,TWILIO INC,250000,250000,25.02M,25.02M,NEW,1.6%
871607107,SNPS,SYNOPSYS INC,50000,50000,24.67M,24.67M,NEW,1.6%
N97284108,NBIS,NEBIUS GROUP N.V.,201000,201000,22.57M,22.57M,NEW,1.5%
049468101,TEAM,ATLASSIAN CORPORATION,140000,140000,22.36M,22.36M,NEW,1.4%
852234103,XYZ,BLOCK INC,850000,300000,61.43M,21.68M,+54.5%,4%
34959E109,FTNT,FORTINET INC,250000,250000,21.02M,21.02M,NEW,1.4%
22266T109,CPNG,COUPANG INC,650000,650000,20.93M,20.93M,NEW,1.4%
565394103,CART,MAPLEBEAR INC,553000,553000,20.33M,20.33M,NEW,1.3%
771049103,RBLX,ROBLOX CORP,250000,125000,34.63M,17.32M,+100%,2.2%
29786A106,ETSY,ETSY INC,550000,249000,36.51M,16.53M,+82.7%,2.4%
60937P106,MDB,MONGODB INC,50000,50000,15.52M,15.52M,NEW,1%
36165L108,GDS,GDS HLDGS LTD,401000,401000,15.52M,15.52M,NEW,1%
428050108,HSAI,HESAI GROUP,450000,450000,12.64M,12.64M,NEW,0.82%
81282V100,PRKS,UNITED PARKS & RESORTS INC,225000,225000,11.63M,11.63M,NEW,0.75%
285512109,EA,ELECTRONIC ARTS INC,50900,50900,10.27M,10.27M,NEW,0.66%
278642103,EBAY,EBAY INC.,101000,101000,9.19M,9.19M,NEW,0.59%
30303M102,META,META PLATFORMS INC,40000,10000,29.38M,7.34M,+33.3%,1.9%
72352L106,PINS,PINTEREST INC,900000,200000,28.95M,6.43M,+28.6%,1.9%
G3643J108,FLUT,FLUTTER ENTMT PLC,225000,25000,57.15M,6.35M,+12.5%,3.7%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,400000,56000,26M,3.64M,+16.3%,1.7%
19260Q107,COIN,COINBASE GLOBAL INC,10000,10000,3.37M,3.37M,NEW,0.22%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,10000,10000,2.82M,2.82M,NEW,0.18%
68389X105,ORCL,ORACLE CORP,10000,10000,2.81M,2.81M,NEW,0.18%
16119P108,CHTR,CHARTER COMMUNICATIONS INC N,10000,10000,2.75M,2.75M,NEW,0.18%
172573107,CRCL,CIRCLE INTERNET GROUP INC,20000,20000,2.65M,2.65M,NEW,0.17%
009066101,ABNB,AIRBNB INC,20000,20000,2.43M,2.43M,NEW,0.16%
872590104,TMUS,T-MOBILE US INC,10000,10000,2.39M,2.39M,NEW,0.15%
04626A103,ALAB,ASTERA LABS INC,10000,10000,1.96M,1.96M,NEW,0.13%
26142V105,DKNG,DRAFTKINGS INC NEW,900000,50000,33.66M,1.87M,+5.9%,2.2%
70614W100,PTON,PELOTON INTERACTIVE INC,1000000,200000,9M,1.8M,+25%,0.58%
040413205,ANET,ARISTA NETWORKS INC,10000,10000,1.46M,1.46M,NEW,0.09%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,10000,10000,1.46M,1.46M,NEW,0.09%
433000106,HIMS,HIMS & HERS HEALTH INC,20000,20000,1.13M,1.13M,NEW,0.07%
316841105,FIG,FIGMA INC,20000,20000,1.04M,1.04M,NEW,0.07%
91680M107,UPST,UPSTART HLDGS INC,20000,20000,1.02M,1.02M,NEW,0.07%
12685J105,CABO,CABLE ONE INC,5000,5000,885.25K,885.25K,NEW,0.06%
775109200,RCI,ROGERS COMMUNICATIONS INC,20000,20000,689.4K,689.4K,NEW,0.04%
83406F102,SOFI,SOFI TECHNOLOGIES INC,20000,20000,528.4K,528.4K,NEW,0.03%
594918104,MSFT,MICROSOFT CORP,51000,1000,26.42M,517.95K,+2%,1.7%
69932A204,PSKY,PARAMOUNT SKYDANCE CORP,20000,20000,378.4K,378.4K,NEW,0.02%
86384P109,STUB,STUBHUB HLDGS INC,20000,20000,336.8K,336.8K,NEW,0.02%
87971M103,TU,TELUS CORPORATION,20000,20000,315.4K,315.4K,NEW,0.02%
35953D104,FUBO,FUBOTV INC,20000,20000,83K,83K,NEW,<.01%
60741F104,MBLY,MOBILEYE GLOBAL INC,0,-40000,0,-719.2K,CLOSE,0%
77543R102,ROKU,ROKU INC,240000,-10000,24.03M,-1M,-4%,1.6%
Q4982L109,IREN,IREN LIMITED,0,-288920,0,-4.21M,CLOSE,0%
30212P303,EXPE,EXPEDIA GROUP INC,0,-25000,0,-4.22M,CLOSE,0%
038169207,APLD,APPLIED DIGITAL CORP,0,-453365,0,-4.57M,CLOSE,0%
90353T100,UBER,UBER TECHNOLOGIES INC,100000,-50000,9.8M,-4.9M,-33.3%,0.63%
254687106,DIS,DISNEY WALT CO,350000,-50000,40.08M,-5.72M,-12.5%,2.6%
16679L109,CHWY,CHEWY INC,250000,-154100,10.11M,-6.23M,-38.1%,0.65%
256163106,DOCU,DOCUSIGN INC,0,-156000,0,-12.15M,CLOSE,0%
682189105,ON,ON SEMICONDUCTOR CORP,0,-250000,0,-13.1M,CLOSE,0%
47215P106,JD,JD.COM INC,500000,-400000,17.49M,-13.99M,-44.4%,1.1%
15101Q207,CLS,CELESTICA INC,0,-100000,0,-15.61M,CLOSE,0%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,0,-1000000,0,-17.07M,CLOSE,0%
09857L108,BKNG,BOOKING HOLDINGS INC,3156,-3844,17.04M,-20.75M,-54.9%,1.1%
464287515,IGV,ISHARES TR,0,-200000,0,-21.9M,CLOSE,0%
00827B106,AFRM,AFFIRM HLDGS INC,200000,-300000,14.62M,-21.92M,-60%,0.94%
25809K105,DASH,DOORDASH INC,20000,-81000,5.44M,-22.03M,-80.2%,0.35%
89677Q107,TCOM,TRIP COM GROUP LTD,40000,-310000,3.01M,-23.31M,-88.6%,0.19%
007903107,AMD,ADVANCED MICRO DEVICES INC,451000,-149000,72.97M,-24.11M,-24.8%,4.7%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-350000,0,-27.09M,CLOSE,0%
03831W108,APP,APPLOVIN CORP,10500,-39400,7.54M,-28.31M,-79%,0.49%
70450Y103,PYPL,PAYPAL HLDGS INC,150000,-500000,10.06M,-33.53M,-76.9%,0.65%
00206R102,T,AT&T INC,1200000,-1300000,33.89M,-36.71M,-52%,2.2%
11135F101,AVGO,BROADCOM INC,0,-200000,0,-55.13M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,0,-293000,0,-64.28M,CLOSE,0%
17275R102,CSCO,CISCO SYS INC,0,-1000000,0,-69.38M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,300000,-300000,72.93M,-72.93M,-50%,4.7%
Total,,,,,1.55B,256.48M,+21.2%,100%
