CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88160R101,TSLA,TESLA INC,423436,400429,188.31M,178.08M,+1740.5%,15.1%
78462F103,SPY,SPDR S&P 500 ETF TR,274357,168940,182.77M,112.54M,+160.3%,14.7%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,2310424,747033,150.18M,48.56M,+47.8%,12.1%
11135F101,AVGO,BROADCOM INC,359367,142930,118.56M,47.15M,+66%,9.5%
46090E103,QQQ,INVESCO QQQ TR,139938,42227,84.01M,25.35M,+43.2%,6.7%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,59574,59574,10.87M,10.87M,NEW,0.87%
037833100,AAPL,APPLE INC,64294,37984,16.37M,9.67M,+144.4%,1.3%
85208P873,SLVR,SPROTT FDS TR,298592,214488,13.24M,9.51M,+255%,1.1%
369604301,GE,GE AEROSPACE,21553,21553,6.48M,6.48M,NEW,0.52%
023135106,AMZN,AMAZON COM INC,99796,18502,21.91M,4.06M,+22.8%,1.8%
500767736,IVOL,KRANESHARES TRUST,177996,177996,3.43M,3.43M,NEW,0.28%
36828A101,GEV,GE VERNOVA INC,5392,5392,3.32M,3.32M,NEW,0.27%
25460G161,FNGG,DIREXION SHS ETF TR,13579,13579,3.29M,3.29M,NEW,0.26%
464285204,IAU,ISHARES GOLD TR,44956,44956,3.27M,3.27M,NEW,0.26%
26923N447,NFLU,ETF OPPORTUNITIES TRUST,53389,53389,3.03M,3.03M,NEW,0.24%
74349Y571,ETHT,PROSHARES TR,31402,31402,2.83M,2.83M,NEW,0.23%
25461A874,AAPU,DIREXION SHS ETF TR,70693,70693,2.28M,2.28M,NEW,0.18%
882927122,UNHG,THEMES ETF TR,101595,101595,2.15M,2.15M,NEW,0.17%
92864M822,SOLZ,VOLATILITY SHS TR,85466,85466,1.89M,1.89M,NEW,0.15%
01609W102,BABA,ALIBABA GROUP HLDG LTD,9802,9802,1.75M,1.75M,NEW,0.14%
947913109,IVES,WEDBUSH SER TR,49708,49708,1.6M,1.6M,NEW,0.13%
38747R868,BABX,GRANITESHARES ETF TR,29819,27094,1.7M,1.54M,+994.3%,0.14%
46143U526,CWVX,INVESTMENT MANAGERS SER TR,73876,73876,1.51M,1.51M,NEW,0.12%
88636J444,TSLY,TIDAL TRUST II,160195,155535,1.51M,1.47M,+3337.7%,0.12%
922908736,VUG,VANGUARD INDEX FDS,2979,2979,1.43M,1.43M,NEW,0.11%
37954Y848,SIL,GLOBAL X FDS,17623,17623,1.26M,1.26M,NEW,0.1%
46092D103,APPX,INVESTMENT MANAGERS SER TR I,9553,8448,1.41M,1.25M,+764.5%,0.11%
703343103,PATK,PATRICK INDS INC,11679,11679,1.21M,1.21M,NEW,0.1%
46144X131,SARK,INVESTMENT MANAGERS SER TR I,41804,41804,1.2M,1.2M,NEW,0.1%
88636J600,CHAT,TIDAL TRUST II,19437,19437,1.2M,1.2M,NEW,0.1%
92864M830,SOLT,VOLATILITY SHS TR,51064,51064,1.18M,1.18M,NEW,0.09%
75734B100,RDDT,REDDIT INC,5600,5057,1.29M,1.16M,+931.3%,0.1%
526057104,LEN,LENNAR CORP,10721,8639,1.35M,1.09M,+414.9%,0.11%
25461A569,AVL,DIREXION SHS ETF TR,20305,19695,1.06M,1.03M,+3228.7%,0.09%
38747R496,RDTL,GRANITESHARES ETF TR,15008,15008,877.37K,877.37K,NEW,0.07%
88636R198,HOOX,TIDAL TRUST II,4835,4835,868.9K,868.9K,NEW,0.07%
78464A102,XNTK,SPDR SERIES TRUST,3101,3101,844.18K,844.18K,NEW,0.07%
25461A528,MUU,DIREXION SHS ETF TR,20350,20350,843.91K,843.91K,NEW,0.07%
26923N819,NVDX,ETF OPPORTUNITIES TRUST,165777,43808,3.17M,836.73K,+35.9%,0.25%
14040H105,COF,CAPITAL ONE FINL CORP,7162,3931,1.52M,835.65K,+121.7%,0.12%
88636R131,RGTX,TIDAL TRUST II,5601,5601,831.75K,831.75K,NEW,0.07%
74349Y647,SLON,PROSHARES TR,15410,15410,797K,797K,NEW,0.06%
38747R827,NVDL,GRANITESHARES ETF TR,8430,8430,789.22K,789.22K,NEW,0.06%
886364231,GRNY,TIDAL TRUST I,31453,31453,786.01K,786.01K,NEW,0.06%
53656G191,XXRP,LISTED FDS TR,45902,23599,1.48M,762.25K,+105.8%,0.12%
958102105,WDC,WESTERN DIGITAL CORP,6232,6232,748.21K,748.21K,NEW,0.06%
91917A207,WGMI,VALKYRIE ETF TRUST II,16369,16369,724.16K,724.16K,NEW,0.06%
861896108,SNEX,STONEX GROUP INC,7108,7108,717.34K,717.34K,NEW,0.06%
37954Y871,URA,GLOBAL X FDS,14424,14424,687.59K,687.59K,NEW,0.06%
464287176,TIP,ISHARES TR,6140,6140,682.89K,682.89K,NEW,0.05%
26923Q713,SNOU,ETF OPPORTUNITIES TRUST,12967,12967,655.35K,655.35K,NEW,0.05%
77926X841,YETH,ROUNDHILL ETF TRUST,25949,24571,692.06K,655.31K,+1783.1%,0.06%
882927668,ASMG,THEMES ETF TR,29727,29727,650.72K,650.72K,NEW,0.05%
032108607,BLOK,AMPLIFY ETF TR,8499,8499,569.77K,569.77K,NEW,0.05%
88636R545,SOFX,TIDAL TRUST II,14499,14499,562.42K,562.42K,NEW,0.05%
381430503,GSLC,GOLDMAN SACHS ETF TR,4244,4244,552.91K,552.91K,NEW,0.04%
36467W109,GME,GAMESTOP CORP NEW,39631,20123,1.08M,548.96K,+103.2%,0.09%
820014405,SBET,SHARPLINK GAMING INC,31998,31998,544.29K,544.29K,NEW,0.04%
464286400,EWZ,ISHARES INC,17315,17315,536.76K,536.76K,NEW,0.04%
84858T772,EUAD,SPINNAKER ETF SERIES,15017,11150,705.35K,523.72K,+288.3%,0.06%
88822Q103,TIPT,TIPTREE INC,26021,26021,498.82K,498.82K,NEW,0.04%
233051879,ASHR,DBX ETF TR,14695,14695,484.64K,484.64K,NEW,0.04%
74347G267,ION,PROSHARES TR,12324,12324,479.82K,479.82K,NEW,0.04%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,2427,2427,460.4K,460.4K,NEW,0.04%
88636J261,LLYX,TIDAL TRUST II,31545,31545,438.16K,438.16K,NEW,0.04%
62482R107,COOP,MR COOPER GROUP INC,4275,2064,901.13K,435.07K,+93.4%,0.07%
25460G781,NUGT,DIREXION SHS ETF TR,2817,2817,435.06K,435.06K,NEW,0.03%
25460G286,TSLL,DIREXION SHS ETF TR,19969,19969,421.55K,421.55K,NEW,0.03%
88636J139,IWMY,TIDAL TRUST II,18068,18068,415.56K,415.56K,NEW,0.03%
26923N629,AAPX,ETF OPPORTUNITIES TRUST,14694,14694,412.17K,412.17K,NEW,0.03%
185123106,CWAN,CLEARWATER ANALYTICS HLDGS I,22663,22663,408.39K,408.39K,NEW,0.03%
78433H303,SPYI,NEOS ETF TRUST,7701,7701,402.76K,402.76K,NEW,0.03%
38747R645,CRWL,GRANITESHARES ETF TR,12572,11070,456.36K,401.84K,+737%,0.04%
53681J103,LAC,LITHIUM AMERS CORP NEW,69033,69033,394.18K,394.18K,NEW,0.03%
37960A529,SHLD,GLOBAL X FDS,5588,5588,392.5K,392.5K,NEW,0.03%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,1371,1371,382.91K,382.91K,NEW,0.03%
553368101,MP,MP MATERIALS CORP,5691,5691,381.69K,381.69K,NEW,0.03%
83406F102,SOFI,SOFI TECHNOLOGIES INC,14418,14418,380.92K,380.92K,NEW,0.03%
88634T881,GDXY,TIDAL TRUST II,21232,21232,374.96K,374.96K,NEW,0.03%
25460G187,CWEB,DIREXION SHS ETF TR,41127,6503,2.37M,374.25K,+18.8%,0.19%
88340C875,CRWG,THEMES ETF TR,26833,26833,362.51K,362.51K,NEW,0.03%
88634T436,JPMO,TIDAL TRUST II,20390,20390,353.56K,353.56K,NEW,0.03%
92537N108,VRT,VERTIV HOLDINGS CO,7905,2253,1.19M,339.89K,+39.9%,0.1%
032108664,HACK,AMPLIFY ETF TR,3885,3885,337.22K,337.22K,NEW,0.03%
38964R203,ETH,GRAYSCALE ETHEREUM MINI TR E,8594,8594,336.71K,336.71K,NEW,0.03%
26923N595,GOOX,ETF OPPORTUNITIES TRUST,7562,7562,335K,335K,NEW,0.03%
38747R710,PTIR,GRANITESHARES ETF TR,10251,10251,332.64K,332.65K,NEW,0.03%
882927460,HOOG,THEMES ETF TR,2826,2826,326.8K,326.8K,NEW,0.03%
38747R678,MULL,GRANITESHARES ETF TR,9010,9010,326.52K,326.52K,NEW,0.03%
771049103,RBLX,ROBLOX CORP,2271,2271,314.58K,314.58K,NEW,0.03%
464287556,IBB,ISHARES TR,2094,2094,302.31K,302.31K,NEW,0.02%
464288786,IAK,ISHARES TR,2236,2236,299.69K,299.69K,NEW,0.02%
92864M772,XRPT,VOLATILITY SHS TR,19178,19178,297.26K,297.26K,NEW,0.02%
74349Y431,CRCA,PROSHARES TR,19996,19996,292.34K,292.34K,NEW,0.02%
