CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
72352L106,PINS,PINTEREST INC,942554,942554,30.32M,30.32M,NEW,3.5%
49338L103,KEYS,KEYSIGHT TECHNOLOGIES INC,167637,167637,29.32M,29.32M,NEW,3.4%
55955D100,MGNI,MAGNITE INC,1548796,1263992,33.73M,27.53M,+443.8%,3.9%
368736104,GNRC,GENERAC HLDGS INC,160000,160000,26.78M,26.78M,NEW,3.1%
155923105,CTRI,CENTURI HOLDINGS INC,1000431,1000431,21.18M,21.18M,NEW,2.5%
144285103,CRS,CARPENTER TECHNOLOGY CORP,229025,69025,56.23M,16.95M,+43.1%,6.5%
G8068L108,SN,SHARKNINJA INC,410496,160316,42.34M,16.54M,+64.1%,4.9%
896215209,TRS,TRIMAS CORP,308622,308622,11.93M,11.93M,NEW,1.4%
02079K107,GOOG,ALPHABET INC,47775,47775,11.64M,11.64M,NEW,1.3%
007903107,AMD,ADVANCED MICRO DEVICES INC,70000,70000,11.33M,11.33M,NEW,1.3%
127190304,CACI,CACI INTL INC,102028,15122,50.89M,7.54M,+17.4%,5.9%
55306N104,MKSI,MKS INC.,211848,24697,26.22M,3.06M,+13.2%,3%
896945201,TRIP,TRIPADVISOR INC,1300000,98038,21.14M,1.59M,+8.2%,2.5%
40090E106,CIB,GRUPO CIBEST SA,356557,6446,18.52M,334.81K,+1.8%,2.1%
90138F102,TWLO,TWILIO INC,424361,-3991,42.47M,-399.46K,-0.9%,4.9%
023135106,AMZN,AMAZON COM INC,254815,-7493,55.95M,-1.65M,-2.9%,6.5%
52603B107,TREE,LENDINGTREE INC NEW,356073,-26537,23.05M,-1.72M,-6.9%,2.7%
G25508105,CRH,CRH PLC,359207,-18140,43.07M,-2.17M,-4.8%,5%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,93928,-10049,24.27M,-2.6M,-9.7%,2.8%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,141102,-12640,39.41M,-3.53M,-8.2%,4.6%
30303M102,META,META PLATFORMS INC,18851,-7347,13.84M,-5.4M,-28%,1.6%
87256C101,TKO,TKO GROUP HOLDINGS INC,319202,-28354,64.47M,-5.73M,-8.2%,7.5%
65249B109,NWSA,NEWS CORP NEW,0,-346450,0,-10.3M,CLOSE,0%
042735100,ARW,ARROW ELECTRS INC,59413,-106055,7.19M,-12.83M,-64.1%,0.83%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,0,-2603982,0,-13.1M,CLOSE,0%
91332U101,U,UNITY SOFTWARE INC,0,-582766,0,-14.1M,CLOSE,0%
92826C839,V,VISA INC,39618,-44076,13.52M,-15.05M,-52.7%,1.6%
81141R100,SE,SEA LTD,361664,-111836,64.64M,-19.99M,-23.6%,7.5%
67066G104,NVDA,NVIDIA CORPORATION,0,-158842,0,-25.1M,CLOSE,0%
679295105,OKTA,OKTA INC,0,-252801,0,-25.27M,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,0,-240000,0,-30.82M,CLOSE,0%
199908104,FIX,COMFORT SYS USA INC,95607,-38210,78.89M,-31.53M,-28.6%,9.1%
876030107,TPR,TAPESTRY INC,0,-472872,0,-41.52M,CLOSE,0%
Total,,,,,862.35M,-46.75M,-5.6%,100%
