CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
91332U101,U,UNITY SOFTWARE INC,2849437,865179,114.09M,34.64M,+43.6%,31.8%
98850P109,YUMC,YUM CHINA HLDGS INC,644905,644905,27.68M,27.68M,NEW,7.7%
68389X105,ORCL,ORACLE CORP,68000,68000,19.12M,19.12M,NEW,5.3%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDING,74000,74000,10.78M,10.78M,NEW,3%
26603R106,DUOL,DUOLINGO INC,31000,31000,9.98M,9.98M,NEW,2.8%
46591M109,JOYY,JOYY INC,159700,159700,9.36M,9.36M,NEW,2.6%
917047102,URBN,URBAN OUTFITTERS INC,82833,82833,5.92M,5.92M,NEW,1.7%
253393102,DKS,DICKS SPORTING GOODS INC,26554,26554,5.9M,5.9M,NEW,1.6%
19247G107,COHR,COHERENT CORP,517000,13000,55.69M,1.4M,+2.6%,15.5%
55024U109,LITE,LUMENTUM HLDGS INC,433780,0,70.58M,0,NO CHANGE,19.7%
78464A714,XRT,SPDR SERIES TRUST,69600,-9200,6M,-792.86K,-11.7%,1.7%
751212101,RL,RALPH LAUREN CORP,19126,-3874,6M,-1.21M,-16.8%,1.7%
52736R102,LEVI,LEVI STRAUSS & CO NEW,267500,-66400,6.23M,-1.55M,-19.9%,1.7%
654106103,NKE,NIKE INC,82660,-37340,5.76M,-2.6M,-31.1%,1.6%
099406100,BOOT,BOOT BARN HLDGS INC,32798,-21027,5.44M,-3.48M,-39.1%,1.5%
931142103,WMT,WALMART INC,0,-56200,0,-5.5M,CLOSE,0%
876030107,TPR,TAPESTRY INC,0,-74100,0,-6.51M,CLOSE,0%
03662Q105,ANSS,ANSYS INC,0,-119017,0,-41.8M,CLOSE,0%
30303M102,META,META PLATFORMS INC,0,-64000,0,-47.24M,CLOSE,0%
15101Q207,CLS,CELESTICA INC,0,-322142,0,-50.29M,CLOSE,0%
Total,,,,,358.52M,-36.2M,-11.3%,100%
