CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
573874104,MRVL,MARVELL TECHNOLOGY INC,681300,587800,57.28M,49.42M,+628.7%,3.1%
09173B107,BITF,BITFARMS LTD,6685400,6685400,18.85M,18.85M,NEW,1%
21873S108,CRWV,COREWEAVE INC,142700,136500,19.53M,18.68M,+2201.6%,1.1%
44812J104,HUT,HUT 8 CORP,722500,389100,25.15M,13.54M,+116.7%,1.4%
G8726X106,TNK,TEEKAY TANKERS LTD,649300,264200,32.82M,13.36M,+68.6%,1.8%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,1425241,677341,24.36M,11.58M,+90.6%,1.3%
70614W100,PTON,PELOTON INTERACTIVE INC,2070900,1166700,18.64M,10.5M,+129%,1%
61945C103,MOS,MOSAIC CO NEW,333907,293907,11.58M,10.19M,+734.8%,0.62%
238337109,PLAY,DAVE & BUSTERS ENTMT INC,873885,541511,15.87M,9.83M,+162.9%,0.85%
30303M102,META,META PLATFORMS INC,54570,12650,40.08M,9.29M,+30.2%,2.2%
302635206,FSK,FS KKR CAP CORP,620800,620800,9.27M,9.27M,NEW,0.5%
97785W106,WOLF,WOLFSPEED INC,310046,310046,8.87M,8.87M,NEW,0.48%
913903100,UHS,UNIVERSAL HLTH SVCS INC,77300,43250,15.8M,8.84M,+127%,0.85%
Y2065G121,DHT,DHT HOLDINGS INC,1080600,695300,12.91M,8.31M,+180.5%,0.69%
607828100,MOD,MODINE MFG CO,325749,55600,46.31M,7.9M,+20.6%,2.5%
G9108L173,TEN,TSAKOS ENERGY NAVIGATION LTD,1029587,347550,22.88M,7.72M,+51%,1.2%
G9001E128,LILAK,LIBERTY LATIN AMERICA LTD,814300,814300,6.87M,6.87M,NEW,0.37%
03980N107,ARDT,ARDENT HEALTH INC,1738916,510747,23.04M,6.77M,+41.6%,1.2%
203668108,CYH,COMMUNITY HEALTH SYS INC NEW,12262508,2098956,39.36M,6.74M,+20.7%,2.1%
72352L106,PINS,PINTEREST INC,367615,208615,11.83M,6.71M,+131.2%,0.64%
8676EP108,STKL,SUNOPTA INC,1886719,1070976,11.06M,6.28M,+131.3%,0.59%
55825T103,MSGS,MADISON SQUARE GRDN SPRT COR,107300,27200,24.36M,6.17M,+34%,1.3%
G65773106,NAT,NORDIC AMERICAN TANKERS LIMI,3380298,1965398,10.61M,6.17M,+138.9%,0.57%
25402D102,DOCN,DIGITALOCEAN HLDGS INC,284700,180500,9.73M,6.17M,+173.2%,0.52%
48123V102,ZD,ZIFF DAVIS INC,233500,157600,8.9M,6M,+207.6%,0.48%
577081102,MAT,MATTEL INC,412600,351800,6.94M,5.92M,+578.6%,0.37%
007903107,AMD,ADVANCED MICRO DEVICES INC,51720,35900,8.37M,5.81M,+226.9%,0.45%
807066105,SCHL,SCHOLASTIC CORP,203300,203300,5.57M,5.57M,NEW,0.3%
G27907107,DOLE,DOLE PLC,372500,372500,5.01M,5.01M,NEW,0.27%
02553E106,AEO,AMERICAN EAGLE OUTFITTERS IN,272100,272100,4.66M,4.66M,NEW,0.25%
502160104,LXU,LSB INDS INC,3018045,574362,23.78M,4.53M,+23.5%,1.3%
595112103,MU,MICRON TECHNOLOGY INC,286660,26600,47.96M,4.45M,+10.2%,2.6%
00791N102,ADV,ADVANTAGE SOLUTIONS INC,9988059,2592786,15.28M,3.97M,+35.1%,0.82%
75321W103,PACK,RANPAK HOLDINGS CORP,718900,582576,4.04M,3.27M,+427.3%,0.22%
G3643J108,FLUT,FLUTTER ENTMT PLC,18800,12800,4.78M,3.25M,+213.3%,0.26%
17243V102,CNK,CINEMARK HLDGS INC,133600,113300,3.74M,3.17M,+558.1%,0.2%
855919106,STRZ,STARZ ENTERTAINMENT CORP.,451900,215354,6.66M,3.17M,+91%,0.36%
72815L107,PLTK,PLAYTIKA HLDG CORP,1313338,807679,5.11M,3.14M,+159.7%,0.27%
79466L302,CRM,SALESFORCE INC,41800,13200,9.91M,3.13M,+46.2%,0.53%
26142V105,DKNG,DRAFTKINGS INC NEW,131700,83000,4.93M,3.1M,+170.4%,0.26%
706915105,PENG,PENGUIN SOLUTIONS INC,112600,112600,2.96M,2.96M,NEW,0.16%
G4253H101,JHX,JAMES HARDIE INDS PLC,152200,152200,2.92M,2.92M,NEW,0.16%
459506101,IFF,INTERNATIONAL FLAVORS&FRAGRA,117000,45100,7.2M,2.78M,+62.7%,0.39%
12685J105,CABO,CABLE ONE INC,15500,15500,2.74M,2.74M,NEW,0.15%
741623102,PRMB,PRIMO BRANDS CORPORATION,119000,119000,2.63M,2.63M,NEW,0.14%
G3730V105,FTAI,FTAI AVIATION LTD,24700,15300,4.12M,2.55M,+162.8%,0.22%
G6564A105,NOMD,NOMAD FOODS LTD,190900,190900,2.51M,2.51M,NEW,0.13%
05508R106,BGS,B & G FOODS INC NEW,772300,540800,3.42M,2.4M,+233.6%,0.18%
827048109,SLGN,SILGAN HLDGS INC,54400,54400,2.34M,2.34M,NEW,0.13%
361008105,FNKO,FUNKO INC,1086700,674900,3.74M,2.32M,+163.9%,0.2%
15135B101,CNC,CENTENE CORP DEL,63400,63400,2.26M,2.26M,NEW,0.12%
60646V105,MCW,MISTER CAR WASH INC,373074,373074,1.99M,1.99M,NEW,0.11%
00404A109,ACHC,ACADIA HEALTHCARE COMPANY IN,394000,79000,9.76M,1.96M,+25.1%,0.52%
96145W103,WEST,WESTROCK COFFEE CO,396980,396980,1.93M,1.93M,NEW,0.1%
74347B201,TBT,PROSHARES TR,508249,53634,17.17M,1.81M,+11.8%,0.92%
B9151N105,TTAM,TITAN AMER SA,1268601,118600,18.95M,1.77M,+10.3%,1%
296006109,ERO,ERO COPPER CORP,85000,85000,1.72M,1.72M,NEW,0.09%
74965L101,RLJ,RLJ LODGING TR,1018700,238800,7.33M,1.72M,+30.6%,0.39%
35671D857,FCX,FREEPORT-MCMORAN INC,326700,43600,12.81M,1.71M,+15.4%,0.69%
30219Q106,EXFY,EXPENSIFY INC,2161305,869159,4M,1.61M,+67.3%,0.21%
14040H105,COF,CAPITAL ONE FINL CORP,35152,7330,7.47M,1.56M,+26.3%,0.4%
18453H106,CCO,CLEAR CHANNEL OUTDOOR HLDGS,3763708,984000,5.95M,1.55M,+35.4%,0.32%
79546E104,SBH,SALLY BEAUTY HLDGS INC,475150,92900,7.74M,1.51M,+24.3%,0.42%
199333105,CMCO,COLUMBUS MCKINNON CORP N Y,557600,102900,8M,1.48M,+22.6%,0.43%
55406W103,LUXE,LUXEXPERIENCE BV,592441,171270,5.04M,1.46M,+40.7%,0.27%
700517105,PK,PARK HOTELS & RESORTS INC,920000,130700,10.19M,1.45M,+16.6%,0.55%
55939A107,MAGN,MAGNERA CORP,256000,119200,3M,1.4M,+87.1%,0.16%
971378104,WSC,WILLSCOT HLDGS CORP,165081,66011,3.48M,1.39M,+66.6%,0.19%
90353T100,UBER,UBER TECHNOLOGIES INC,75600,14200,7.41M,1.39M,+23.1%,0.4%
98956A105,ZETA,ZETA GLOBAL HOLDINGS CORP,281100,69300,5.59M,1.38M,+32.7%,0.3%
98400V101,XBP,XBP GLOBAL HOLDINGS INC,1671975,1671975,1.35M,1.35M,NEW,0.07%
G81276100,SIG,SIGNET JEWELERS LIMITED,18100,13900,1.74M,1.33M,+331%,0.09%
G4388N106,HELE,HELEN OF TROY LTD,491900,52400,12.4M,1.32M,+11.9%,0.67%
644393100,NFE,NEW FORTRESS ENERGY INC,574000,574000,1.27M,1.27M,NEW,0.07%
14575E105,CARS,CARS COM INC,103600,103600,1.27M,1.27M,NEW,0.07%
67098H104,OI,O-I GLASS INC,96900,96900,1.26M,1.26M,NEW,0.07%
81761L102,SVC,SERVICE PPTYS TR,2272637,457200,6.16M,1.24M,+25.2%,0.33%
829933100,SIRI,SIRIUSXM HOLDINGS INC,51600,51600,1.2M,1.2M,NEW,0.06%
64119N608,NTSK,NETSKOPE INC,52500,52500,1.19M,1.19M,NEW,0.06%
88033G407,THC,TENET HEALTHCARE CORP,73700,5800,14.96M,1.18M,+8.5%,0.8%
68389X105,ORCL,ORACLE CORP,4100,4100,1.15M,1.15M,NEW,0.06%
37890B100,GBTG,GLOBAL BUSINESS TRAVEL GROUP,138963,138963,1.12M,1.12M,NEW,0.06%
98422X101,XPOF,XPONENTIAL FITNESS INC,381500,135800,2.97M,1.06M,+55.3%,0.16%
98585X104,YETI,YETI HLDGS INC,31700,31700,1.05M,1.05M,NEW,0.06%
222070203,COTY,COTY INC,1670600,259700,6.75M,1.05M,+18.4%,0.36%
750102105,RXT,RACKSPACE TECHNOLOGY INC,3935580,727590,5.55M,1.03M,+22.7%,0.3%
36467W109,GME,GAMESTOP CORP NEW,37100,37100,1.01M,1.01M,NEW,0.05%
M78673114,PERI,PERION NETWORK LTD,421020,105300,4.04M,1.01M,+33.4%,0.22%
513272104,LW,LAMB WESTON HLDGS INC,16900,16900,981.55K,981.55K,NEW,0.05%
88339J105,TTD,THE TRADE DESK INC,19900,19900,975.3K,975.3K,NEW,0.05%
G43658122,IMSRW,HCM II ACQUISITION CORP,153200,153200,928.39K,928.39K,NEW,0.05%
81211K100,SEE,SEALED AIR CORP NEW,195300,25900,6.9M,915.57K,+15.3%,0.37%
388689101,GPK,GRAPHIC PACKAGING HLDG CO,138700,43400,2.71M,849.34K,+45.5%,0.15%
747619104,NX,QUANEX BLDG PRODS CORP,144900,54700,2.06M,777.83K,+60.6%,0.11%
50187T106,LGIH,LGI HOMES INC,13300,13300,687.74K,687.74K,NEW,0.04%
