CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
025072158,AVLC,AMERICAN CENTY ETF TR,418718,47427,32.04M,3.63M,+12.8%,6.5%
25434V708,DFAC,DIMENSIONAL ETF TRUST,1263305,87220,48.73M,3.36M,+7.4%,9.9%
922042676,VNQI,VANGUARD INTL EQUITY INDEX F,126814,65258,6.05M,3.12M,+106%,1.2%
25434V401,DFUS,DIMENSIONAL ETF TRUST,191807,27307,13.89M,1.98M,+16.6%,2.8%
921937835,BND,VANGUARD BD INDEX FDS,38879,15243,2.89M,1.13M,+64.5%,0.59%
922042775,VEU,VANGUARD INTL EQUITY INDEX F,35168,15229,2.51M,1.09M,+76.4%,0.51%
922908736,VUG,VANGUARD INDEX FDS,4403,2070,2.11M,992.75K,+88.7%,0.43%
25434V799,DFIC,DIMENSIONAL ETF TRUST,489961,29546,16.07M,968.81K,+6.4%,3.3%
922908744,VTV,VANGUARD INDEX FDS,13786,4516,2.57M,842.19K,+48.7%,0.52%
921909768,VXUS,VANGUARD STAR FDS,43844,7953,3.22M,584.23K,+22.2%,0.65%
922908611,VBR,VANGUARD INDEX FDS,4621,2313,964.51K,482.78K,+100.2%,0.2%
808524847,SCHH,SCHWAB STRATEGIC TR,195361,19151,4.21M,413.09K,+10.9%,0.85%
00326A104,SGOL,ETFS GOLD TR,10318,10318,379.81K,379.81K,NEW,0.08%
922042858,VWO,VANGUARD INTL EQUITY INDEX F,6584,6584,356.72K,356.72K,NEW,0.07%
46435U556,ARTY,ISHARES TR,7722,7722,353.5K,353.5K,NEW,0.07%
025072323,AVSC,AMERICAN CENTY ETF TR,48018,5777,2.75M,330.73K,+13.7%,0.56%
46434G764,EMXC,ISHARES INC,4378,4378,295.59K,295.59K,NEW,0.06%
14021N105,CGNG,CAPITAL GROUP NEW GEOGRAPHY,21078,9528,651.31K,294.42K,+82.5%,0.13%
97717Y691,WCLD,WISDOMTREE TR,17633,7838,620.13K,275.65K,+80%,0.13%
92203J407,BNDX,VANGUARD CHARLOTTE FDS,4588,4588,226.93K,226.93K,NEW,0.05%
09260D107,BX,BLACKSTONE INC,1290,1290,220.4K,220.4K,NEW,0.04%
29103K100,FLD,FOLD HLDGS INC,54504,54504,210.39K,210.39K,NEW,0.04%
871829107,SYY,SYSCO CORP,2431,2431,200.17K,200.17K,NEW,0.04%
025072604,AVEM,AMERICAN CENTY ETF TR,91605,1565,6.88M,117.55K,+1.7%,1.4%
25434V625,DCOR,DIMENSIONAL ETF TRUST,228390,1082,16.43M,77.84K,+0.5%,3.3%
025072141,AVEE,AMERICAN CENTY ETF TR,9113,518,584.36K,33.22K,+6%,0.12%
191216100,KO,COCA COLA CO,13645,67,904.94K,4.44K,+0.5%,0.18%
78468R663,BIL,SPDR SERIES TRUST,3291,33,301.98K,3.03K,+1%,0.06%
88160R101,TSLA,TESLA INC,730,4,324.65K,1.78K,+0.6%,0.07%
78462F103,SPY,SPDR S&P 500 ETF TR,493,1,328.14K,665.6,+0.2%,0.07%
25434V880,DFAX,DIMENSIONAL ETF TRUST,48578,13,1.52M,407.94,+0%,0.31%
