CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,17005,4185,8.81M,2.17M,+32.6%,3.2%
02072L565,BOXX,EA SERIES TRUST,32391,17104,3.69M,1.95M,+111.9%,1.3%
79466L302,CRM,SALESFORCE INC,6595,5463,1.56M,1.29M,+482.6%,0.57%
67066G104,NVDA,NVIDIA CORPORATION,86831,6288,16.2M,1.17M,+7.8%,5.9%
78463V107,GLD,SPDR GOLD TR,16195,2545,5.76M,904.67K,+18.6%,2.1%
38964R203,ETH,GRAYSCALE ETHEREUM MINI TR E,18226,18226,714.1K,714.1K,NEW,0.26%
040413205,ANET,ARISTA NETWORKS INC,4058,4058,591.29K,591.29K,NEW,0.22%
30303M102,META,META PLATFORMS INC,4028,803,2.96M,589.77K,+24.9%,1.1%
060505104,BAC,BANK AMERICA CORP,23595,10961,1.22M,565.48K,+86.8%,0.44%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,51174,8580,3.33M,557.7K,+20.1%,1.2%
02079K305,GOOGL,ALPHABET INC,8538,2244,2.08M,545.49K,+35.7%,0.76%
512807306,LRCX,LAM RESEARCH CORP,4019,4019,538.2K,538.2K,NEW,0.2%
74347X831,TQQQ,PROSHARES TR,16257,4871,1.68M,503.66K,+42.8%,0.61%
718172109,PM,PHILIP MORRIS INTL INC,12619,2889,2.05M,468.61K,+29.7%,0.75%
922908751,VB,VANGUARD INDEX FDS,1805,1805,458.98K,458.98K,NEW,0.17%
032095101,APH,AMPHENOL CORP NEW,3169,3169,392.16K,392.16K,NEW,0.14%
886364231,GRNY,TIDAL TRUST I,48913,15595,1.22M,389.72K,+46.8%,0.45%
78464A888,XHB,SPDR SERIES TRUST,3488,3488,386.47K,386.47K,NEW,0.14%
78468R663,BIL,SPDR SERIES TRUST,12824,3919,1.18M,359.56K,+44%,0.43%
172967424,C,CITIGROUP INC,21345,3397,2.17M,344.79K,+18.9%,0.79%
922908363,VOO,VANGUARD INDEX FDS,7300,512,4.47M,313.54K,+7.5%,1.6%
68389X105,ORCL,ORACLE CORP,6240,1028,1.75M,289.1K,+19.7%,0.64%
38141G104,GS,GOLDMAN SACHS GROUP INC,1911,361,1.52M,287.47K,+23.3%,0.55%
98980G102,ZS,ZSCALER INC,911,911,272.99K,272.99K,NEW,0.1%
110448107,BTI,BRITISH AMERN TOB PLC,18406,5136,977.01K,272.62K,+38.7%,0.36%
090572207,BIO,BIO RAD LABS INC,971,971,272.26K,272.26K,NEW,0.1%
64110L106,NFLX,NETFLIX INC,608,217,728.94K,260.17K,+55.5%,0.27%
92537N108,VRT,VERTIV HOLDINGS CO,3769,1690,568.59K,254.95K,+81.3%,0.21%
78464A771,KCE,SPDR SERIES TRUST,1665,1665,254.5K,254.5K,NEW,0.09%
693506107,PPG,PPG INDS INC,2256,2256,237.1K,237.1K,NEW,0.09%
90353T100,UBER,UBER TECHNOLOGIES INC,7039,2392,689.61K,234.34K,+51.5%,0.25%
075887109,BDX,BECTON DICKINSON & CO,4637,1251,867.96K,234.16K,+36.9%,0.32%
11135F101,AVGO,BROADCOM INC,8605,709,2.84M,233.91K,+9%,1%
369604301,GE,GE AEROSPACE,1893,777,569.38K,233.71K,+69.6%,0.21%
670100205,NVO,NOVO-NORDISK A S,4190,4190,232.5K,232.5K,NEW,0.08%
80105N105,SNY,SANOFI SA,4879,4879,230.29K,230.29K,NEW,0.08%
922908769,VTI,VANGUARD INDEX FDS,677,677,222.04K,222.04K,NEW,0.08%
67077M108,NTR,NUTRIEN LTD,3698,3698,217.11K,217.11K,NEW,0.08%
464288752,ITB,ISHARES TR,2024,2024,217.07K,217.07K,NEW,0.08%
