CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
444859102,HUM,HUMANA INC,154638,154638,40.23M,40.23M,NEW,0.74%
Y2573F102,FLEX,FLEX LTD,623472,573472,36.14M,33.24M,+1146.9%,0.66%
704551100,BTU,PEABODY ENERGY CORP,1478332,1132289,39.21M,30.03M,+327.2%,0.72%
901109108,TPC,TUTOR PERINI CORP,456356,456356,29.93M,29.93M,NEW,0.55%
020764106,AMR,ALPHA METALLURGICAL RESOURCE,475039,178643,77.95M,29.31M,+60.3%,1.4%
097023105,BA,BOEING CO/THE,120000,120000,25.9M,25.9M,NEW,0.48%
550241103,LUMN,LUMEN TECHNOLOGIES INC,4221695,3671695,25.84M,22.47M,+667.6%,0.48%
37247D106,GNW,GENWORTH FINANCIAL INC,2420204,2420204,21.54M,21.54M,NEW,0.4%
H8817H100,RIG,TRANSOCEAN LTD,8023351,6623351,25.03M,20.66M,+473.1%,0.46%
958102105,WDC,WESTERN DIGITAL CORP,240000,145000,28.81M,17.41M,+152.6%,0.53%
80004C200,SNDK,SANDISK CORP,314839,150000,35.32M,16.83M,+91%,0.65%
047649108,ATKR,ATKORE INC,418146,268041,26.23M,16.82M,+178.6%,0.48%
90278Q108,UFPI,UFP INDUSTRIES INC,240884,175884,22.52M,16.44M,+270.6%,0.41%
219350105,GLW,CORNING INC,300900,180900,24.68M,14.84M,+150.8%,0.45%
007903107,AMD,ADVANCED MICRO DEVICES,140578,90000,22.74M,14.56M,+177.9%,0.42%
78464A870,XBI,SPDR S&P BIOTECH ETF,232278,140000,23.27M,14.03M,+151.7%,0.43%
G6359F137,NBR,NABORS INDUSTRIES LTD,594716,300000,24.31M,12.26M,+101.8%,0.45%
H2927K103,AMRZ,AMRIZE LTD,242091,242091,11.75M,11.75M,NEW,0.22%
608190104,MHK,MOHAWK INDUSTRIES INC,188569,73569,24.31M,9.48M,+64%,0.45%
26884L109,EQT,EQT CORP,171863,171863,9.35M,9.35M,NEW,0.17%
81369Y506,XLE,ENERGY SELECT SECTOR SPDR,104052,104052,9.3M,9.3M,NEW,0.17%
74348T102,PSEC,PROSPECT CAPITAL CORP,3166215,3166215,8.71M,8.71M,NEW,0.16%
595112103,MU,MICRON TECHNOLOGY INC,217000,50000,36.31M,8.37M,+29.9%,0.67%
690742101,OC,OWENS CORNING,205224,56483,29.03M,7.99M,+38%,0.53%
45768S105,IOSP,INNOSPEC INC,174949,95168,13.5M,7.34M,+119.3%,0.25%
68628V308,ORN,ORION GROUP HOLDINGS INC,1037177,845386,8.63M,7.03M,+440.8%,0.16%
09624H208,BXC,BLUELINX HOLDINGS INC,659336,95606,48.18M,6.99M,+17%,0.89%
806857108,SLB,SCHLUMBERGER NV,650000,200000,22.34M,6.87M,+44.4%,0.41%
78464A698,KRE,SPDR S&P REGIONAL BANKING,100000,100000,6.33M,6.33M,NEW,0.12%
05614L209,BW,BABCOCK & WILCOX ENTERPR,4752823,2177975,13.78M,6.32M,+84.6%,0.25%
023139884,OSG,AMBAC FINANCIAL GROUP INC,1864512,666092,15.55M,5.56M,+55.6%,0.29%
45782B302,INSG,INSEEGO CORP,319048,319048,4.78M,4.78M,NEW,0.09%
G4766E116,INDV,INDIVIOR PLC,1046481,190000,25.23M,4.58M,+22.2%,0.46%
576853105,MTRX,MATRIX SERVICE CO,946474,332065,12.38M,4.34M,+54%,0.23%
86722A103,SXC,SUNCOKE ENERGY INC,807512,515776,6.59M,4.21M,+176.8%,0.12%
53115L104,LBRT,LIBERTY ENERGY INC,888605,299847,10.97M,3.7M,+50.9%,0.2%
218937100,CNR,CORE NATURAL RESOURCES INC,151906,44304,12.68M,3.7M,+41.2%,0.23%
19247G107,COHR,COHERENT CORP,61350,30000,6.61M,3.23M,+95.7%,0.12%
457651107,INVX,INNOVEX INTERNATIONAL INC,193212,153882,3.58M,2.85M,+391.3%,0.07%
830830105,SKY,CHAMPION HOMES INC,205349,35000,15.68M,2.67M,+20.5%,0.29%
84445C100,SLND,SOUTHLAND HOLDINGS INC,1246629,505066,5.35M,2.17M,+68.1%,0.1%
G29687103,AVDL,AVADEL PHARMACEUTICALS,5314810,138199,81.16M,2.11M,+2.7%,1.5%
974637100,WGO,WINNEBAGO INDUSTRIES,199843,54312,6.68M,1.82M,+37.3%,0.12%
87876P201,TGEN,TECOGEN INC/WALTHAM MA,243622,201922,2.15M,1.78M,+484.2%,0.04%
683827208,OCC,OPTICAL CABLE CORP,281830,213878,2.29M,1.74M,+314.7%,0.04%
83191H107,SND,SMART SAND INC,2696408,656547,5.77M,1.41M,+32.2%,0.11%
576690101,MTRN,MATERION CORP,71296,10000,8.61M,1.21M,+16.3%,0.16%
26205E107,DTI,DRILLING TOOLS INTERNATIONAL,1887691,473664,4.34M,1.09M,+33.5%,0.08%
88162F105,TTI,TETRA TECHNOLOGIES INC,3817255,174802,21.95M,1.01M,+4.8%,0.4%
502160104,LXU,LSB INDUSTRIES INC,2058807,114342,16.22M,901.01K,+5.9%,0.3%
33733E807,FCG,FIRST TRUST NATURAL GAS ETF,190000,30000,4.46M,704.7K,+18.8%,0.08%
33744V103,FUSB,FIRST US BANCSHARES INC,397454,19713,4.78M,236.95K,+5.2%,0.09%
678026105,OIS,OIL STATES INTERNATIONAL INC,1637718,30000,9.92M,181.8K,+1.9%,0.18%
48253L205,KLXE,KLX ENERGY SERVICES HOLDING,1713108,19889,3.29M,38.19K,+1.2%,0.06%
703343103,PATK,PATRICK INDUSTRIES INC,105088,0,10.87M,0,NO CHANGE,0.2%
760281204,RBCAA,REPUBLIC BANCORP INC-CLASS A,142916,0,10.33M,0,NO CHANGE,0.19%
231021106,CMI,CUMMINS INC,22240,0,9.39M,0,NO CHANGE,0.17%
44951J105,IROQ,IF BANCORP INC,326179,0,8.44M,0,NO CHANGE,0.16%
358435105,FRD,FRIEDMAN INDUSTRIES,354576,0,7.76M,0,NO CHANGE,0.14%
21867A105,CLB,CORE LABORATORIES INC,569471,0,7.04M,0,NO CHANGE,0.13%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,93099,0,6.73M,0,NO CHANGE,0.12%
710577107,PEBK,PEOPLES BANCORP OF NC,217763,0,6.68M,0,NO CHANGE,0.12%
33741H107,FUNC,FIRST UNITED CORP,178352,0,6.56M,0,NO CHANGE,0.12%
81617J301,WTTR,SELECT WATER SOLUTIONS INC,546309,0,5.84M,0,NO CHANGE,0.11%
320866106,FMBH,FIRST MID BANCSHARES INC,137473,0,5.21M,0,NO CHANGE,0.1%
01446U103,ALRS,ALERUS FINANCIAL CORP,233700,0,5.17M,0,NO CHANGE,0.1%
03074A102,ASRV,AMERISERV FINANCIAL INC,1635677,0,4.74M,0,NO CHANGE,0.09%
170386106,COFS,CHOICEONE FINANCIAL SVCS INC,148548,0,4.3M,0,NO CHANGE,0.08%
174903104,CZWI,CITIZENS COMMUNITY BANCORP I,248319,0,3.99M,0,NO CHANGE,0.07%
65441V101,NINE,NINE ENERGY SERVICE INC,4178566,0,2.64M,0,NO CHANGE,0.05%
133034108,CAC,CAMDEN NATIONAL CORP,61269,0,2.36M,0,NO CHANGE,0.04%
05603E208,BVFL,BV FINANCIAL INC,141262,0,2.28M,0,NO CHANGE,0.04%
825107105,SHBI,SHORE BANCSHARES INC,136840,0,2.25M,0,NO CHANGE,0.04%
095825105,BRBS,BLUE RIDGE BANKSHARES INC,312221,0,1.32M,0,NO CHANGE,0.02%
78408D105,SBFG,SB FINANCIAL GROUP INC,46286,0,892.86K,0,NO CHANGE,0.02%
31931U102,FRBA,FIRST BANK/HAMILTON NJ,48939,0,797.22K,0,NO CHANGE,0.01%
178867107,CIVB,CIVISTA BANCSHARES INC,10000,0,203.1K,0,NO CHANGE,<.01%
015658115,ASTLW,ALGOMA STEEL GROUP INC -CW26,93408,0,14.34K,0,NO CHANGE,<.01%
31447P100,FENC,FENNEC PHARMACEUTICALS INC,139559,-147,1.31M,-1.38K,-0.1%,0.02%
46138G474,PSCE,INVESCO S&P SMALLCAP ENERGY,68469,-6400,2.92M,-272.77K,-8.5%,0.05%
62955J103,NOV,NOV INC,339697,-48194,4.5M,-638.57K,-12.4%,0.08%
