CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
74164F103,PRIM,Primoris Services Corp,275000,275000,37.77M,37.77M,NEW,14.4%
336433107,FSLR,First Solar Inc,100000,100000,22.05M,22.05M,NEW,8.4%
44812J104,HUT,Hut 8 Corp,550000,550000,19.15M,19.15M,NEW,7.3%
393222104,GPRE,Green Plains Inc,2000000,2000000,17.58M,17.58M,NEW,6.7%
553368101,MP,MP Materials Corp,220000,220000,14.76M,14.76M,NEW,5.6%
86771W105,RUN,Sunrun Inc,320000,320000,5.53M,5.53M,NEW,2.1%
92840M102,VST,Vistra Corp,150000,17893,29.39M,3.51M,+13.5%,11.2%
83418M103,SEI,Solaris Energy Infrastructure Inc,650000,-50000,25.98M,-2M,-7.1%,9.9%
576323109,MTZ,MasTec Inc,181000,-19000,38.52M,-4.04M,-9.5%,14.7%
629377508,NRG,NRG Energy Inc,160000,-28000,25.91M,-4.53M,-14.9%,9.9%
04010E109,AGX,Argan Inc,95000,-25000,25.65M,-6.75M,-20.8%,9.8%
88080T104,WULF,TERAWULF INC,0,-2000000,0,-8.76M,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,0,-70000,0,-8.99M,CLOSE,0%
093712107,BE,BLOOM ENERGY CORP,0,-500000,0,-11.96M,CLOSE,0%
368736104,GNRC,GENERAC HLDGS INC,0,-100000,0,-14.32M,CLOSE,0%
237266101,DAR,DARLING INGREDIENTS INC,0,-750000,0,-28.45M,CLOSE,0%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,0,-2050000,0,-34.99M,CLOSE,0%
Total,,,,,262.29M,-4.47M,-1.8%,100%
