CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
316841105,FIG,FIGMA INC,4132853,4132853,214.37M,214.37M,NEW,7%
922475108,VEEV,VEEVA SYS INC,233018,233018,69.42M,69.42M,NEW,2.3%
81764X103,TTAN,SERVICETITAN INC,1287331,436398,129.8M,44M,+51.3%,4.2%
22266T109,CPNG,COUPANG INC,15377927,0,495.17M,0,NO CHANGE,16.2%
023135106,AMZN,AMAZON COM INC,242000,0,53.14M,0,NO CHANGE,1.7%
49845K101,KVYO,KLAVIYO INC,2316796,-28784,64.15M,-797.03K,-1.2%,2.1%
888787108,TOST,TOAST INC,1481857,-80000,54.1M,-2.92M,-5.1%,1.8%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,0,-63740,0,-4.36M,CLOSE,0%
146869102,CVNA,CARVANA CO,5263919,-393606,1.99B,-148.48M,-7%,64.8%
Total,,,,,3.07B,171.23M,+6.4%,100%
