CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K107,GOOG,ALPHABET INC,333000,233000,81.1M,56.75M,+233%,19.8%
023135106,AMZN,AMAZON COM INC,100000,100000,21.96M,21.96M,NEW,5.4%
01609W102,BABA,ALIBABA GROUP HLDG LTD,120000,120000,21.45M,21.45M,NEW,5.2%
55024U109,LITE,LUMENTUM HLDGS INC,125000,125000,20.34M,20.34M,NEW,5%
595112103,MU,MICRON TECHNOLOGY INC,120000,120000,20.08M,20.08M,NEW,4.9%
67066G104,NVDA,NVIDIA CORPORATION,100000,100000,18.66M,18.66M,NEW,4.6%
896945201,TRIP,TRIPADVISOR INC,920000,920000,14.96M,14.96M,NEW,3.7%
44332N106,HTHT,H WORLD GROUP LTD,250000,250000,9.78M,9.78M,NEW,2.4%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,312000,32000,87.14M,8.94M,+11.4%,21.3%
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,180000,180000,6.77M,6.77M,NEW,1.7%
46090E953,QQQ,INVESCO QQQ TR,3300,3300,1.95M,1.95M,NEW,0.48%
68373M107,OPRA,OPERA LTD,100000,50000,2.06M,1.03M,+100%,0.5%
89677Q107,TCOM,TRIP COM GROUP LTD,370000,-30000,27.82M,-2.26M,-7.5%,6.8%
98850P109,YUMC,YUM CHINA HLDGS INC,119700,-99850,5.14M,-4.29M,-45.5%,1.3%
722304102,PDD,PDD HOLDINGS INC,150000,-50000,19.83M,-6.61M,-25%,4.9%
135086106,GOOS,CANADA GOOSE HLDGS INC,0,-660000,0,-7.39M,CLOSE,0%
571903202,MAR,MARRIOTT INTL INC NEW,50000,-30000,13.02M,-7.81M,-37.5%,3.2%
482497104,BEKE,KE HLDGS INC,0,-500000,0,-8.87M,CLOSE,0%
550021109,LULU,LULULEMON ATHLETICA INC,0,-53000,0,-12.59M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,0,-50000,0,-24.87M,CLOSE,0%
30303M102,META,META PLATFORMS INC,50000,-50000,36.72M,-36.72M,-50%,9%
Total,,,,,408.76M,91.25M,+31.9%,100%
