CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
379378201,GNL,GLOBAL NET LEASE INC,3500000,209798,28.45M,1.71M,+6.4%,17%
203668108,CYH,COMMUNITY HEALTH SYS INC NEW,2000000,22235,6.42M,71.37K,+1.1%,3.8%
720190206,PDM,PIEDMONT REALTY TRUST INC,625000,0,5.62M,0,NO CHANGE,3.4%
91325V108,UNIT,UNITI GROUP INC,0,-200000,0,-864K,CLOSE,0%
78442P106,SLM,SLM CORP,200000,-50000,5.54M,-1.38M,-20%,3.3%
45174J509,IHRT,IHEARTMEDIA INC,300000,-784016,861K,-2.25M,-72.3%,0.51%
46138E628,KBWB,INVESCO EXCH TRADED FD TR II,0,-35000,0,-2.51M,CLOSE,0%
78464A797,KBE,SPDR SERIES TRUST,0,-45000,0,-2.51M,CLOSE,0%
278768106,SATS,ECHOSTAR CORP,350000,-40000,26.73M,-3.05M,-10.3%,15.9%
17253JAA4,CIFR,CIPHER MINING INC,0,-2500000,0,-3.23M,CLOSE,0%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,5250000,-779222,94.19M,-13.98M,-12.9%,56.1%
17253J106,CIFR,CIPHER MINING INC,0,-4404900,0,-21.06M,CLOSE,0%
Total,,,,,167.81M,-49.05M,-25.8%,100%
