CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
01644J108,ALKT,Alkami Technology Inc,400000,220000,9.94M,5.46M,+122.2%,1.3%
98139A105,WK,Workiva Inc,50000,50000,4.3M,4.3M,NEW,0.57%
126501105,CTS,CTS Corp,100000,100000,3.99M,3.99M,NEW,0.53%
826919102,SLAB,Silicon Laboratories Inc,27500,27500,3.61M,3.61M,NEW,0.48%
829214105,SLP,Simulations Plus Inc,200000,200000,3.02M,3.02M,NEW,0.4%
59064R109,MLAB,Mesa Laboratories Inc,50000,37500,3.34M,2.51M,+300%,0.44%
67000B104,NOVT,Novanta Inc,25000,25000,2.5M,2.5M,NEW,0.33%
92538J106,VERX,Vertex Inc,200000,90000,4.96M,2.23M,+81.8%,0.66%
43289P106,HIMX,Himax Technologies Inc,400000,170000,3.53M,1.5M,+73.9%,0.47%
19239V302,CCOI,Cogent Communications Holdings Inc,242600,35000,9.3M,1.34M,+16.9%,1.2%
157210105,CEVA,Ceva Inc,450000,50000,11.88M,1.32M,+12.5%,1.6%
358054104,FRSH,Freshworks Inc,190000,100000,2.23M,1.18M,+111.1%,0.3%
30041T104,MRAM,Everspin Technologies Inc,800000,125000,7.42M,1.16M,+18.5%,0.99%
500600101,KOPN,Kopin Corp,2000000,465000,4.86M,1.13M,+30.3%,0.65%
55380K109,MPTI,M-Tron Industries Inc,55000,20000,3.04M,1.1M,+57.1%,0.4%
87876P201,TGEN,Tecogen Inc/Waltham MA,446078,125000,3.9M,1.09M,+38.9%,0.52%
04302A104,AIP,Arteris Inc,400000,100000,4.04M,1.01M,+33.3%,0.54%
925815102,VICR,Vicor Corp,250000,20000,12.41M,992.6K,+8.7%,1.7%
78463M107,SPSC,SPS Commerce Inc,55000,7500,5.73M,780.83K,+15.8%,0.76%
253798102,DGII,Digi International Inc,100000,20000,3.65M,729.2K,+25%,0.49%
946760105,CLMB,Climb Global Solutions Inc,50000,5000,6.74M,674.1K,+11.1%,0.9%
338307101,FIVN,Five9 Inc,282000,20000,6.83M,484.2K,+7.6%,0.91%
08975P108,CMRC,Commerce.com Inc,700000,75000,3.49M,374.25K,+12%,0.47%
M81865111,RDCM,RADCOM Ltd,300000,25000,4.27M,356K,+9.1%,0.57%
31846B108,FA,First Advantage Corp,365000,17127,5.62M,263.58K,+4.9%,0.75%
705573103,PEGA,Pegasystems Inc,703600,0,40.44M,0,NO CHANGE,5.4%
82706C108,SIMO,Silicon Motion Technology Corp,384906,0,36.4M,0,NO CHANGE,4.8%
922280102,VRNS,Varonis Systems Inc,443500,0,25.49M,0,NO CHANGE,3.4%
04206A101,ARLO,Arlo Technologies Inc,1277000,0,21.65M,0,NO CHANGE,2.9%
