CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
67066G104,NVDA,NVIDIA CORPORATION,1824017,1163222,340.33M,217.03M,+176%,9.5%
042068205,ARM,ARM HOLDINGS PLC,1434591,1434591,202.98M,202.98M,NEW,5.7%
594918104,MSFT,MICROSOFT CORP,777666,57767,402.79M,29.92M,+8%,11.2%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,365378,36054,255.03M,25.17M,+10.9%,7.1%
05464C101,AXON,AXON ENTERPRISE INC,122616,30137,87.99M,21.63M,+32.6%,2.5%
46120E602,ISRG,INTUITIVE SURGICAL INC,218646,48015,97.79M,21.47M,+28.1%,2.7%
461202103,INTU,INTUIT,184569,23836,126.04M,16.28M,+14.8%,3.5%
22160K105,COST,COSTCO WHSL CORP NEW,70724,14947,65.46M,13.84M,+26.8%,1.8%
57636Q104,MA,MASTERCARD INCORPORATED,119052,9170,67.72M,5.22M,+8.3%,1.9%
30303M102,META,META PLATFORMS INC,263309,6592,193.37M,4.84M,+2.6%,5.4%
92826C839,V,VISA INC,282566,3889,96.46M,1.33M,+1.4%,2.7%
852234103,XYZ,BLOCK INC,2159765,11336,156.09M,819.25K,+0.5%,4.4%
023135106,AMZN,AMAZON COM INC,1201105,-34326,263.73M,-7.54M,-2.8%,7.4%
81762P102,NOW,SERVICENOW INC,281641,-8652,259.19M,-7.96M,-3%,7.2%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,1442777,-194404,263.19M,-35.46M,-11.9%,7.3%
79466L302,CRM,SALESFORCE INC,0,-156438,0,-42.66M,CLOSE,0%
N07059210,ASML,ASML HOLDING N V,161592,-60216,156.44M,-58.29M,-27.1%,4.4%
88160R101,TSLA,TESLA INC,1159270,-240899,515.55M,-107.13M,-17.2%,14.4%
98138H101,WDAY,WORKDAY INC,144395,-459000,34.76M,-110.5M,-76.1%,0.97%
Total,,,,,3.58B,190.98M,+6%,100%
