CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
12811T571,CAIE,CALAMOS ETF TR,67893,67893,1.87M,1.87M,NEW,0.19%
92204A504,VHT,VANGUARD WORLD FD,7433,4470,1.93M,1.16M,+150.9%,0.2%
166764100,CVX,CHEVRON CORP NEW,11367,7328,1.77M,1.14M,+181.4%,0.18%
46090E103,QQQ,INVESCO QQQ TR,28202,1880,16.93M,1.13M,+7.1%,1.8%
78462F103,SPY,SPDR S&P 500 ETF TR,10941,1636,7.29M,1.09M,+17.6%,0.76%
922908595,VBK,VANGUARD INDEX FDS,12867,2719,3.83M,809.23K,+26.8%,0.4%
26923N744,FEPI,ETF OPPORTUNITIES TRUST,14548,14548,681.59K,681.59K,NEW,0.07%
42226A107,HQY,HEALTHEQUITY INC,13563,7187,1.29M,681.11K,+112.7%,0.13%
92204A801,VAW,VANGUARD WORLD FD,3250,3250,665.81K,665.81K,NEW,0.07%
922908553,VNQ,VANGUARD INDEX FDS,15792,6242,1.44M,570.64K,+65.4%,0.15%
92204A306,VDE,VANGUARD WORLD FD,6882,4450,866.21K,560.11K,+183%,0.09%
052800109,ALV,AUTOLIV INC,4077,4077,503.5K,503.5K,NEW,0.05%
070830104,BBWI,BATH & BODY WORKS INC,8850,8850,458.35K,458.35K,NEW,0.05%
78351F107,RYAN,RYAN SPECIALTY HOLDINGS INC,7720,7720,435.1K,435.1K,NEW,0.05%
921908844,VIG,VANGUARD SPECIALIZED FUNDS,7364,2005,1.59M,432.64K,+37.4%,0.17%
38267D109,GSHD,GOOSEHEAD INS INC,5807,5807,432.16K,432.16K,NEW,0.05%
68278B107,OS,ONESTREAM INC,22886,22886,421.79K,421.79K,NEW,0.04%
902252105,TYL,TYLER TECHNOLOGIES INC,803,803,420.1K,420.1K,NEW,0.04%
92206C102,VGSH,VANGUARD SCOTTSDALE FDS,38742,7123,2.28M,419.19K,+22.5%,0.24%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,36483,7155,2.1M,411.56K,+24.4%,0.22%
21874C102,CNM,CORE & MAIN INC,7471,7471,402.16K,402.16K,NEW,0.04%
922908611,VBR,VANGUARD INDEX FDS,20779,1809,4.34M,377.55K,+9.5%,0.45%
00676P107,ADEA,ADEIA INC,21744,21744,365.31K,365.31K,NEW,0.04%
942622200,WSO,WATSCO INC,869,869,351.34K,351.34K,NEW,0.04%
77311W101,RKT,ROCKET COS INC,17894,17894,346.79K,346.79K,NEW,0.04%
369604301,GE,GE AEROSPACE,11942,1149,3.59M,345.63K,+10.6%,0.37%
