CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
172573107,CRCL,CIRCLE INTERNET GROUP INC,549900,549900,72.91M,72.91M,NEW,5.8%
518439104,EL,LAUDER ESTEE COS INC,823500,823500,72.57M,72.57M,NEW,5.8%
458140100,INTC,INTEL CORP,55000,55000,1.85M,1.85M,NEW,0.15%
090040106,BILI,BILIBILI INC,65000,65000,1.83M,1.83M,NEW,0.15%
92864M798,ETHU,VOLATILITY SHS TR,12300,12300,1.6M,1.6M,NEW,0.13%
443201108,HWM,HOWMET AEROSPACE INC,4900,4900,961.53K,961.53K,NEW,0.08%
02079K305,GOOGL,ALPHABET INC,1267500,2850,308.13M,692.84K,+0.2%,24.7%
98980G102,ZS,ZSCALER INC,2200,2200,659.25K,659.25K,NEW,0.05%
032654105,ADI,ANALOG DEVICES INC,2380,2380,584.77K,584.77K,NEW,0.05%
833445109,SNOW,SNOWFLAKE INC,2500,2500,563.88K,563.88K,NEW,0.05%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,4030,800,1.13M,223.43K,+24.8%,0.09%
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,25000,4200,939.75K,157.88K,+20.2%,0.08%
89677Q107,TCOM,TRIP COM GROUP LTD,0,-3850,0,-225.76K,CLOSE,0%
19260Q107,COIN,COINBASE GLOBAL INC,0,-700,0,-245.34K,CLOSE,0%
01609W102,BABA,ALIBABA GROUP HLDG LTD,0,-2300,0,-260.84K,CLOSE,0%
770700102,HOOD,ROBINHOOD MKTS INC,2600,-2100,372.27K,-300.68K,-44.7%,0.03%
36165L108,GDS,GDS HLDGS LTD,5300,-7900,205.11K,-305.73K,-59.8%,0.02%
67066G104,NVDA,NVIDIA CORPORATION,1089300,-10650,203.24M,-1.99M,-1%,16.3%
66981J102,MNSO,MINISO GROUP HLDG LTD,8010921,-1324114,180.25M,-29.79M,-14.2%,14.4%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,64000,-4215365,830.08K,-54.67M,-98.5%,0.07%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,2039650,-444750,372.07M,-81.13M,-17.9%,29.8%
722304102,PDD,PDD HOLDINGS INC,219850,-1105200,29.06M,-146.07M,-83.4%,2.3%
Total,,,,,1.25B,-160.41M,-14.6%,100%
