CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
15135B101,CNC,CENTENE CORP DEL,2256881,2256881,80.53M,80.53M,NEW,6.6%
806857108,SLB,SCHLUMBERGER LTD,1909788,1909788,65.64M,65.64M,NEW,5.4%
75281A109,RRC,RANGE RES CORP,4420608,1610804,166.39M,60.63M,+57.3%,13.6%
67077M108,NTR,NUTRIEN LTD,1266600,692956,74.36M,40.68M,+120.8%,6.1%
165167735,EXE,EXPAND ENERGY CORPORATION,738047,215331,78.41M,22.88M,+41.2%,6.4%
G1466R173,BORR,BORR DRILLING LTD,4983672,4983672,13.41M,13.41M,NEW,1.1%
226406106,CRESY,CRESUD S A C I F Y A,3727790,1334914,34.3M,12.28M,+55.8%,2.8%
780287108,RGLD,ROYAL GOLD INC,116065,34982,23.28M,7.02M,+43.1%,1.9%
48268K101,KT,KT CORP,4555448,278984,88.83M,5.44M,+6.5%,7.2%
66510M204,NAK,NORTHERN DYNASTY MINERALS LT,21661178,1995111,25.99M,2.39M,+10.1%,2.1%
46050R102,THM,INTERNATIONAL TOWER HILL MIN,14448418,0,23.7M,0,NO CHANGE,1.9%
500631106,KEP,KOREA ELEC PWR CORP,268151,0,3.5M,0,NO CHANGE,0.29%
00912X302,AL,AIR LEASE CORP,285013,-1669,18.14M,-106.23K,-0.6%,1.5%
80013R206,SAND,SANDSTORM GOLD LTD,1586602,-16558,19.86M,-207.31K,-1%,1.6%
46428Q109,SLV,ISHARES SILVER TR,0,-12155,0,-398.81K,CLOSE,0%
927926303,VGZ,VISTA GOLD CORP,3129347,-701047,6.67M,-1.49M,-18.3%,0.54%
354613101,BEN,FRANKLIN RESOURCES INC,2735624,-108225,63.27M,-2.5M,-3.8%,5.2%
811916105,SA,SEABRIDGE GOLD INC,6946666,-435940,167.76M,-10.53M,-5.9%,13.7%
651639106,NEM,NEWMONT CORP,48516,-132054,4.09M,-11.13M,-73.1%,0.33%
65340P106,NXE,NEXGEN ENERGY LTD,0,-1760522,0,-12.22M,CLOSE,0%
023939101,AMTM,AMENTUM HOLDINGS INC,0,-636226,0,-15.02M,CLOSE,0%
46578C108,IE,IVANHOE ELECTRIC INC,1335985,-2076576,16.77M,-26.06M,-60.9%,1.4%
833635105,SQM,SOCIEDAD QUIMICA Y MINERA DE,812944,-1029169,34.94M,-44.23M,-55.9%,2.9%
66987E206,NG,NOVAGOLD RES INC,13137577,-5977632,115.61M,-52.6M,-31.3%,9.4%
06849F108,B,BARRICK MNG CORP,3057390,-2070897,100.19M,-67.86M,-40.4%,8.2%
Total,,,,,1.23B,66.52M,+7.3%,100%
