CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
358054104,FRSH,FRESHWORKS INC,459619,459619,5.41M,5.41M,NEW,0.03%
722304102,PDD,PDD HOLDINGS INC,12050,6612,1.59M,873.91K,+121.6%,<.01%
81764X103,TTAN,SERVICETITAN INC,11013,6447,1.11M,650.05K,+141.2%,<.01%
37637K108,GTLB,GITLAB INC,17214,6138,776.01K,276.7K,+55.4%,<.01%
30303M102,META,META PLATFORMS INC,9920614,0,7.29B,0,NO CHANGE,34.6%
770700102,HOOD,ROBINHOOD MKTS INC,24158860,0,3.46B,0,NO CHANGE,16.4%
25809K105,DASH,DOORDASH INC,7068299,0,1.92B,0,NO CHANGE,9.1%
88160R101,TSLA,TESLA INC,3766106,0,1.67B,0,NO CHANGE,7.9%
02079K305,GOOGL,ALPHABET INC,6207074,0,1.51B,0,NO CHANGE,7.2%
023135106,AMZN,AMAZON COM INC,6589070,0,1.45B,0,NO CHANGE,6.9%
82509L107,SHOP,SHOPIFY INC,6325050,0,939.97M,0,NO CHANGE,4.5%
64110L106,NFLX,NETFLIX INC,670722,0,804.14M,0,NO CHANGE,3.8%
594918104,MSFT,MICROSOFT CORP,1050322,0,544.01M,0,NO CHANGE,2.6%
47215P106,JD,JD.COM INC,11693590,0,409.04M,0,NO CHANGE,1.9%
98138H101,WDAY,WORKDAY INC,1363667,0,328.28M,0,NO CHANGE,1.6%
808513105,SCHW,SCHWAB CHARLES CORP,3196166,0,305.14M,0,NO CHANGE,1.4%
256163106,DOCU,DOCUSIGN INC,4122708,0,297.21M,0,NO CHANGE,1.4%
037833100,AAPL,APPLE INC,248975,0,63.4M,0,NO CHANGE,0.3%
01609W102,BABA,ALIBABA GROUP HLDG LTD,269858,0,48.23M,0,NO CHANGE,0.23%
02079K107,GOOG,ALPHABET INC,90740,0,22.1M,0,NO CHANGE,0.1%
146869102,CVNA,CARVANA CO,13985,0,5.28M,0,NO CHANGE,0.03%
19260Q107,COIN,COINBASE GLOBAL INC,13757,0,4.64M,0,NO CHANGE,0.02%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,19045,0,1.39M,0,NO CHANGE,<.01%
23804L103,DDOG,DATADOG INC,6703,0,954.51K,0,NO CHANGE,<.01%
10576N102,BRZE,BRAZE INC,23294,0,662.48K,0,NO CHANGE,<.01%
98980L101,ZM,ZOOM COMMUNICATIONS INC,0,-3760588,0,-293.25M,CLOSE,0%
Total,,,,,21.08B,-286.04M,-1.5%,100%
