CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
N97284108,NBIS,NEBIUS GROUP N.V.,139925,90625,15.71M,10.17M,+183.8%,3.4%
29273V100,ET,ENERGY TRANSFER L P,223300,223300,3.83M,3.83M,NEW,0.83%
64110L106,NFLX,NETFLIX INC,18825,3175,22.57M,3.81M,+20.3%,4.9%
Q4982L109,IREN,IREN LIMITED,64850,64850,3.04M,3.04M,NEW,0.66%
127097103,CTRA,COTERRA ENERGY INC,331700,110520,7.84M,2.61M,+50%,1.7%
26884L109,EQT,EQT CORP,84475,47850,4.6M,2.6M,+130.6%,0.99%
11271J107,BN,BROOKFIELD CORP,268275,30335,18.4M,2.08M,+12.7%,4%
16411R208,LNG,CHENIERE ENERGY INC,7350,7350,1.73M,1.73M,NEW,0.37%
595112103,MU,MICRON TECHNOLOGY INC,233730,9080,39.11M,1.52M,+4%,8.5%
49456B101,KMI,KINDER MORGAN INC DEL,277400,52500,7.85M,1.49M,+23.3%,1.7%
315948109,FBTC,FIDELITY WISE ORIGIN BITCOIN,12889,12889,1.29M,1.29M,NEW,0.28%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,14250,14250,926.25K,926.25K,NEW,0.2%
464288661,IEI,ISHARES TR,7500,7500,896.33K,896.33K,NEW,0.19%
007903107,AMD,ADVANCED MICRO DEVICES INC,35367,4172,5.72M,674.99K,+13.4%,1.2%
770700102,HOOD,ROBINHOOD MKTS INC,7800,4400,1.12M,629.99K,+129.4%,0.24%
50077B207,KTOS,KRATOS DEFENSE & SEC SOLUTIO,6300,6300,575.63K,575.63K,NEW,0.12%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,700,700,488.6K,488.6K,NEW,0.11%
92840M102,VST,VISTRA CORP,23610,2000,4.63M,391.84K,+9.3%,1%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,7455,550,3.75M,276.51K,+8%,0.81%
713448108,PEP,PEPSICO INC,1800,1800,252.79K,252.79K,NEW,0.05%
11135F101,AVGO,BROADCOM INC,700,700,230.94K,230.94K,NEW,0.05%
71944F106,PHR,PHREESIA INC,9000,9000,211.68K,211.68K,NEW,0.05%
N07059210,ASML,ASML HOLDING N V,550,150,532.45K,145.21K,+37.5%,0.12%
03831W108,APP,APPLOVIN CORP,900,100,646.69K,71.85K,+12.5%,0.14%
828806109,SPG,SIMON PPTY GROUP INC NEW,2700,0,506.71K,0,NO CHANGE,0.11%
666807102,NOC,NORTHROP GRUMMAN CORP,700,0,426.52K,0,NO CHANGE,0.09%
14040H105,COF,CAPITAL ONE FINL CORP,1019,-50,216.62K,-10.63K,-4.7%,0.05%
30231G102,XOM,EXXON MOBIL CORP,1800,-500,202.95K,-56.38K,-21.7%,0.04%
750917106,RMBS,RAMBUS INC DEL,7500,-600,781.5K,-62.52K,-7.4%,0.17%
45569U101,INDI,INDIE SEMICONDUCTOR INC,0,-18500,0,-65.86K,CLOSE,0%
35671D857,FCX,FREEPORT-MCMORAN INC,11800,-2000,462.8K,-78.44K,-14.5%,0.1%
02079K107,GOOG,ALPHABET INC,1419,-381,345.6K,-92.79K,-21.2%,0.07%
871607107,SNPS,SYNOPSYS INC,1191,-234,587.63K,-115.45K,-16.4%,0.13%
092528603,BINC,BLACKROCK ETF TRUST II,10700,-2500,569.67K,-133.1K,-18.9%,0.12%
438516106,HON,HONEYWELL INTL INC,1331,-800,280.18K,-168.4K,-37.5%,0.06%
78463V107,GLD,SPDR GOLD TR,1050,-500,373.24K,-177.74K,-32.3%,0.08%
G29183103,ETN,EATON CORP PLC,1200,-500,449.1K,-187.12K,-29.4%,0.1%
16411Q101,CQP,CHENIERE ENERGY PARTNERS LP,4900,-3500,263.72K,-188.37K,-41.7%,0.06%
573874104,MRVL,MARVELL TECHNOLOGY INC,0,-2605,0,-201.63K,CLOSE,0%
46435G474,FALN,ISHARES TR,0,-7500,0,-203.55K,CLOSE,0%
375558103,GILD,GILEAD SCIENCES INC,2800,-2000,310.8K,-222K,-41.7%,0.07%
81762P102,NOW,SERVICENOW INC,2301,-249,2.12M,-229.15K,-9.8%,0.46%
G54950103,LIN,LINDE PLC,0,-500,0,-234.59K,CLOSE,0%
37954Y871,URA,GLOBAL X FDS,0,-6187,0,-240.12K,CLOSE,0%
032095101,APH,AMPHENOL CORP NEW,6806,-1994,842.24K,-246.76K,-22.7%,0.18%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,58555,-1000,16.35M,-279.29K,-1.7%,3.5%
88160R101,TSLA,TESLA INC,0,-1000,0,-317.66K,CLOSE,0%
512807306,LRCX,LAM RESEARCH CORP,18300,-2600,2.45M,-348.14K,-12.4%,0.53%
570535104,MKL,MARKEL GROUP INC,0,-200,0,-399.47K,CLOSE,0%
042068205,ARM,ARM HOLDINGS PLC,11200,-3000,1.58M,-424.47K,-21.1%,0.34%
75886F107,REGN,REGENERON PHARMACEUTICALS,1780,-800,1M,-449.82K,-31%,0.22%
58155Q103,MCK,MCKESSON CORP,0,-650,0,-476.31K,CLOSE,0%
72201R833,MINT,PIMCO ETF TR,8500,-5200,855.87K,-523.59K,-38%,0.18%
816851109,SRE,SEMPRA,53600,-6000,4.82M,-539.88K,-10.1%,1%
G6683N103,NU,NU HLDGS LTD,21050,-33800,337.01K,-541.14K,-61.6%,0.07%
464286525,ACWV,ISHARES INC,0,-4940,0,-585.74K,CLOSE,0%
539830109,LMT,LOCKHEED MARTIN CORP,856,-1200,427.32K,-599.05K,-58.4%,0.09%
92206C102,VGSH,VANGUARD SCOTTSDALE FDS,35100,-11950,2.07M,-703.26K,-25.4%,0.45%
594972887,STRK,STRATEGY INC,8700,-7800,797.79K,-715.26K,-47.3%,0.17%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,1444,-1750,700.37K,-848.79K,-54.8%,0.15%
594918104,MSFT,MICROSOFT CORP,7580,-2013,3.93M,-1.04M,-21%,0.85%
04626A103,ALAB,ASTERA LABS INC,86900,-6600,17.02M,-1.29M,-7.1%,3.7%
023135106,AMZN,AMAZON COM INC,31001,-6199,6.81M,-1.36M,-16.7%,1.5%
75513E101,RTX,RTX CORPORATION,4607,-9600,770.89K,-1.61M,-67.6%,0.17%
26441C204,DUK,DUKE ENERGY CORP NEW,114750,-13400,14.2M,-1.66M,-10.5%,3.1%
58933Y105,MRK,MERCK & CO INC,90815,-21515,7.62M,-1.81M,-19.2%,1.6%
84858T772,EUAD,SPINNAKER ETF SERIES,0,-43000,0,-1.86M,CLOSE,0%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,38400,-6800,10.83M,-1.92M,-15%,2.3%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,31892,-3950,15.64M,-1.94M,-11%,3.4%
22160K105,COST,COSTCO WHSL CORP NEW,19198,-2500,17.77M,-2.31M,-11.5%,3.8%
25746U109,D,DOMINION ENERGY INC,225200,-43500,13.78M,-2.66M,-16.2%,3%
92537N108,VRT,VERTIV HOLDINGS CO,103355,-17650,15.59M,-2.66M,-14.6%,3.4%
02079K305,GOOGL,ALPHABET INC,84399,-11001,20.52M,-2.67M,-11.5%,4.4%
084670108,BRK.A,BERKSHIRE HATHAWAY INC DEL,0,-5,0,-3.64M,CLOSE,0%
19247G107,COHR,COHERENT CORP,158151,-52684,17.04M,-5.68M,-25%,3.7%
037833100,AAPL,APPLE INC,49725,-22707,12.66M,-5.78M,-31.3%,2.7%
67066G104,NVDA,NVIDIA CORPORATION,447228,-50080,83.44M,-9.34M,-10.1%,18%
532457108,LLY,ELI LILLY & CO,25022,-13282,19.09M,-10.13M,-34.7%,4.1%
Total,,,,,462.78M,-30.09M,-6.9%,100%
