CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
M7S64H106,MNDY,MONDAY COM LTD,61900,49900,11.99M,9.67M,+415.8%,6.8%
90353T100,UBER,UBER TECHNOLOGIES INC,171000,61000,16.75M,5.98M,+55.5%,9.5%
781154109,RBRK,RUBRIK INC.,64800,57300,5.33M,4.71M,+764%,3%
92826C839,V,VISA INC,12550,12550,4.28M,4.28M,NEW,2.4%
81762P102,NOW,SERVICENOW INC,4250,4250,3.91M,3.91M,NEW,2.2%
146869102,CVNA,CARVANA CO,21600,10200,8.15M,3.85M,+89.5%,4.6%
458140100,INTC,INTEL CORP,138500,106000,4.65M,3.56M,+326.2%,2.6%
67066G104,NVDA,NVIDIA CORPORATION,66000,18000,12.31M,3.36M,+37.5%,7%
N07059210,ASML,ASML HOLDING N V,10400,2400,10.07M,2.32M,+30%,5.7%
16935C109,CHYM,CHIME FINL INC,200000,100000,4.03M,2.02M,+100%,2.3%
683344105,ONTO,ONTO INNOVATION INC,15000,15000,1.94M,1.94M,NEW,1.1%
G6683N103,NU,NU HLDGS LTD,1726000,118000,27.63M,1.89M,+7.3%,15.7%
19247G107,COHR,COHERENT CORP,17000,17000,1.83M,1.83M,NEW,1%
19260Q107,COIN,COINBASE GLOBAL INC,2250,2250,759.35K,759.35K,NEW,0.43%
833445109,SNOW,SNOWFLAKE INC,3410,100,769.13K,22.56K,+3%,0.44%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,32500,0,9.08M,0,NO CHANGE,5.2%
11135F101,AVGO,BROADCOM INC,2550,0,841.27K,0,NO CHANGE,0.48%
770700102,HOOD,ROBINHOOD MKTS INC,111400,-100,15.95M,-14.32K,-0.1%,9.1%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,452000,-30041,5.86M,-389.63K,-6.2%,3.3%
79589L106,IOT,SAMSARA INC,0,-17000,0,-676.26K,CLOSE,0%
82509L107,SHOP,SHOPIFY INC,0,-6300,0,-726.71K,CLOSE,0%
512807306,LRCX,LAM RESEARCH CORP,0,-8000,0,-778.72K,CLOSE,0%
20717M103,CFLT,CONFLUENT INC,81700,-58800,1.62M,-1.16M,-41.9%,0.92%
023135106,AMZN,AMAZON COM INC,33200,-16500,7.29M,-3.62M,-33.2%,4.1%
37637K108,GTLB,GITLAB INC,0,-81900,0,-3.69M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,65700,-36000,15.97M,-8.75M,-35.4%,9.1%
60937P106,MDB,MONGODB INC,15850,-34300,4.92M,-10.65M,-68.4%,2.8%
Total,,,,,175.94M,19.63M,+14.8%,100%
