CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
88160R101,TSLA,TESLA INC,39600,39063,17.61M,17.37M,+7274.3%,2.3%
98389B100,XEL,XCEL ENERGY INC,190000,90000,15.32M,7.26M,+90%,2%
023608102,AEE,AMEREN CORP,140000,67500,14.61M,7.05M,+93.1%,1.9%
15189T107,CNP,CENTERPOINT ENERGY INC,325000,169967,12.61M,6.59M,+109.6%,1.7%
74736K101,QRVO,QORVO INC,71907,71907,6.55M,6.55M,NEW,0.87%
69351T106,PPL,PPL CORP,270000,150000,10.03M,5.57M,+125%,1.3%
629377508,NRG,NRG ENERGY INC,37127,34181,6.01M,5.54M,+1160.3%,0.8%
19260Q107,COIN,COINBASE GLOBAL INC,16361,16361,5.52M,5.52M,NEW,0.73%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,84574,84574,5.43M,5.43M,NEW,0.72%
683344105,ONTO,ONTO INNOVATION INC,38607,36055,4.99M,4.66M,+1412.8%,0.66%
346375108,FORM,FORMFACTOR INC,122000,122000,4.44M,4.44M,NEW,0.59%
29364G103,ETR,ENTERGY CORP NEW,135000,46393,12.58M,4.32M,+52.4%,1.7%
750940108,RAL,RALLIANT CORP,166215,95639,7.27M,4.18M,+135.5%,0.97%
65473P105,NI,NISOURCE INC,272500,89500,11.8M,3.88M,+48.9%,1.6%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,48600,48600,3.51M,3.51M,NEW,0.47%
H8817H100,RIG,TRANSOCEAN LTD,1025467,1025467,3.2M,3.2M,NEW,0.42%
292671708,UUUU,ENERGY FUELS INC,200000,200000,3.07M,3.07M,NEW,0.41%
172967424,C,CITIGROUP INC,28580,28580,2.9M,2.9M,NEW,0.39%
H1467J104,CB,CHUBB LIMITED,8637,8637,2.44M,2.44M,NEW,0.32%
902653104,UDR,UDR INC,65098,65098,2.43M,2.43M,NEW,0.32%
464287655,IWM,ISHARES TR,10000,10000,2.42M,2.42M,NEW,0.32%
N53745100,LYB,LYONDELLBASELL INDUSTRIES N,48719,48279,2.39M,2.37M,+10972.5%,0.32%
62944T105,NVR,NVR INC,359,289,2.88M,2.32M,+412.9%,0.38%
219350105,GLW,CORNING INC,27448,27448,2.25M,2.25M,NEW,0.3%
149123101,CAT,CATERPILLAR INC,4500,4500,2.15M,2.15M,NEW,0.29%
21874C102,CNM,CORE & MAIN INC,39089,39089,2.1M,2.1M,NEW,0.28%
277276101,EGP,EASTGROUP PPTYS INC,12312,12312,2.08M,2.08M,NEW,0.28%
84265V105,SCCO,SOUTHERN COPPER CORP,16800,16800,2.04M,2.04M,NEW,0.27%
43300A203,HLT,HILTON WORLDWIDE HLDGS INC,11189,7810,2.9M,2.03M,+231.1%,0.39%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,13846,13846,2.02M,2.02M,NEW,0.27%
693506107,PPG,PPG INDS INC,19045,19045,2M,2M,NEW,0.27%
571748102,MRSH,MARSH & MCLENNAN COS INC,13992,9406,2.82M,1.9M,+205.1%,0.37%
03674X106,AR,ANTERO RESOURCES CORP,54458,54458,1.83M,1.83M,NEW,0.24%
68902V107,OTIS,OTIS WORLDWIDE CORP,19945,19945,1.82M,1.82M,NEW,0.24%
78410G104,SBAC,SBA COMMUNICATIONS CORP NEW,9068,9068,1.75M,1.75M,NEW,0.23%
172573107,CRCL,CIRCLE INTERNET GROUP INC,40000,12970,5.3M,1.72M,+48%,0.7%
94106B101,WCN,WASTE CONNECTIONS INC,14054,9176,2.47M,1.61M,+188.1%,0.33%
907818108,UNP,UNION PAC CORP,6648,6648,1.57M,1.57M,NEW,0.21%
29362U104,ENTG,ENTEGRIS INC,16400,16400,1.52M,1.52M,NEW,0.2%
G3730V105,FTAI,FTAI AVIATION LTD,9071,9071,1.51M,1.51M,NEW,0.2%
78409V104,SPGI,S&P GLOBAL INC,3014,3014,1.47M,1.47M,NEW,0.19%
