CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
806857108,SLB,SCHLUMBERGER LTD,431000,431000,14.81M,14.81M,NEW,3.3%
92189H607,OIH,VANECK ETF TRUST,47000,47000,12.22M,12.22M,NEW,2.7%
05722G100,BKR,BAKER HUGHES COMPANY,195000,195000,9.5M,9.5M,NEW,2.1%
406216101,HAL,HALLIBURTON CO,184000,184000,4.53M,4.53M,NEW,1%
G87110105,FTI,TECHNIPFMC PLC,84000,84000,3.31M,3.31M,NEW,0.74%
88031M109,TS,TENARIS S A,86000,86000,3.08M,3.08M,NEW,0.69%
G48833118,WFRD,WEATHERFORD INTL PLC,43000,43000,2.94M,2.94M,NEW,0.66%
62955J103,NOV,NOV INC,209000,209000,2.77M,2.77M,NEW,0.62%
G65431127,NE,NOBLE CORP PLC,95000,95000,2.69M,2.69M,NEW,0.6%
G9460G101,VAL,VALARIS LTD,52000,52000,2.54M,2.54M,NEW,0.57%
88642R109,TDW,TIDEWATER INC NEW,44000,44000,2.35M,2.35M,NEW,0.52%
260557103,DOW,DOW INC,50000,50000,1.15M,1.15M,NEW,0.26%
674599105,OXY,OCCIDENTAL PETE CORP,25000,0,1.18M,0,NO CHANGE,0.26%
464286400,EWZ,ISHARES INC,0,-348000,0,-10.04M,CLOSE,0%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,0,-186000,0,-11.39M,CLOSE,0%
097023105,BA,BOEING CO,0,-57000,0,-11.94M,CLOSE,0%
92189F791,GDXJ,VANECK ETF TRUST,0,-339000,0,-22.91M,CLOSE,0%
78463V107,GLD,SPDR GOLD TR,909000,-96000,323.12M,-34.13M,-9.6%,72.2%
00326A104,SGOL,ETFS GOLD TR,0,-1217000,0,-38.38M,CLOSE,0%
92189F106,GDX,VANECK ETF TRUST,0,-1339000,0,-69.71M,CLOSE,0%
464285204,IAU,ISHARES GOLD TR,840000,-1302000,61.13M,-94.75M,-60.8%,13.7%
Total,,,,,447.3M,-231.37M,-38.2%,100%
