CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
037833100,AAPL,APPLE INC,104326,102425,26.56M,26.08M,+5388%,11.5%
097023105,BA,BOEING CO,34800,34800,7.51M,7.51M,NEW,3.3%
01609W102,BABA,ALIBABA GROUP HLDG LTD,38800,38800,6.93M,6.93M,NEW,3%
68389X105,ORCL,ORACLE CORP,19675,19675,5.53M,5.53M,NEW,2.4%
21873S108,CRWV,COREWEAVE INC,44450,33260,6.08M,4.55M,+297.2%,2.6%
02079K305,GOOGL,ALPHABET INC,68240,13675,16.59M,3.32M,+25.1%,7.2%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,41550,1089,11.6M,304.15K,+2.7%,5%
46654Q203,JEPQ,J P MORGAN EXCHANGE TRADED F,3500,3500,201.32K,201.32K,NEW,0.09%
46090E103,QQQ,INVESCO QQQ TR,776,0,465.89K,0,NO CHANGE,0.2%
36828A101,GEV,GE VERNOVA INC,3000,-550,1.84M,-338.19K,-15.5%,0.8%
21037T109,CEG,CONSTELLATION ENERGY CORP,36600,-1175,12.04M,-386.66K,-3.1%,5.2%
11135F101,AVGO,BROADCOM INC,39173,-2187,12.92M,-721.51K,-5.3%,5.6%
38141G104,GS,GOLDMAN SACHS GROUP INC,625,-1990,497.72K,-1.58M,-76.1%,0.22%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,16430,-4770,8.06M,-2.34M,-22.5%,3.5%
023135106,AMZN,AMAZON COM INC,80990,-12895,17.78M,-2.83M,-13.7%,7.7%
19260Q107,COIN,COINBASE GLOBAL INC,0,-11850,0,-4.15M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,0,-35425,0,-5.03M,CLOSE,0%
46625H100,JPM,JPMORGAN CHASE & CO.,38610,-17590,12.18M,-5.55M,-31.3%,5.3%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,0,-40950,0,-5.58M,CLOSE,0%
02156V109,OKLO,OKLO INC,43790,-53564,4.89M,-5.98M,-55%,2.1%
67066G104,NVDA,NVIDIA CORPORATION,85795,-32884,16.01M,-6.14M,-27.7%,6.9%
594918104,MSFT,MICROSOFT CORP,32075,-14060,16.61M,-7.28M,-30.5%,7.2%
88160R101,TSLA,TESLA INC,34485,-17230,15.34M,-7.66M,-33.3%,6.7%
30303M102,META,META PLATFORMS INC,14305,-11870,10.51M,-8.72M,-45.3%,4.6%
369604301,GE,GE AEROSPACE,54570,-30455,16.42M,-9.16M,-35.8%,7.1%
64110L106,NFLX,NETFLIX INC,3250,-12950,3.9M,-15.53M,-79.9%,1.7%
Total,,,,,230.48M,-34.54M,-14.5%,100%
