CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
83406F102,SOFI,SOFI TECHNOLOGIES INC,866496,501249,22.89M,13.24M,+137.2%,8.4%
03831W108,APP,APPLOVIN CORP,10540,5705,7.57M,4.1M,+118%,2.8%
68389X105,ORCL,ORACLE CORP,14487,12278,4.07M,3.45M,+555.8%,1.5%
11135F101,AVGO,BROADCOM INC,21106,10031,6.96M,3.31M,+90.6%,2.6%
91324P102,UNH,UNITEDHEALTH GROUP INC,16194,7375,5.59M,2.55M,+83.6%,2.1%
172573107,CRCL,CIRCLE INTERNET GROUP INC,18787,18787,2.49M,2.49M,NEW,0.92%
458140100,INTC,INTEL CORP,118953,72901,3.99M,2.45M,+158.3%,1.5%
150870103,CE,CELANESE CORP DEL,40493,40355,1.7M,1.7M,+29242.8%,0.63%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,15416,10437,2.24M,1.52M,+209.6%,0.83%
23331A109,DHI,D R HORTON INC,12199,6853,2.07M,1.16M,+128.2%,0.76%
G65163100,JOBY,JOBY AVIATION INC,60368,60368,974.34K,974.34K,NEW,0.36%
00724F101,ADBE,ADOBE INC,4182,2697,1.48M,951.37K,+181.6%,0.54%
532457108,LLY,ELI LILLY & CO,5267,1215,4.02M,927.04K,+30%,1.5%
88023B103,TEM,TEMPUS AI INC,22793,10879,1.84M,878.04K,+91.3%,0.68%
21873S108,CRWV,COREWEAVE INC,29771,5474,4.07M,749.12K,+22.5%,1.5%
00827B106,AFRM,AFFIRM HLDGS INC,16416,8948,1.2M,653.92K,+119.8%,0.44%
G1151C101,ACN,ACCENTURE PLC IRELAND,2880,2254,710.21K,555.84K,+360.1%,0.26%
26603R106,DUOL,DUOLINGO INC,2510,1703,807.82K,548.09K,+211%,0.3%
717081103,PFE,PFIZER INC,48104,21058,1.23M,536.45K,+77.9%,0.45%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,2974,1868,839.14K,527.07K,+168.9%,0.31%
46428Q109,SLV,ISHARES SILVER TR,18369,12401,778.29K,525.43K,+207.8%,0.29%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,1771,1004,890.35K,504.75K,+130.9%,0.33%
836100107,SOUN,SOUNDHOUND AI INC,34113,30019,548.54K,482.71K,+733.2%,0.2%
21036P108,STZ,CONSTELLATION BRANDS INC,3587,3474,483.06K,467.84K,+3074.3%,0.18%
413216300,HMY,HARMONY GOLD MINING CO LTD,67662,25054,1.23M,454.73K,+58.8%,0.45%
G0378L100,AU,ANGLOGOLD ASHANTI PLC,6652,6321,467.83K,444.56K,+1909.7%,0.17%
191216100,KO,COCA COLA CO,8286,6026,549.53K,399.64K,+266.6%,0.2%
093712107,BE,BLOOM ENERGY CORP,4474,4474,378.37K,378.37K,NEW,0.14%
553368101,MP,MP MATERIALS CORP,4484,4484,300.74K,300.74K,NEW,0.11%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,1434,1247,338.51K,294.37K,+666.8%,0.12%
443573100,HUBS,HUBSPOT INC,673,620,314.83K,290.04K,+1169.8%,0.12%
042068205,ARM,ARM HOLDINGS PLC,12888,2020,1.82M,285.81K,+18.6%,0.67%
958102105,WDC,WESTERN DIGITAL CORP,2741,2324,329.08K,279.02K,+557.3%,0.12%
889478103,TOL,TOLL BROTHERS INC,2122,1978,293.13K,273.24K,+1373.6%,0.11%
79466L302,CRM,SALESFORCE INC,3078,1142,729.49K,270.65K,+59%,0.27%
18915M107,NET,CLOUDFLARE INC,3153,1253,676.6K,268.88K,+65.9%,0.25%
911312106,UPS,UNITED PARCEL SERVICE INC,3833,3205,320.17K,267.71K,+510.4%,0.12%
670100205,NVO,NOVO-NORDISK A S,9895,4725,549.07K,262.19K,+91.4%,0.2%
67079K100,SMR,NUSCALE PWR CORP,29403,6941,1.06M,249.88K,+30.9%,0.39%
H5919C104,ONON,ON HLDG AG,10220,5837,432.82K,247.2K,+133.2%,0.16%
91680M107,UPST,UPSTART HLDGS INC,5891,4660,299.26K,236.73K,+378.6%,0.11%
G0250X107,AMCR,AMCOR PLC,31359,28327,256.52K,231.72K,+934.3%,0.09%
922042742,VT,VANGUARD INTL EQUITY INDEX F,2176,1679,299.85K,231.37K,+337.8%,0.11%
35671D857,FCX,FREEPORT-MCMORAN INC,6118,5767,239.95K,226.18K,+1643%,0.09%
00217D100,ASTS,AST SPACEMOBILE INC,25354,4488,1.24M,220.27K,+21.5%,0.46%
682189105,ON,ON SEMICONDUCTOR CORP,5188,4459,255.82K,219.87K,+611.7%,0.09%
90353T100,UBER,UBER TECHNOLOGIES INC,5920,2180,579.98K,213.57K,+58.3%,0.21%
922908363,VOO,VANGUARD INDEX FDS,2660,340,1.63M,208.21K,+14.7%,0.6%
433000106,HIMS,HIMS & HERS HEALTH INC,40332,3643,2.29M,206.63K,+9.9%,0.84%
500754106,KHC,KRAFT HEINZ CO,8545,7300,222.51K,190.09K,+586.3%,0.08%
594918104,MSFT,MICROSOFT CORP,6602,365,3.42M,189.05K,+5.9%,1.3%
631103108,NDAQ,NASDAQ INC,2477,2106,219.09K,186.28K,+567.7%,0.08%
023135106,AMZN,AMAZON COM INC,13902,780,3.05M,171.26K,+5.9%,1.1%
80004C200,SNDK,SANDISK CORP,1950,1505,218.79K,168.86K,+338.2%,0.08%
53947R105,LOAR,LOAR HOLDINGS INC,2410,2100,192.8K,168K,+677.4%,0.07%
921946406,VYM,VANGUARD WHITEHALL FDS,1755,1191,247.37K,167.87K,+211.2%,0.09%
781154109,RBRK,RUBRIK INC.,12164,2001,1M,164.58K,+19.7%,0.37%
316841105,FIG,FIGMA INC,2987,2987,154.94K,154.94K,NEW,0.06%
457669307,INSM,INSMED INC,1000,995,144.01K,143.29K,+19900%,0.05%
