CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
037833100,AAPL,APPLE INC,174394,40705,44.41M,10.36M,+30.4%,5.9%
532457108,LLY,ELI LILLY & CO,27778,7846,21.19M,5.99M,+39.4%,2.8%
30303M102,META,META PLATFORMS INC,26000,6000,19.09M,4.41M,+30%,2.5%
235851102,DHR,DANAHER CORPORATION,41750,12912,8.28M,2.56M,+44.8%,1.1%
949746101,WFC,WELLS FARGO CO NEW,141847,29846,11.89M,2.5M,+26.6%,1.6%
461202103,INTU,INTUIT,11460,2955,7.83M,2.02M,+34.7%,1%
02079K305,GOOGL,ALPHABET INC,83289,7671,20.25M,1.86M,+10.1%,2.7%
40415F101,HDB,HDFC BANK LTD,107850,53925,3.68M,1.84M,+100%,0.49%
573874104,MRVL,MARVELL TECHNOLOGY INC,111781,21116,9.4M,1.78M,+23.3%,1.2%
075887109,BDX,BECTON DICKINSON & CO,37657,8000,7.05M,1.5M,+27%,0.94%
64110L106,NFLX,NETFLIX INC,7907,1155,9.48M,1.38M,+17.1%,1.3%
773903109,ROK,ROCKWELL AUTOMATION INC,14882,3936,5.2M,1.38M,+36%,0.69%
91324P102,UNH,UNITEDHEALTH GROUP INC,14077,3933,4.86M,1.36M,+38.8%,0.65%
060505104,BAC,BANK AMERICA CORP,303790,19898,15.67M,1.03M,+7%,2.1%
038222105,AMAT,APPLIED MATLS INC,24000,4000,4.91M,818.96K,+20%,0.65%
896239100,TRMB,TRIMBLE INC,81983,9924,6.69M,810.29K,+13.8%,0.89%
595112103,MU,MICRON TECHNOLOGY INC,75000,4183,12.55M,699.9K,+5.9%,1.7%
36828A101,GEV,GE VERNOVA INC,10000,1000,6.15M,614.9K,+11.1%,0.82%
871607107,SNPS,SYNOPSYS INC,13162,1166,6.49M,575.29K,+9.7%,0.86%
254687106,DIS,DISNEY WALT CO,47555,5000,5.45M,572.5K,+11.7%,0.72%
V5633W109,MMYT,MAKEMYTRIP LIMITED MAURITIUS,25000,6000,2.34M,561.6K,+31.6%,0.31%
023135106,AMZN,AMAZON COM INC,143489,1239,31.51M,272.05K,+0.9%,4.2%
G25839104,CCEP,COCA-COLA EUROPACIFIC PARTNE,3965,91,358.48K,8.23K,+2.3%,0.05%
020002101,ALL,ALLSTATE CORP,31233,0,6.7M,0,NO CHANGE,0.89%
002824100,ABT,ABBOTT LABS,34565,0,4.63M,0,NO CHANGE,0.61%
778296103,ROST,ROSS STORES INC,30085,0,4.58M,0,NO CHANGE,0.61%
278865100,ECL,ECOLAB INC,16306,0,4.47M,0,NO CHANGE,0.59%
501044101,KR,KROGER CO,60000,0,4.04M,0,NO CHANGE,0.54%
30231G102,XOM,EXXON MOBIL CORP,32000,0,3.61M,0,NO CHANGE,0.48%
742718109,PG,PROCTER AND GAMBLE CO,23000,0,3.53M,0,NO CHANGE,0.47%
747525103,QCOM,QUALCOMM INC,20468,0,3.41M,0,NO CHANGE,0.45%
L44385109,GLOB,GLOBANT S A,59000,0,3.39M,0,NO CHANGE,0.45%
