CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
884903808,TRI,Thomson Reuters Corp,6104,6104,948.13K,948.13K,NEW,0.35%
871607107,SNPS,Synopsys Inc,2696,373,1.33M,184.03K,+16.1%,0.49%
458140100,INTC,Intel Corp,45622,1085,1.53M,36.4K,+2.4%,0.57%
58733R102,MELI,MercadoLibre Inc,790,12,1.85M,28.04K,+1.5%,0.68%
09857L108,BKNG,Booking Holdings Inc,528,3,2.85M,16.2K,+0.6%,1.1%
874054109,TTWO,Take-Two Interactive Software Inc,2655,39,685.95K,10.08K,+1.5%,0.25%
594972408,MSTR,Strategy Inc,3132,30,1.01M,9.67K,+1%,0.37%
05464C101,AXON,Axon Enterprise Inc,1172,8,841.07K,5.74K,+0.7%,0.31%
682189105,ON,ON Semiconductor Corp,4093,32,201.83K,1.58K,+0.8%,0.07%
00724F101,ADBE,Adobe Inc,4386,4,1.55M,1.41K,+0.1%,0.57%
855244109,SBUX,Starbucks Corp,11568,12,978.65K,1.02K,+0.1%,0.36%
09062X103,BIIB,Biogen Inc,1525,7,213.62K,980.56,+0.5%,0.08%
G39387108,GFS,GLOBALFOUNDRIES Inc,5265,24,188.7K,860.16,+0.5%,0.07%
22788C105,CRWD,Crowdstrike Holdings Inc,3504,1,1.72M,490.38,+0%,0.64%
252131107,DXCM,Dexcom Inc,4041,0,271.92K,0,NO CHANGE,0.1%
595017104,MCHP,Microchip Technology Inc,5317,-2,341.46K,-128.44,-0%,0.13%
722304102,PDD,PDD Holdings Inc,6697,-10,885.14K,-1.32K,-0.1%,0.33%
75886F107,REGN,Regeneron Pharmaceuticals Inc,1083,-6,608.94K,-3.37K,-0.6%,0.23%
042068205,ARM,ARM Holdings PLC,1807,-38,255.67K,-5.38K,-2.1%,0.09%
03831W108,APP,AppLovin Corp,4285,-11,3.08M,-7.9K,-0.3%,1.1%
12514G108,CDW,CDW Corp/DE,1998,-59,318.24K,-9.4K,-2.9%,0.12%
88339J105,TTD,Trade Desk Inc/The,6429,-198,315.08K,-9.7K,-3%,0.12%
049468101,TEAM,Atlassian Corp,2302,-61,367.63K,-9.74K,-2.6%,0.14%
550021109,LULU,Lululemon Athletica Inc,1740,-57,309.6K,-10.14K,-3.2%,0.11%
16119P108,CHTR,Charter Communications Inc,2155,-39,592.85K,-10.73K,-1.8%,0.22%
679580100,ODFL,Old Dominion Freight Line Inc,3189,-88,448.95K,-12.39K,-2.7%,0.17%
49271V100,KDP,Keurig Dr Pepper Inc,20219,-527,515.79K,-13.44K,-2.5%,0.19%
500754106,KHC,Kraft Heinz Co/The,17906,-569,466.27K,-14.82K,-3.1%,0.17%
92345Y106,VRSK,Verisk Analytics Inc,2060,-59,518.11K,-14.84K,-2.8%,0.19%
192446102,CTSH,Cognizant Technology Solutions Corp,7309,-225,490.21K,-15.09K,-3%,0.18%
36266G107,GEHC,GE HealthCare Technologies Inc,6668,-213,500.77K,-16K,-3.1%,0.19%
22160N109,CSGP,CoStar Group Inc,6078,-191,512.8K,-16.11K,-3%,0.19%
046353108,AZN,AstraZeneca PLC,8743,-218,670.76K,-16.72K,-2.4%,0.25%
98389B100,XEL,Xcel Energy Inc,8507,-210,686.09K,-16.94K,-2.4%,0.25%
217204106,CPRT,Copart Inc,14462,-397,650.36K,-17.85K,-2.7%,0.24%
30161N101,EXC,Exelon Corp,15159,-401,682.31K,-18.05K,-2.6%,0.25%
23804L103,DDOG,Datadog Inc,4406,-128,627.41K,-18.23K,-2.8%,0.23%
G25839104,CCEP,Coca-Cola Europacific Partners PLC,6702,-206,605.93K,-18.62K,-3%,0.22%
25278X109,FANG,Diamondback Energy Inc,4353,-137,622.91K,-19.6K,-3.1%,0.23%
98138H101,WDAY,Workday Inc,3194,-82,768.89K,-19.74K,-2.5%,0.29%
704326107,PAYX,Paychex Inc,5424,-160,687.55K,-20.28K,-2.9%,0.25%
934423104,WBD,Warner Bros Discovery Inc,35787,-1082,698.92K,-21.13K,-2.9%,0.26%
05722G100,BKR,Baker Hughes Co,14543,-444,708.53K,-21.63K,-3%,0.26%
693718108,PCAR,PACCAR Inc,7927,-223,779.38K,-21.93K,-2.7%,0.29%
98980G102,ZS,Zscaler Inc,2197,-76,658.35K,-22.77K,-3.3%,0.24%
776696106,ROP,Roper Technologies Inc,1604,-46,799.9K,-22.94K,-2.8%,0.3%
311900104,FAST,Fastenal Co,17244,-477,845.65K,-23.39K,-2.7%,0.31%
778296103,ROST,Ross Stores Inc,4948,-156,754.03K,-23.77K,-3.1%,0.28%
285512109,EA,Electronic Arts Inc,3826,-118,771.7K,-23.8K,-3%,0.29%
009066101,ABNB,Airbnb Inc,6510,-198,790.44K,-24.04K,-3%,0.29%
025537101,AEP,American Electric Power Co Inc,7994,-214,899.33K,-24.07K,-2.6%,0.33%
45168D104,IDXX,IDEXX Laboratories Inc,1202,-38,767.95K,-24.28K,-3.1%,0.28%
N6596X109,NXPI,NXP Semiconductors NV,3820,-109,869.93K,-24.82K,-2.8%,0.32%
052769106,ADSK,Autodesk Inc,3221,-82,1.02M,-26.05K,-2.5%,0.38%
34959E109,FTNT,Fortinet Inc,11624,-315,977.35K,-26.49K,-2.6%,0.36%
61174X109,MNST,Monster Beverage Corp,14602,-397,982.86K,-26.72K,-2.6%,0.36%
126408103,CSX,CSX Corp,29290,-796,1.04M,-28.27K,-2.6%,0.39%
70450Y103,PYPL,PayPal Holdings Inc,15376,-423,1.03M,-28.37K,-2.7%,0.38%
573874104,MRVL,MARVELL TECHNOLOGY INC,12967,-349,1.09M,-29.34K,-2.6%,0.4%
571903202,MAR,Marriott International Inc/MD,4221,-120,1.1M,-31.25K,-2.8%,0.41%
82509L107,SHOP,Shopify Inc,17175,-213,2.55M,-31.65K,-1.2%,0.95%
172908105,CTAS,Cintas Corp,6053,-164,1.24M,-33.66K,-2.6%,0.46%
609207105,MDLZ,Mondelez International Inc,20114,-542,1.26M,-33.86K,-2.6%,0.47%
127387108,CDNS,Cadence Design Systems Inc,4056,-103,1.42M,-36.18K,-2.5%,0.53%
25809K105,DASH,DoorDash Inc,5690,-145,1.55M,-39.44K,-2.5%,0.57%
67103H107,ORLY,O'Reilly Automotive Inc,13185,-366,1.42M,-39.46K,-2.7%,0.53%
92532F100,VRTX,Vertex Pharmaceuticals Inc,3986,-109,1.56M,-42.69K,-2.7%,0.58%
21037T109,CEG,Constellation Energy Corp,4693,-130,1.54M,-42.78K,-2.7%,0.57%
N07059210,ASML,ASML Holding NV,1381,-46,1.34M,-44.53K,-3.2%,0.5%
053015103,ADP,Automatic Data Processing Inc,6123,-164,1.8M,-48.13K,-2.6%,0.67%
032654105,ADI,Analog Devices Inc,7439,-204,1.83M,-50.12K,-2.7%,0.68%
20030N101,CMCSA,Comcast Corp,58466,-1627,1.82M,-50.58K,-2.7%,0.67%
697435105,PANW,Palo Alto Networks Inc,9750,-256,1.99M,-52.13K,-2.6%,0.74%
438516106,HON,Honeywell International Inc,9813,-256,2.07M,-53.89K,-2.5%,0.77%
375558103,GILD,Gilead Sciences Inc,18878,-487,2.1M,-54.06K,-2.5%,0.78%
031162100,AMGN,Amgen Inc,8029,-214,2.27M,-60.39K,-2.6%,0.84%
482480100,KLAC,KLA CORP,2017,-59,2.18M,-63.64K,-2.8%,0.81%
46120E602,ISRG,Intuitive Surgical Inc,5283,-143,2.36M,-63.95K,-2.6%,0.88%
512807306,LRCX,Lam Research Corp,19629,-523,2.63M,-70.03K,-2.6%,0.97%
038222105,AMAT,Applied Materials Inc,12551,-345,2.57M,-70.64K,-2.7%,0.95%
882508104,TXN,Texas Instruments Inc,13974,-393,2.57M,-72.21K,-2.7%,0.95%
007903107,AMD,Advanced Micro Devices Inc,24357,-450,3.94M,-72.81K,-1.8%,1.5%
595112103,MU,Micron Technology Inc,16608,-441,2.78M,-73.79K,-2.6%,1%
747525103,QCOM,QUALCOMM Inc,16754,-452,2.79M,-75.19K,-2.6%,1%
461202103,INTU,Intuit Inc,4235,-111,2.89M,-75.8K,-2.6%,1.1%
