CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
346375108,FORM,FORMFACTOR INC,968161,968161,35.26M,35.26M,NEW,5.7%
M6191J100,FROG,JFROG LTD,863924,647140,40.89M,30.63M,+298.5%,6.6%
184496107,CLH,CLEAN HARBORS INC,115870,115870,26.91M,26.91M,NEW,4.3%
M98068105,WIX,WIX.COM LTD,330083,97835,58.63M,17.38M,+42.1%,9.4%
86333M108,LRN,STRIDE INC,82928,82928,12.35M,12.35M,NEW,2%
63947X101,NCNO,NCINO INC,1578896,339863,42.8M,9.21M,+27.4%,6.9%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,8701,8701,2.43M,2.43M,NEW,0.39%
05637B105,BLZE,BACKBLAZE INC,229384,229384,2.13M,2.13M,NEW,0.34%
705573103,PEGA,PEGASYSTEMS INC,1384219,11654,79.59M,670.11K,+0.8%,12.8%
185123106,CWAN,CLEARWATER ANALYTICS HLDGS I,677693,10412,12.21M,187.62K,+1.6%,2%
12510Q100,CCC,CCC INTELLIGENT SOLUTIONS HL,1075546,-2256,9.8M,-20.55K,-0.2%,1.6%
256163106,DOCU,DOCUSIGN INC,283515,-42400,20.44M,-3.06M,-13%,3.3%
M7S64L123,PGY,PAGAYA TECHNOLOGIES LTD,0,-204171,0,-4.35M,CLOSE,0%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,126057,-24651,28.98M,-5.67M,-16.4%,4.7%
63001N106,NATL,NCR ATLEOS CORPORATION,0,-307366,0,-8.77M,CLOSE,0%
91332U101,U,UNITY SOFTWARE INC,0,-405534,0,-9.81M,CLOSE,0%
60471A101,MIR,MIRION TECHNOLOGIES INC,0,-555377,0,-11.96M,CLOSE,0%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,57110,-80898,10.42M,-14.76M,-58.6%,1.7%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,86567,-103753,12.61M,-15.11M,-54.5%,2%
N14506104,ESTC,ELASTIC N V,0,-184355,0,-15.55M,CLOSE,0%
45867G101,IDCC,INTERDIGITAL INC,178720,-57851,61.7M,-19.97M,-24.5%,9.9%
565394103,CART,MAPLEBEAR INC,0,-453988,0,-20.54M,CLOSE,0%
573874104,MRVL,MARVELL TECHNOLOGY INC,423644,-286530,35.62M,-24.09M,-40.3%,5.7%
00827B106,AFRM,AFFIRM HLDGS INC,0,-356563,0,-24.65M,CLOSE,0%
Y2573F102,FLEX,FLEX LTD,849416,-452500,49.24M,-26.23M,-34.8%,7.9%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,962063,-505441,69.56M,-36.54M,-34.4%,11.2%
19247G107,COHR,COHERENT CORP,89256,-356184,9.61M,-38.37M,-80%,1.5%
Total,,,,,621.17M,-142.29M,-21.9%,100%
