CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
907818108,UNP,UNION PAC CORP,1631600,1631600,385.66M,385.66M,NEW,6%
H2927K103,AMRZ,AMRIZE LTD,6122319,6122319,297.12M,297.12M,NEW,4.6%
77311W101,RKT,ROCKET COS INC,13795000,13795000,267.35M,267.35M,NEW,4.1%
670346105,NUE,NUCOR CORP,1537300,1537300,208.2M,208.2M,NEW,3.2%
26884L109,EQT,EQT CORP,5939588,3445900,323.29M,187.56M,+138.2%,5%
37637K108,GTLB,GITLAB INC,3155000,3155000,142.23M,142.23M,NEW,2.2%
91680M107,UPST,UPSTART HLDGS INC,2731974,2731974,138.78M,138.78M,NEW,2.1%
69932A204,PSKY,PARAMOUNT SKYDANCE CORP,5925693,5925693,112.11M,112.11M,NEW,1.7%
G3265R107,APTV,APTIV PLC,894000,894000,77.08M,77.08M,NEW,1.2%
963320106,WHR,WHIRLPOOL CORP,830000,830000,65.24M,65.24M,NEW,1%
G39387108,GFS,GLOBALFOUNDRIES INC,1769100,1769100,63.4M,63.4M,NEW,0.98%
260557103,DOW,DOW INC,2465500,2465500,56.53M,56.53M,NEW,0.87%
N53745100,LYB,LYONDELLBASELL INDUSTRIES N,1126800,1126800,55.26M,55.26M,NEW,0.85%
165167735,EXE,EXPAND ENERGY CORPORATION,1615714,497900,171.65M,52.9M,+44.5%,2.7%
83304A106,SNAP,SNAP INC,6706200,6706200,51.7M,51.7M,NEW,0.8%
185899101,CLF,CLEVELAND-CLIFFS INC NEW,19753245,4036800,240.99M,49.25M,+25.7%,3.7%
86771W105,RUN,SUNRUN INC,2733850,2733850,47.27M,47.27M,NEW,0.73%
90138F102,TWLO,TWILIO INC,454900,454900,45.53M,45.53M,NEW,0.7%
G4253H101,JHX,JAMES HARDIE INDS PLC,2281066,2281066,43.82M,43.82M,NEW,0.68%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,17509142,1612900,430.02M,39.61M,+10.1%,6.7%
02376R102,AAL,AMERICAN AIRLS GROUP INC,9981794,2927200,112.2M,32.9M,+41.5%,1.7%
91823B109,UWMC,UWM HOLDINGS CORPORATION,4654000,4654000,28.34M,28.34M,NEW,0.44%
68989M202,OUST,OUSTER INC,829000,829000,22.42M,22.42M,NEW,0.35%
526057104,LEN,LENNAR CORP,124102,124102,15.64M,15.64M,NEW,0.24%
