CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
219948106,CPAY,CORPAY INC,425000,425000,122.43M,122.43M,NEW,3.2%
03831W108,APP,APPLOVIN CORP,2057024,0,1.48B,0,NO CHANGE,38.2%
146869102,CVNA,CARVANA CO,3609288,0,1.36B,0,NO CHANGE,35.2%
194693107,CIGI,COLLIERS INTL GROUP INC,1301133,0,203.44M,0,NO CHANGE,5.3%
G2143T103,CMPR,CIMPRESS PLC,2058904,0,129.79M,0,NO CHANGE,3.4%
82846H405,QXO,QXO INC,813009,0,15.5M,0,NO CHANGE,0.4%
26142V105,DKNG,DRAFTKINGS INC NEW,300000,0,11.22M,0,NO CHANGE,0.29%
94419L101,W,WAYFAIR INC,2923845,-76155,261.19M,-6.8M,-2.5%,6.7%
21874C102,CNM,CORE & MAIN INC,2150000,-300000,115.73M,-16.15M,-12.2%,3%
36262G101,GXO,GXO LOGISTICS INCORPORATED,3250000,-350000,171.89M,-18.51M,-9.7%,4.4%
Total,,,,,3.87B,80.96M,+3%,100%
