CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
037833100,AAPL,APPLE INC,26970,6180,6.87M,1.57M,+29.7%,4.7%
Q4982L109,IREN,IREN LIMITED,24700,24700,1.16M,1.16M,NEW,0.78%
534187109,LNC,LINCOLN NATL CORP IND,15500,15500,625.12K,625.12K,NEW,0.42%
88160R101,TSLA,TESLA INC,1332,1332,592.37K,592.37K,NEW,0.4%
025537101,AEP,AMERICAN ELEC PWR CO INC,4650,4650,523.12K,523.12K,NEW,0.35%
64110L106,NFLX,NETFLIX INC,406,406,486.76K,486.76K,NEW,0.33%
67066G104,NVDA,NVIDIA CORPORATION,4872,2432,909.02K,453.76K,+99.7%,0.62%
30303M102,META,META PLATFORMS INC,555,555,407.61K,407.61K,NEW,0.28%
594918104,MSFT,MICROSOFT CORP,11335,758,5.87M,392.62K,+7.2%,4%
02079K107,GOOG,ALPHABET INC,14591,1366,3.55M,332.69K,+10.3%,2.4%
023135106,AMZN,AMAZON COM INC,8349,1320,1.83M,289.83K,+18.8%,1.2%
881624209,TEVA,TEVA PHARMACEUTICAL INDS LTD,37300,13700,753.46K,276.74K,+58.1%,0.51%
G6700G107,NVT,NVENT ELECTRIC PLC,2423,2423,239K,239K,NEW,0.16%
358010106,FEIM,FREQUENCY ELECTRS INC,7000,7000,237.37K,237.37K,NEW,0.16%
399909100,GGAL,GRUPO FINANCIERO GALICIA S.A,17043,8476,469.7K,233.6K,+98.9%,0.32%
447011107,HUN,HUNTSMAN CORP,25500,25500,228.99K,228.99K,NEW,0.16%
642045108,AESI,ATLAS ENERGY SOLUTIONS INC,20000,20000,227.4K,227.4K,NEW,0.15%
03769M106,APO,APOLLO GLOBAL MGMT INC,1656,1656,220.69K,220.69K,NEW,0.15%
452525306,ICCC,IMMUCELL CORP,31700,31700,198.12K,198.12K,NEW,0.13%
38141G104,GS,GOLDMAN SACHS GROUP INC,2719,219,2.17M,174.4K,+8.8%,1.5%
02079K305,GOOGL,ALPHABET INC,10820,687,2.63M,167.01K,+6.8%,1.8%
88080T104,WULF,TERAWULF INC,14500,14500,165.59K,165.59K,NEW,0.11%
369604301,GE,GE AEROSPACE,1264,341,380.28K,102.59K,+36.9%,0.26%
88822Q103,TIPT,TIPTREE INC,19000,5000,364.23K,95.85K,+35.7%,0.25%
128030202,CALM,CAL MAINE FOODS INC,24370,1000,2.29M,94.1K,+4.3%,1.6%
644535106,NGD,NEW GOLD INC CDA,60500,13000,434.39K,93.34K,+27.4%,0.29%
43289P106,HIMX,HIMAX TECHNOLOGIES INC,41100,6000,362.91K,52.98K,+17.1%,0.25%
478160104,JNJ,JOHNSON & JOHNSON,2735,258,507.2K,47.85K,+10.4%,0.34%
747525103,QCOM,QUALCOMM INC,10964,259,1.82M,43.09K,+2.4%,1.2%
N53745100,LYB,LYONDELLBASELL INDUSTRIES N,10400,850,510.02K,41.68K,+8.9%,0.35%
060505104,BAC,BANK AMERICA CORP,6073,738,313.3K,38.07K,+13.8%,0.21%
N4732M103,JBS,JBS N.V.,172830,2500,2.58M,37.33K,+1.5%,1.7%
00287Y109,ABBV,ABBVIE INC,2412,129,558.37K,29.86K,+5.7%,0.38%
01609W102,BABA,ALIBABA GROUP HLDG LTD,5452,162,974.44K,28.95K,+3.1%,0.66%
L02235106,AMBP,ARDAGH METAL PACKAGING S A,20000,7000,79.8K,27.93K,+53.8%,0.05%
66987V109,NVS,NOVARTIS AG,5742,131,736.35K,16.8K,+2.3%,0.5%
30231G102,XOM,EXXON MOBIL CORP,75721,143,8.54M,16.12K,+0.2%,5.8%
002824100,ABT,ABBOTT LABS,2070,119,277.19K,15.94K,+6.1%,0.19%
126650100,CVS,CVS HEALTH CORP,10175,175,767.09K,13.19K,+1.8%,0.52%
718172109,PM,PHILIP MORRIS INTL INC,2639,81,428.09K,13.14K,+3.2%,0.29%
G51502105,JCI,JOHNSON CTLS INTL PLC,2451,101,269.49K,11.1K,+4.3%,0.18%
742718109,PG,PROCTER AND GAMBLE CO,1591,26,244.39K,3.99K,+1.7%,0.17%
G7S00T104,PNR,PENTAIR PLC,4733,23,524.23K,2.55K,+0.5%,0.35%
00123Q104,AGNC,AGNC INVT CORP,88992,92,871.23K,900.68,+0.1%,0.59%
457187102,INGR,INGREDION INC,2732,2,333.61K,244.22,+0.1%,0.23%
