CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,154693,154693,75.86M,75.86M,NEW,5%
M7S64H106,MNDY,MONDAY COM LTD,248161,-653,48.07M,-126.48K,-0.3%,3.2%
30303M102,META,META PLATFORMS INC,165476,-373,121.52M,-273.92K,-0.2%,8%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,377705,-987,105.49M,-275.66K,-0.3%,7%
23804L103,DDOG,DATADOG INC,808307,-2092,115.1M,-297.9K,-0.3%,7.6%
18915M107,NET,CLOUDFLARE INC,1162938,-3004,249.55M,-644.63K,-0.3%,16.5%
82509L107,SHOP,SHOPIFY INC,1825243,-4674,271.25M,-694.6K,-0.3%,17.9%
05464C101,AXON,AXON ENTERPRISE INC,431577,-1087,309.72M,-780.07K,-0.3%,20.5%
023135106,AMZN,AMAZON COM INC,766804,-60032,168.37M,-13.18M,-7.3%,11.1%
88160R101,TSLA,TESLA INC,104855,-54625,46.63M,-24.29M,-34.3%,3.1%
594918104,MSFT,MICROSOFT ORD,0,-121298,0,-60.33M,CLOSE,0%
Total,,,,,1.51B,-25.04M,-1.7%,100%
