CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
594918104,MSFT,MICROSOFT CORP,22613,3641,11.71M,1.89M,+19.2%,7.9%
88339J105,TTD,THE TRADE DESK INC,75786,21990,3.71M,1.08M,+40.9%,2.5%
74933W601,TMFC,RBB FD INC,50109,6002,3.53M,423.32K,+13.6%,2.4%
023135106,AMZN,AMAZON COM INC,42765,1915,9.39M,420.48K,+4.7%,6.3%
91332U101,U,UNITY SOFTWARE INC,8384,8384,335.69K,335.69K,NEW,0.23%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,4380,1467,799K,267.61K,+50.4%,0.54%
595112103,MU,MICRON TECHNOLOGY INC,1313,1313,219.69K,219.69K,NEW,0.15%
90384S303,ULTA,ULTA BEAUTY INC,378,378,206.67K,206.67K,NEW,0.14%
14021L109,CGDG,CAPITAL GROUP DIVIDEND GROWE,5885,5885,203.91K,203.91K,NEW,0.14%
441593100,HLI,HOULIHAN LOKEY INC,975,975,200.19K,200.19K,NEW,0.13%
02079K107,GOOG,ALPHABET INC,21575,472,5.25M,114.96K,+2.2%,3.5%
88160R101,TSLA,TESLA INC,13388,245,5.95M,108.96K,+1.9%,4%
58733R102,MELI,MERCADOLIBRE INC,1647,46,3.85M,107.5K,+2.9%,2.6%
33740F755,BUFR,FIRST TR EXCHNG TRADED FD VI,33648,3017,1.12M,100.83K,+9.8%,0.76%
92204A702,VGT,VANGUARD WORLD FD,3262,113,2.44M,84.37K,+3.6%,1.6%
30303M102,META,META PLATFORMS INC,7155,114,5.25M,83.72K,+1.6%,3.5%
N07059210,ASML,ASML HOLDING N V,611,79,591.5K,76.48K,+14.8%,0.4%
38149W622,GPIX,GOLDMAN SACHS ETF TR,15660,1217,817.9K,63.56K,+8.4%,0.55%
38149W630,GPIQ,GOLDMAN SACHS ETF TR,16548,1201,868.11K,63K,+7.8%,0.59%
00724F101,ADBE,ADOBE INC,1645,168,580.27K,59.26K,+11.4%,0.39%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,4225,107,2.07M,52.47K,+2.6%,1.4%
70432V102,PAYC,PAYCOM SOFTWARE INC,3874,245,806.33K,50.99K,+6.8%,0.54%
922908637,VV,VANGUARD INDEX FDS,4785,159,1.47M,48.95K,+3.4%,0.99%
381430529,GBIL,GOLDMAN SACHS ETF TR,3599,479,360.73K,48.01K,+15.4%,0.24%
381430230,GSST,GOLDMAN SACHS ETF TR,8243,940,417.92K,47.66K,+12.9%,0.28%
922908629,VO,VANGUARD INDEX FDS,5519,144,1.62M,42.3K,+2.7%,1.1%
009066101,ABNB,AIRBNB INC,7949,341,965.17K,41.4K,+4.5%,0.65%
47215P106,JD,JD.COM INC,8385,1122,293.31K,39.25K,+15.4%,0.2%
922908769,VTI,VANGUARD INDEX FDS,818,108,268.44K,35.44K,+15.2%,0.18%
02079K305,GOOGL,ALPHABET INC,5170,138,1.26M,33.55K,+2.7%,0.85%
70450Y103,PYPL,PAYPAL HLDGS INC,9640,460,646.46K,30.85K,+5%,0.44%
74340W103,PLD,PROLOGIS INC.,3197,242,366.12K,27.71K,+8.2%,0.25%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,1106,78,308.89K,21.78K,+7.6%,0.21%
922908744,VTV,VANGUARD INDEX FDS,2381,109,444.03K,20.33K,+4.8%,0.3%
464288604,ISCG,ISHARES TR,7556,364,410.36K,19.77K,+5.1%,0.28%
922042858,VWO,VANGUARD INTL EQUITY INDEX F,29558,349,1.6M,18.91K,+1.2%,1.1%
49714P108,KNSL,KINSALE CAP GROUP INC,2677,42,1.14M,17.86K,+1.6%,0.77%
963320106,WHR,WHIRLPOOL CORP,2563,199,201.45K,15.64K,+8.4%,0.14%
007903107,AMD,ADVANCED MICRO DEVICES INC,3395,86,549.28K,13.91K,+2.6%,0.37%
05464C101,AXON,AXON ENTERPRISE INC,1388,19,996.08K,13.64K,+1.4%,0.67%
92826C839,V,VISA INC,813,34,277.68K,11.61K,+4.4%,0.19%
79466L302,CRM,SALESFORCE INC,2035,48,482.26K,11.38K,+2.4%,0.33%
46625H100,JPM,JPMORGAN CHASE & CO.,977,31,308.18K,9.78K,+3.3%,0.21%
166764100,CVX,CHEVRON CORP NEW,2787,54,432.79K,8.39K,+2%,0.29%
052769106,ADSK,AUTODESK INC,921,25,292.57K,7.94K,+2.8%,0.2%
23804L103,DDOG,DATADOG INC,6745,45,960.49K,6.41K,+0.7%,0.65%
871607107,SNPS,SYNOPSYS INC,564,12,278.27K,5.92K,+2.2%,0.19%
26884U109,EPR,EPR PPTYS,6467,81,375.15K,4.7K,+1.3%,0.25%
256163106,DOCU,DOCUSIGN INC,4701,53,338.89K,3.82K,+1.1%,0.23%
922908751,VB,VANGUARD INDEX FDS,2137,13,543.45K,3.31K,+0.6%,0.37%
52567D107,LMND,LEMONADE INC,10524,18,563.35K,963.54,+0.2%,0.38%
81762P102,NOW,SERVICENOW INC,1328,1,1.22M,920.28,+0.1%,0.82%
315948109,FBTC,FIDELITY WISE ORIGIN BITCOIN,12496,0,1.25M,0,NO CHANGE,0.84%
90353T100,UBER,UBER TECHNOLOGIES INC,7468,0,731.64K,0,NO CHANGE,0.49%
91688F104,UPWK,UPWORK INC,31033,0,576.28K,0,NO CHANGE,0.39%
