CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
06849F108,B,Barrick Gold Corp,105500,37500,3.47M,1.23M,+55.1%,8.6%
962879102,WPM,Wheaton Precious Metals Corp,29810,10110,3.34M,1.13M,+51.3%,8.2%
008474108,AEM,Agnico Eagle Mines Ltd,20926,6330,3.53M,1.07M,+43.4%,8.7%
29446Y502,EQX,Equinox Gold Corp,113400,79100,1.27M,886.56K,+230.6%,3.1%
651639106,NEM,Newmont Mining Corp,40480,10420,3.41M,878.51K,+34.7%,8.4%
011532108,AGI,Alamos Gold Inc-Class A,43600,20300,1.52M,707.97K,+87.1%,3.8%
349942102,FVI,Fortuna Silver Mines Inc,127600,77600,1.14M,695.3K,+155.2%,2.8%
32076V103,AG,First Majestic Silver Corp,93600,51200,1.15M,629.25K,+120.8%,2.8%
697900108,PAAS,Pan American Silver Corp,41750,15000,1.62M,580.95K,+56.1%,4%
11777Q209,BTG,B2Gold Corp,258500,116000,1.28M,573.76K,+81.4%,3.2%
26152H301,DRD,Drdgold Ltd - Sponsored ADR,28700,20700,792.12K,571.32K,+258.8%,2%
82835P103,SVM,Silvercorp Metals Inc,132000,85300,833.21K,538.43K,+182.7%,2.1%
G0378L100,AU,Anglogold Ashanti,25600,7100,1.8M,498.48K,+38.4%,4.4%
413216300,HMY,Harmony Gold Mng - Spon ADR,74000,23700,1.34M,430.15K,+47.1%,3.3%
351858105,FNV,Franco - Nevada Corp,7600,1840,1.69M,409.77K,+31.9%,4.2%
784730103,SSRM,Ssr Mining Inc,38500,16100,940.17K,393.16K,+71.9%,2.3%
496902404,KGC,Kinross Gold Corp,72700,10500,1.81M,260.73K,+16.9%,4.5%
152006102,CGAU,Centerra Gold Inc,47100,21200,504.88K,227.25K,+81.9%,1.2%
38059T106,GFI,Gold Fields Ltd.,43300,3500,1.82M,146.86K,+8.8%,4.5%
284902509,EGO,Eldorado Gold Corp,20000,4200,577.8K,121.34K,+26.6%,1.4%
49456B101,KMI,KINDER MORGAN INC,570,270,16.14K,7.64K,+90%,0.04%
023135106,AMZN,Amazon.com Inc.,21815,0,4.79M,0,NO CHANGE,11.8%
780287108,RGLD,Royal Gold Inc,4520,0,906.62K,0,NO CHANGE,2.2%
422704106,HL,Hecla Mining Co,66000,0,798.6K,0,NO CHANGE,2%
56585A102,MPC,Marathon Petroleum Corporation,100,0,19.27K,0,NO CHANGE,0.05%
718546104,PSX,Phillips 66,130,0,17.68K,0,NO CHANGE,0.04%
91913Y100,VLO,VALERO ENERGY CORP,100,0,17.03K,0,NO CHANGE,0.04%
231021106,CMI,Cummins INC,40,0,16.89K,0,NO CHANGE,0.04%
969457100,WMB,Williams COS INC,250,0,15.84K,0,NO CHANGE,0.04%
16411R208,LNG,"Cheniere Energy, Inc.",60,0,14.1K,0,NO CHANGE,0.03%
293792107,EPD,Enterprise Products Partners,380,0,11.88K,0,NO CHANGE,0.03%
907818108,UNP,Union Pacific Corporation,50,0,11.82K,0,NO CHANGE,0.03%
125269100,CF,CF Industries Holdings INC,130,0,11.66K,0,NO CHANGE,0.03%
726503105,PAA,"Plains All American Pipeline, L.p.",660,0,11.26K,0,NO CHANGE,0.03%
277432100,EMN,Eastman Chemical Co.,130,0,8.2K,0,NO CHANGE,0.02%
682680103,OKE,Oneok Inc.,110,0,8.03K,0,NO CHANGE,0.02%
N53745100,LYB,Lyondellbasell Industries NV,150,0,7.36K,0,NO CHANGE,0.02%
447011107,HUN,Huntsman Corp.,0,-390,0,-4.06K,CLOSE,0%
Total,,,,,40.51M,11.98M,+56.9%,100%
