CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
478160104,JNJ,JONSHON & JOHNSON,371000,371000,68.79M,68.79M,NEW,12.4%
H1467J104,CB,CHUBB LIMITED,223300,164700,63.03M,46.49M,+281.1%,11.3%
344419106,FMX,FOMENTO ECONOMICO MEXICANO S,197700,197700,19.5M,19.5M,NEW,3.5%
770323103,RHI,ROBERT HALF INC.,688800,518400,23.41M,17.62M,+304.2%,4.2%
G02602103,DOX,AMDOCS LTD,189200,110000,15.52M,9.03M,+138.9%,2.8%
02319V103,ABEV,AMBEV SA,16473700,2378800,36.74M,5.3M,+16.9%,6.6%
15135U109,CVE,CENOVUS ENERGY INC,2956200,195100,50.23M,3.31M,+7.1%,9%
G5960L103,MDT,MEDTRONIC PLC,497500,28500,47.38M,2.71M,+6.1%,8.5%
G3223R108,EG,EVEREST GROUP LTD,183500,3200,64.27M,1.12M,+1.8%,11.6%
651639106,NEM,NEWMONT CORP,954800,0,80.5M,0,NO CHANGE,14.5%
717081103,PFE,PFIZER INC,1334200,0,34M,0,NO CHANGE,6.1%
26875P101,EOG,EOG RES INC,134000,0,15.02M,0,NO CHANGE,2.7%
125269100,CF,CF INDS HLDGS INC,417500,-210500,37.45M,-18.88M,-33.5%,6.7%
G51502105,JCI,JOHNSON & JOHNSON,0,-371000,0,-56.67M,CLOSE,0%
Total,,,,,555.83M,98.32M,+23.2%,100%
