CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
64110L106,NFLX,NETFLIX INC,201900,201900,242.06M,242.06M,NEW,0.75%
60937P106,MDB,MONGODB INC,341000,341000,105.84M,105.84M,NEW,0.33%
023135106,AMZN,AMAZON COM INC,11043441,357900,2.42B,78.58M,+3.3%,7.5%
219948106,CPAY,CORPAY INC,1771146,269500,510.2M,77.63M,+17.9%,1.6%
22266T109,CPNG,COUPANG INC,15837579,2252000,509.97M,72.51M,+16.6%,1.6%
11135F101,AVGO,BROADCOM INC,2889614,186400,953.31M,61.5M,+6.9%,2.9%
G3643J108,FLUT,FLUTTER ENTMT PLC,3658192,204800,929.18M,52.02M,+5.9%,2.9%
36828A101,GEV,GE VERNOVA INC,1154594,56800,709.96M,34.93M,+5.2%,2.2%
852234103,XYZ,BLOCK INC,4423312,478872,319.67M,34.61M,+12.1%,0.99%
64119N608,NTSK,NETSKOPE INC,500000,500000,11.37M,11.37M,NEW,0.04%
349381103,FIGR,FIGURE TECHNOLOGY SOLUTIO,200000,200000,7.27M,7.27M,NEW,0.02%
G5279N105,KLAR,KLARNA GROUP PLC,175000,175000,6.41M,6.41M,NEW,0.02%
G16910120,BLSH,BULLISH,100000,100000,6.36M,6.36M,NEW,0.02%
316841105,FIG,FIGMA INC,60000,60000,3.11M,3.11M,NEW,<.01%
36866J105,GEMI,GEMINI SPACE STA INC,70000,70000,1.68M,1.68M,NEW,<.01%
G00894108,ARX,ACCELERANT HOLDINGS,75000,75000,1.12M,1.12M,NEW,<.01%
92556W104,VIA,VIA TRANSN INC,15000,15000,721.2K,721.2K,NEW,<.01%
594918104,MSFT,MICROSOFT CORP,6551368,0,3.39B,0,NO CHANGE,10.5%
81141R100,SE,SEA LTD,16041335,0,2.87B,0,NO CHANGE,8.9%
02079K305,GOOGL,ALPHABET INC,10631402,0,2.58B,0,NO CHANGE,8%
67066G104,NVDA,NVIDIA CORPORATION,11709752,0,2.18B,0,NO CHANGE,6.8%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,5839256,0,1.51B,0,NO CHANGE,4.7%
03831W108,APP,APPLOVIN CORP,2002989,0,1.44B,0,NO CHANGE,4.4%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,4578374,0,1.28B,0,NO CHANGE,4%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,1261461,0,880.5M,0,NO CHANGE,2.7%
03769M106,APO,APOLLO GLOBAL MGMT INC,6209496,0,827.54M,0,NO CHANGE,2.6%
922475108,VEEV,VEEVA SYS INC,2420500,0,721.09M,0,NO CHANGE,2.2%
512807306,LRCX,LAM RESEARCH CORP,5260328,0,704.36M,0,NO CHANGE,2.2%
G4124C109,GRAB,GRAB HOLDINGS LIMITED,92923788,0,559.4M,0,NO CHANGE,1.7%
98980G102,ZS,ZSCALER INC,1683266,0,504.41M,0,NO CHANGE,1.6%
531229755,FWONK,LIBERTY MEDIA CORP DEL,2682000,0,280.13M,0,NO CHANGE,0.87%
81762P102,NOW,SERVICENOW INC,300000,0,276.08M,0,NO CHANGE,0.85%
22160N109,CSGP,COSTAR GROUP INC,3245109,0,273.79M,0,NO CHANGE,0.85%
16935C109,CHYM,CHIME FINL INC,12470768,0,251.54M,0,NO CHANGE,0.78%
98138H101,WDAY,WORKDAY INC,1000000,0,240.73M,0,NO CHANGE,0.74%
038222105,AMAT,APPLIED MATLS INC,895200,0,183.28M,0,NO CHANGE,0.57%
G6683N103,NU,NU HLDGS LTD,11032555,0,176.63M,0,NO CHANGE,0.55%
G9572D103,BULL,WEBULL CORP,11724137,0,173.4M,0,NO CHANGE,0.54%
74275K108,PCOR,PROCORE TECHNOLOGIES INC,2339500,0,170.6M,0,NO CHANGE,0.53%
91324P102,UNH,UNITEDHEALTH GROUP INC,438800,0,151.52M,0,NO CHANGE,0.47%
N14506104,ESTC,ELASTIC N V,1690700,0,142.85M,0,NO CHANGE,0.44%
00138L108,RERE,ATRENEW INC,9831218,0,45.22M,0,NO CHANGE,0.14%
433313103,HNGE,HINGE HEALTH INC,552008,0,27.09M,0,NO CHANGE,0.08%
172573107,CRCL,CIRCLE INTERNET GROUP INC,125000,0,16.57M,0,NO CHANGE,0.05%
90353T100,UBER,UBER TECHNOLOGIES INC,151178,0,14.81M,0,NO CHANGE,0.05%
47215P106,JD,JD.COM INC,344309,0,12.04M,0,NO CHANGE,0.04%
732908108,PONY,PONY AI INC,370000,0,8.32M,0,NO CHANGE,0.03%
25809K105,DASH,DOORDASH INC,25337,0,6.89M,0,NO CHANGE,0.02%
G32089107,ETOR,ETORO GROUP LTD,80000,0,3.3M,0,NO CHANGE,0.01%
89679E300,TFIN,TRIUMPH FINANCIAL INC,43708,0,2.19M,0,NO CHANGE,<.01%
55318A108,MNTN,MNTN INC,20000,0,371K,0,NO CHANGE,<.01%
98954M101,ZG,ZILLOW GROUP INC,783043,-221600,58.29M,-16.5M,-22.1%,0.18%
98877R104,ZKH,ZKH GROUP LTD,0,-7996846,0,-24.55M,CLOSE,0%
670100205,NVO,NOVO-NORDISK A S,0,-1269000,0,-87.59M,CLOSE,0%
98954M200,Z,ZILLOW GROUP INC,5045144,-1183943,388.73M,-91.22M,-19%,1.2%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,0,-500000,0,-254.66M,CLOSE,0%
824348106,SHW,SHERWIN WILLIAMS CO,329175,-875000,113.98M,-302.98M,-72.7%,0.35%
75734B100,RDDT,REDDIT INC,4672515,-1476469,1.07B,-339.57M,-24%,3.3%
532457108,LLY,ELI LILLY & CO,0,-1511160,0,-1.18B,CLOSE,0%
30303M102,META,META PLATFORMS INC,2819001,-4714524,2.07B,-3.46B,-62.6%,6.4%
Total,,,,,32.36B,-4.96B,-14.6%,100%
