CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
74319R101,PRG,PROG HOLDINGS INC,267641,267641,8.66M,8.66M,NEW,2.4%
75960P104,RELY,REMITLY GLOBAL INC,520090,520090,8.48M,8.48M,NEW,2.3%
89785L107,TRUE,TRUECAR INC,3376140,2390908,6.21M,4.4M,+242.7%,1.7%
92538J106,VERX,VERTEX INC,113505,113505,2.81M,2.81M,NEW,0.78%
53216B104,LFMD,LIFEMD INC,370784,370784,2.52M,2.52M,NEW,0.7%
05637B105,BLZE,BACKBLAZE INC,1460792,265913,13.56M,2.47M,+22.3%,3.8%
68278B107,OS,ONESTREAM INC,112307,112307,2.07M,2.07M,NEW,0.57%
92557A101,DSP,VIANT TECHNOLOGY INC,585577,202718,5.05M,1.75M,+52.9%,1.4%
78435P105,SEZL,SEZZLE INC,21676,21676,1.72M,1.72M,NEW,0.48%
74275G107,PRTH,PRIORITY TECHNOLOGY HLDGS IN,157566,157566,1.08M,1.08M,NEW,0.3%
485859201,KPLT,KATAPULT HOLDINGS INC,221828,70583,2.65M,844.17K,+46.7%,0.73%
76029L100,RPAY,REPAY HLDGS CORP,141227,141227,738.62K,738.62K,NEW,0.2%
64119N608,NTSK,NETSKOPE INC,17000,17000,386.41K,386.41K,NEW,0.11%
073463309,BODI,THE BEACHBODY COMPANY INC,399567,45100,2.37M,266.99K,+12.7%,0.66%
68373J104,LPRO,OPEN LENDING CORP,4488741,117037,9.47M,246.95K,+2.7%,2.6%
65339F101,NEE,NEXTERA ENERGY INC,3271,3271,246.93K,246.93K,NEW,0.07%
37733W204,GSK,GSK PLC,5696,5696,245.84K,245.84K,NEW,0.07%
718546104,PSX,PHILLIPS 66,1797,1797,244.43K,244.43K,NEW,0.07%
478160104,JNJ,JOHNSON & JOHNSON,1316,1316,244.01K,244.01K,NEW,0.07%
942622200,WSO,WATSCO INC,592,592,239.35K,239.35K,NEW,0.07%
02209S103,MO,ALTRIA GROUP INC,3592,3592,237.29K,237.29K,NEW,0.07%
136385101,CNQ,CANADIAN NAT RES LTD,7378,7378,235.8K,235.8K,NEW,0.07%
91879Q109,MTN,VAIL RESORTS INC,1568,1568,234.53K,234.53K,NEW,0.06%
76131D103,QSR,RESTAURANT BRANDS INTL INC,3647,3647,233.92K,233.92K,NEW,0.06%
G5960L103,MDT,MEDTRONIC PLC,2448,2448,233.15K,233.15K,NEW,0.06%
88579Y101,MMM,3M CO,1490,1490,231.22K,231.22K,NEW,0.06%
80105N105,SNY,SANOFI SA,4891,4891,230.85K,230.85K,NEW,0.06%
718172109,PM,PHILIP MORRIS INTL INC,1422,1422,230.65K,230.65K,NEW,0.06%
099502106,BAH,BOOZ ALLEN HAMILTON HLDG COR,2303,2303,230.19K,230.19K,NEW,0.06%
125523100,CI,THE CIGNA GROUP,790,790,227.72K,227.72K,NEW,0.06%
810186106,SMG,SCOTTS MIRACLE-GRO CO,3961,3961,225.58K,225.58K,NEW,0.06%
904767704,UL,UNILEVER PLC,3771,3771,223.54K,223.54K,NEW,0.06%
91324P102,UNH,UNITEDHEALTH GROUP INC,637,637,219.96K,219.96K,NEW,0.06%
N53745100,LYB,LYONDELLBASELL INDUSTRIES N,4478,4478,219.6K,219.6K,NEW,0.06%
03769M106,APO,APOLLO GLOBAL MGMT INC,1607,1607,214.16K,214.16K,NEW,0.06%
09260D107,BX,BLACKSTONE INC,1235,1235,211K,211K,NEW,0.06%
49177J102,KVUE,KENVUE INC,12544,12544,203.59K,203.59K,NEW,0.06%
48251K100,KREF,KKR REAL ESTATE FIN TR INC,24209,3813,217.88K,34.32K,+18.7%,0.06%
69007J304,OUT,OUTFRONT MEDIA INC,12383,816,226.86K,14.95K,+7.1%,0.06%
23834J201,DAVE,DAVE INC,276747,0,55.17M,0,NO CHANGE,15.3%
02079K107,GOOG,ALPHABET INC,130373,0,31.75M,0,NO CHANGE,8.8%
68401U204,OPRX,OPTIMIZERX CORP,1508303,0,30.92M,0,NO CHANGE,8.6%
023135106,AMZN,AMAZON COM INC,93240,0,20.47M,0,NO CHANGE,5.7%
M7S64H106,MNDY,MONDAY COM LTD,79172,0,15.33M,0,NO CHANGE,4.2%
888787108,TOST,TOAST INC,334963,0,12.23M,0,NO CHANGE,3.4%
81749D107,SERA,SERA PROGNOSTICS INC,3632371,0,11.12M,0,NO CHANGE,3.1%
42225T107,HCAT,HEALTH CATALYST INC,3731350,0,10.63M,0,NO CHANGE,2.9%
