CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,Alphabet Inc. Class A,197564,193444,48.03M,47.03M,+4695.2%,0.93%
92537N108,VRT,Vertiv Holdings Co,299950,209950,45.25M,31.67M,+233.3%,0.88%
609839105,MPWR,"Monolithic Power Systems, Inc.",74668,32240,68.74M,29.68M,+76%,1.3%
89377M109,TMDX,"TransMedics Group, Inc.",258523,136995,29.01M,15.37M,+112.7%,0.56%
833445109,SNOW,Snowflake Inc.,368207,67409,83.05M,15.2M,+22.4%,1.6%
03831W108,APP,"AppLovin Corporation, Class A",14862,14862,10.68M,10.68M,NEW,0.21%
60471A101,MIR,"Mirion Technologies, Inc.",231500,221300,5.38M,5.15M,+2169.6%,0.1%
252131107,DXCM,"DexCom, Inc.",685433,62098,46.12M,4.18M,+10%,0.9%
V5633W109,MMYT,Makemytrip Limited,41560,41560,3.89M,3.89M,NEW,0.08%
92826C839,V,Visa Inc.,30868,10350,10.54M,3.53M,+50.4%,0.2%
042068205,ARM,Arm Holdings Plc,499772,22483,70.71M,3.18M,+4.7%,1.4%
N6596X109,NXPI,NXP Semiconductors N.V.,18400,7500,4.19M,1.71M,+68.8%,0.08%
79589L106,IOT,Samsara Inc.,998029,43238,37.18M,1.61M,+4.5%,0.72%
03990B101,ARES,Ares Management Corporation,159898,10069,25.57M,1.61M,+6.7%,0.5%
03783C100,APPF,"AppFolio, Inc.",23800,3800,6.56M,1.05M,+19%,0.13%
74834L100,DGX,Quest Diagnostics Incorporated,9235,5185,1.76M,988.16K,+128%,0.03%
72703X106,PL,Planet Labs PBC,44000,44000,571.12K,571.12K,NEW,0.01%
H5919C104,ONON,On Holding AG,641169,8443,27.15M,357.56K,+1.3%,0.53%
693718108,PCAR,PACCAR Inc,26566,2921,2.61M,287.19K,+12.4%,0.05%
50187T106,LGIH,"LGI HOMES, INC.",5450,5450,281.82K,281.82K,NEW,<.01%
244199105,DE,Deere & Company,3805,595,1.74M,272.07K,+18.5%,0.03%
032095101,APH,Amphenol Corporation,177435,1645,21.96M,203.57K,+0.9%,0.43%
94106L109,WM,"Waste Management, Inc.",10170,740,2.25M,163.41K,+7.8%,0.04%
78462F103,SPY,SPDR S&P 500 ETF Trust,4835,130,3.22M,86.6K,+2.8%,0.06%
11135F101,AVGO,Broadcom Inc.,312300,200,103.03M,65.98K,+0.1%,2%
148929102,CAVA,Cava Group Inc,4800,825,289.97K,49.84K,+20.8%,<.01%
254687106,DIS,The Walt Disney Company,6183,375,707.95K,42.94K,+6.5%,0.01%
98978V103,ZTS,Zoetis Inc.,16440,260,2.41M,38.04K,+1.6%,0.05%
037833100,AAPL,Apple Inc.,476051,140,121.22M,35.65K,+0%,2.4%
747525103,QCOM,QUALCOMM Incorporated,105327,190,17.52M,31.61K,+0.2%,0.34%
437076102,HD,"The Home Depot, Inc.",11087,55,4.49M,22.29K,+0.5%,0.09%
278865100,ECL,Ecolab Inc.,5760,70,1.58M,19.17K,+1.2%,0.03%
031162100,AMGN,Amgen Inc.,9909,55,2.8M,15.52K,+0.6%,0.05%
11133T103,BR,Broadridge Financial Solutions,23110,65,5.5M,15.48K,+0.3%,0.11%
002824100,ABT,Abbott Laboratories,21124,115,2.83M,15.4K,+0.5%,0.06%
461202103,INTU,Intuit Inc.,25726,20,17.57M,13.66K,+0.1%,0.34%
22160K105,COST,Costco Wholesale Corporation,8140,10,7.53M,9.26K,+0.1%,0.15%
478160104,JNJ,Johnson & Johnson,10779,40,2M,7.42K,+0.4%,0.04%
