CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,29560,29560,8.98M,8.98M,NEW,10.4%
136635109,CSIQ,CANADIAN SOLAR INC,297800,297800,7.08M,7.08M,NEW,8.2%
67066G104,NVDA,NVIDIA CORPORATION,32900,32900,6.14M,6.14M,NEW,7.1%
007903107,AMD,ADVANCED MICRO DEVICES INC,37200,26000,7.97M,5.57M,+232.1%,9.3%
83418M103,SEI,SOLARIS ENERGY INFRAS INC,85500,85500,3.93M,3.93M,NEW,4.6%
36118L106,FUTU,FUTU HLDGS LTD,21400,19600,3.51M,3.22M,+1088.9%,4.1%
11135F101,AVGO,BROADCOM INC,8880,8880,3.07M,3.07M,NEW,3.6%
36165L108,GDS,GDS HLDGS LTD,166740,68460,5.82M,2.39M,+69.7%,6.8%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,13200,13200,1.9M,1.9M,NEW,2.2%
595112103,MU,MICRON TECHNOLOGY INC,5600,5600,1.6M,1.6M,NEW,1.9%
031652100,AMKR,AMKOR TECHNOLOGY INC,98200,33400,3.88M,1.32M,+51.5%,4.5%
46267X108,IQ,IQIYI INC,802400,661000,1.54M,1.27M,+467.5%,1.8%
056752108,BIDU,BAIDU INC,97150,9400,12.69M,1.23M,+10.7%,14.7%
90138A103,VNET,VNET GROUP INC,441571,64291,3.74M,543.9K,+17%,4.3%
458140100,INTC,INTEL CORP,99300,-14100,3.66M,-520.29K,-12.4%,4.3%
04965M106,ATAT,ATOUR LIFESTYLE HLDGS LTD,143000,-18158,5.63M,-715.43K,-11.3%,6.5%
44332N106,HTHT,H WORLD GROUP LTD,0,-29600,0,-1.16M,CLOSE,0%
466313103,JBL,JABIL INC,0,-8100,0,-1.76M,CLOSE,0%
15101Q207,CLS,CELESTICA INC,0,-7600,0,-1.87M,CLOSE,0%
55024U109,LITE,LUMENTUM HLDGS INC,0,-12000,0,-1.95M,CLOSE,0%
91347P105,OLED,UNIVERSAL DISPLAY CORP,16281,-22119,1.9M,-2.58M,-57.6%,2.2%
35969L108,YMM,FULL TRUCK ALLIANCE CO LTD,0,-278700,0,-3.61M,CLOSE,0%
01609W102,BABA,ALIBABA GROUP HLDG LTD,0,-22626,0,-4.04M,CLOSE,0%
03823U102,AAOI,APPLIED OPTOELECTRONICS INC,0,-194500,0,-5.04M,CLOSE,0%
42806J700,HTZ,HERTZ GLOBAL HLDGS INC,0,-878900,0,-5.98M,CLOSE,0%
683344105,ONTO,ONTO INNOVATION INC,0,-60300,0,-7.79M,CLOSE,0%
722304102,PDD,PDD HOLDINGS INC,27143,-153365,3.08M,-17.39M,-85%,3.6%
Total,,,,,86.12M,-6.19M,-6.4%,100%
